Orthogroup	Colletotrichum_abscissum	Colletotrichum_acutatum	Colletotrichum_fructicola	Colletotrichum_gloeosporioides	Colletotrichum_godetiae	Colletotrichum_karsti	Colletotrichum_siamense	Colletotrichum_truncatum
OG0000000			XP_031878483.1, XP_031882429.2, XP_066009607.1, XP_066009636.1		XP_060427691.1, XP_060427692.1			XP_070059746.1, XP_070059762.1, XP_070059777.1, XP_070059778.1, XP_070059865.1, XP_070059886.1, XP_070059894.1, XP_070059897.1, XP_070059904.1, XP_070059920.1, XP_070059931.1, XP_070059933.1, XP_070059934.1, XP_070059937.1, XP_070059944.1, XP_070060000.1, XP_070060039.1, XP_070060041.1, XP_070060045.1, XP_070060046.1, XP_070060419.1, XP_070060453.1, XP_070060484.1, XP_070060485.1, XP_070060520.1, XP_070060521.1, XP_070060571.1, XP_070060610.1, XP_070060613.1, XP_070060634.1, XP_070060658.1, XP_070060659.1, XP_070060660.1, XP_070060688.1, XP_070060696.1, XP_070060698.1, XP_070060703.1, XP_070060723.1, XP_070060728.1, XP_070060741.1, XP_070060768.1, XP_070060843.1, XP_070060844.1, XP_070060846.1, XP_070060858.1, XP_070060872.1, XP_070060879.1, XP_070060919.1, XP_070060944.1, XP_070060945.1, XP_070061041.1, XP_070061053.1, XP_070061081.1, XP_070061087.1, XP_070061119.1, XP_070061120.1, XP_070061151.1, XP_070061158.1, XP_070061234.1, XP_070061241.1, XP_070061264.1, XP_070061288.1, XP_070061320.1, XP_070061326.1, XP_070061331.1, XP_070061335.1, XP_070061397.1, XP_070061498.1, XP_070061522.1, XP_070061523.1, XP_070061527.1, XP_070061529.1, XP_070061536.1, XP_070061537.1, XP_070061550.1, XP_070061559.1, XP_070061560.1, XP_070061561.1, XP_070061605.1, XP_070061609.1, XP_070061715.1, XP_070061754.1, XP_070061755.1, XP_070061756.1, XP_070061783.1, XP_070061819.1, XP_070061839.1, XP_070061849.1, XP_070061850.1, XP_070061851.1, XP_070061874.1, XP_070061876.1, XP_070061934.1, XP_070061943.1, XP_070061944.1, XP_070061945.1, XP_070061952.1, XP_070061994.1, XP_070062052.1, XP_070062058.1, XP_070062077.1, XP_070062089.1, XP_070062118.1, XP_070062136.1, XP_070062137.1, XP_070062196.1, XP_070062233.1, XP_070062241.1, XP_070062334.1, XP_070062346.1, XP_070062359.1, XP_070062363.1, XP_070062381.1, XP_070062385.1, XP_070062420.1, XP_070062424.1, XP_070062431.1, XP_070062437.1, XP_070062450.1, XP_070062451.1, XP_070062452.1, XP_070062516.1, XP_070062554.1, XP_070062679.1, XP_070062691.1
OG0000001	XP_060390810.1, XP_060390852.1, XP_060391941.1, XP_060392196.1, XP_060393097.1, XP_060394053.1, XP_060394606.1, XP_060395374.1, XP_060396962.1, XP_060396987.1, XP_060397645.1, XP_060397793.1, XP_060400656.1, XP_060400900.1, XP_060402253.1, XP_060402285.1, XP_060403955.1, XP_060406495.1	XP_060357666.1, XP_060358795.1, XP_060358976.1, XP_060359269.1, XP_060361400.1, XP_060361425.1, XP_060361839.1, XP_060362019.1, XP_060362045.1, XP_060362522.1, XP_060366561.1, XP_060366673.1, XP_060367183.1, XP_060367916.1, XP_060368338.1, XP_060368647.1, XP_060369357.1, XP_060369736.1, XP_060369837.1, XP_060370302.1, XP_060370677.1	XP_031879932.1, XP_031885099.1, XP_031885183.1, XP_031889152.1, XP_031889631.1, XP_031890068.1, XP_031890095.1, XP_031892038.1, XP_066008663.1, XP_066008709.1, XP_066010002.1	XP_045258161.1, XP_045260205.1, XP_045260583.1, XP_045261171.1, XP_045261998.1, XP_045262880.1, XP_045264793.1, XP_045265232.1, XP_045265792.1, XP_045266806.1, XP_045266881.1, XP_045267961.1, XP_045269537.1, XP_045269538.1, XP_045269550.1, XP_045269696.1, XP_045270330.1	XP_060424702.1, XP_060424765.1, XP_060424800.1, XP_060425082.1, XP_060427432.1, XP_060427985.1, XP_060428091.1, XP_060428213.1, XP_060430204.1, XP_060430320.1, XP_060430440.1, XP_060430506.1, XP_060430719.1, XP_060430831.1, XP_060431242.1, XP_060431366.1, XP_060431810.1, XP_060433490.1, XP_060434819.1, XP_060436502.1, XP_060436529.1, XP_060436634.1, XP_060436781.1	XP_038739396.1, XP_038740053.1, XP_038742102.1, XP_038742262.1, XP_038742324.1, XP_038742455.1, XP_038742766.1, XP_038742974.1, XP_038744591.1, XP_038745379.1, XP_038746377.1, XP_038749624.1, XP_038750227.1, XP_038750579.1	XP_036489610.1, XP_036491388.1, XP_036491417.1, XP_036491418.1, XP_036491555.1, XP_036492025.1, XP_036492781.1, XP_036495399.1, XP_036496526.1, XP_036496581.1, XP_036497488.1, XP_036501140.1, XP_036502151.1	XP_036574900.1, XP_036576586.2, XP_036578974.1, XP_036579542.1, XP_036580152.1, XP_036585171.1, XP_036586796.1, XP_036587766.1, XP_036589697.1, XP_070060346.1
OG0000002	XP_060392094.1, XP_060393291.1, XP_060395824.1, XP_060397337.1, XP_060397342.1, XP_060397467.1, XP_060398589.1, XP_060399255.1, XP_060401161.1, XP_060401349.1, XP_060402695.1	XP_060358755.1, XP_060358945.1, XP_060360643.1, XP_060362536.1, XP_060362682.1, XP_060363092.1, XP_060363097.1, XP_060364930.1, XP_060370560.1	XP_031876819.2, XP_031878257.1, XP_031879045.1, XP_031879097.1, XP_031879385.1, XP_031879492.1, XP_031881669.1, XP_031884130.1, XP_031885247.1, XP_031885929.1, XP_031889624.1, XP_031890697.1, XP_066007328.1, XP_066007347.1, XP_066007534.1, XP_066009179.1, XP_066009251.1	XP_045257237.1, XP_045257918.1, XP_045257973.1, XP_045257976.1, XP_045259138.1, XP_045260282.1, XP_045261135.1, XP_045261593.1, XP_045262999.1, XP_045263097.1, XP_045263743.1, XP_045265005.1, XP_045265914.1, XP_045266625.1, XP_045266916.1, XP_045267720.1, XP_045268680.1, XP_045269804.1	XP_060421889.1, XP_060422802.1, XP_060424684.1, XP_060425395.1, XP_060428142.1, XP_060428147.1, XP_060428901.1, XP_060429098.1, XP_060431021.1, XP_060433373.1	XP_038739885.1, XP_038740422.1, XP_038741791.1, XP_038742362.1, XP_038742502.1, XP_038742596.1, XP_038742597.1, XP_038744513.1, XP_038744608.1, XP_038744613.1, XP_038747034.1, XP_038748084.1, XP_038750075.1, XP_038751217.1	XP_036488845.1, XP_036490503.1, XP_036491792.1, XP_036492540.1, XP_036493966.1, XP_036493992.1, XP_036494076.1, XP_036494317.1, XP_036494525.1, XP_036495012.1, XP_036496555.1, XP_036499179.1, XP_036500201.1, XP_036500252.1, XP_036500478.1, XP_036500934.1, XP_036501975.1, XP_036502410.1	XP_036574167.1, XP_036574664.1, XP_036574742.1, XP_036575523.1, XP_036576472.1, XP_036581025.2, XP_036581238.1, XP_036581241.1, XP_036581786.1, XP_036582377.1, XP_036583733.1, XP_036584023.2, XP_036586272.1, XP_070060513.1, XP_070062049.1, XP_070062304.1, XP_070062632.1
OG0000003	XP_060390395.1, XP_060391391.1, XP_060391922.1, XP_060394431.1, XP_060395115.1, XP_060395142.1, XP_060395684.1, XP_060395986.1, XP_060396077.1, XP_060397263.1, XP_060397349.1, XP_060399182.1, XP_060399396.1, XP_060402687.1, XP_060403315.1	XP_060357316.1, XP_060357911.1, XP_060358076.1, XP_060358372.1, XP_060358923.1, XP_060359761.1, XP_060359762.1, XP_060360249.1, XP_060361096.1, XP_060369339.1, XP_060370171.1, XP_060372014.1	XP_031876867.1, XP_031877859.1, XP_031879030.1, XP_031880905.1, XP_031882855.1, XP_031883473.1, XP_031884263.1, XP_031884430.1, XP_031885127.1, XP_031886825.1, XP_031890123.1, XP_031892929.1, XP_066007760.1, XP_066009178.1	XP_045257401.1, XP_045257917.1, XP_045258026.1, XP_045258913.1, XP_045259006.1, XP_045259914.1, XP_045262954.1, XP_045265768.1, XP_045265820.1, XP_045266150.1, XP_045266664.1, XP_045266940.1, XP_045268602.1, XP_045269962.1	XP_060424675.1, XP_060425251.1, XP_060425653.1, XP_060426621.1, XP_060428117.1, XP_060430890.1, XP_060431388.1, XP_060433222.1, XP_060433305.1, XP_060433884.1	XP_038739177.1, XP_038741848.1, XP_038741985.1, XP_038742506.1, XP_038742690.1, XP_038742843.1, XP_038742954.1, XP_038743265.1, XP_038745194.1, XP_038745562.1, XP_038746686.1, XP_038748601.1, XP_038749795.1, XP_038751754.1	XP_036488495.1, XP_036492277.1, XP_036492461.1, XP_036493278.1, XP_036493661.1, XP_036494043.1, XP_036494312.1, XP_036495057.1, XP_036495065.1, XP_036495366.1, XP_036500242.1, XP_036501204.1, XP_036502893.1	XP_036577268.1, XP_036578917.1, XP_036581223.1, XP_036583826.1, XP_036586332.1, XP_036586830.1, XP_070059896.1, XP_070060981.1, XP_070061728.1
OG0000004	XP_060404534.1						XP_036487755.1, XP_036487865.1, XP_036487889.1, XP_036488582.1, XP_036488766.1, XP_036488984.1, XP_036489077.1, XP_036489119.1, XP_036489172.1, XP_036489212.1, XP_036489453.1, XP_036489552.1, XP_036489634.1, XP_036490297.1, XP_036490325.1, XP_036490361.1, XP_036490750.1, XP_036490877.1, XP_036490932.1, XP_036490942.1, XP_036491295.1, XP_036491348.1, XP_036491571.1, XP_036492135.1, XP_036492242.1, XP_036492308.1, XP_036492521.1, XP_036492998.1, XP_036493023.1, XP_036493053.1, XP_036493095.1, XP_036493098.1, XP_036493321.1, XP_036493709.1, XP_036493862.1, XP_036493903.1, XP_036494364.1, XP_036494451.1, XP_036494859.1, XP_036495208.1, XP_036496061.1, XP_036496412.1, XP_036497129.1, XP_036497261.1, XP_036497341.1, XP_036497594.1, XP_036498169.1, XP_036498341.1, XP_036498381.1, XP_036498530.1, XP_036498567.1, XP_036498931.1, XP_036499281.1, XP_036499873.1, XP_036499906.1, XP_036501030.1, XP_036501323.1, XP_036501337.1, XP_036501572.1, XP_036501811.1, XP_036501942.1, XP_036502562.1, XP_036502756.1, XP_036502840.1	XP_036575546.1, XP_036575796.1, XP_036576924.1, XP_036577146.1, XP_036577800.1, XP_036578294.1, XP_036578683.1, XP_036580766.1, XP_036583010.1, XP_036584088.1, XP_036584336.1, XP_036584476.1, XP_036584481.1, XP_036584487.1, XP_036584653.1, XP_036587296.1, XP_036588771.1, XP_070059792.1, XP_070059801.1, XP_070059818.1, XP_070059853.1, XP_070059863.1, XP_070060007.1, XP_070060665.1, XP_070060670.1, XP_070061305.1
OG0000005		XP_060357738.1	XP_031878093.1, XP_031878347.2, XP_031881538.2, XP_031882119.1, XP_031882619.1, XP_031883663.1, XP_031884256.1, XP_031885484.1, XP_031886563.1, XP_031888063.1, XP_031891255.1, XP_031892266.1, XP_031893401.2, XP_066007217.1, XP_066007372.1, XP_066009056.1, XP_066009057.1, XP_066009402.1, XP_066009441.1	XP_045256205.1, XP_045256406.1, XP_045256723.1, XP_045257257.1, XP_045257604.1, XP_045258050.1, XP_045258623.1, XP_045259151.1, XP_045259354.1, XP_045259543.1, XP_045261007.1, XP_045261183.1, XP_045261341.1, XP_045261382.1, XP_045261440.1, XP_045261517.1, XP_045262492.1, XP_045263060.1, XP_045263231.1, XP_045263328.1, XP_045263638.1, XP_045263814.1, XP_045263922.1, XP_045264508.1, XP_045264820.1, XP_045264830.1, XP_045265148.1, XP_045265263.1, XP_045265401.1, XP_045265766.1, XP_045265836.1, XP_045265992.1, XP_045267867.1, XP_045269071.1, XP_045271000.1, XP_045271041.1	XP_060422213.1, XP_060423560.1, XP_060428376.1, XP_060428377.1, XP_060431584.1, XP_060436614.1		XP_036488430.1, XP_036488861.1, XP_036490222.1, XP_036490827.1, XP_036494792.1, XP_036494853.1, XP_036494945.1, XP_036495080.1, XP_036495414.1, XP_036496619.1, XP_036496876.1, XP_036497094.1, XP_036497196.1, XP_036499221.1, XP_036500004.1, XP_036500396.1, XP_036501598.1, XP_036502086.1	XP_036574652.1, XP_036579587.1, XP_036586561.1, XP_036588222.2, XP_070060019.1, XP_070060081.1, XP_070060547.1, XP_070061481.1, XP_070061729.1, XP_070062012.1, XP_070062638.1
OG0000006								XP_036574202.2, XP_036574289.2, XP_036574368.2, XP_036574696.2, XP_036574829.2, XP_036574957.2, XP_036575008.2, XP_036575085.2, XP_036575114.2, XP_036575246.1, XP_036575386.2, XP_036575436.2, XP_036575659.2, XP_036575728.2, XP_036575807.2, XP_036575815.2, XP_036575977.1, XP_036575979.2, XP_036575985.1, XP_036576068.2, XP_036576074.2, XP_036576202.2, XP_036576248.2, XP_036576312.2, XP_036576342.2, XP_036576671.2, XP_036576789.2, XP_036576889.2, XP_036577022.2, XP_036577337.2, XP_036577602.2, XP_036577740.2, XP_036577757.2, XP_036577798.2, XP_036577910.2, XP_036577914.2, XP_036577974.2, XP_036578895.2, XP_036578898.2, XP_036578966.1, XP_036579310.2, XP_036579517.2, XP_036579678.2, XP_036579895.2, XP_036580017.2, XP_036580253.2, XP_036580275.2, XP_036580490.2, XP_036580569.2, XP_036581080.2, XP_036581109.2, XP_036581416.2, XP_036581518.1, XP_036581699.2, XP_036581710.2, XP_036581792.2, XP_036581894.2, XP_036582245.2, XP_036582437.2, XP_036582619.2, XP_036582621.2, XP_036582625.1, XP_036582640.2, XP_036582856.2, XP_036583635.2, XP_036583973.2, XP_036584054.2, XP_036586364.2, XP_036586390.2, XP_036586510.2, XP_036586765.2, XP_036587235.2, XP_036587988.2, XP_036588055.2, XP_036588079.2, XP_070060082.1, XP_070060503.1, XP_070060548.1, XP_070060865.1, XP_070060866.1, XP_070061116.1, XP_070061312.1, XP_070061333.1, XP_070061502.1, XP_070061513.1, XP_070061569.1, XP_070061786.1
OG0000007	XP_060394556.1, XP_060394953.1, XP_060397331.1, XP_060399009.1, XP_060401254.1, XP_060402270.1, XP_060403052.1, XP_060403306.1, XP_060405354.1, XP_060405375.1	XP_060357532.1, XP_060358704.1, XP_060362502.1, XP_060362818.1, XP_060362933.1, XP_060362950.1, XP_060363105.1, XP_060364959.1, XP_060365201.1	XP_031879231.1, XP_031879776.1, XP_031884466.1, XP_031885954.1, XP_031886196.1, XP_031888035.1, XP_031891853.1, XP_031892101.1, XP_031892924.1, XP_066008736.1	XP_045257532.1, XP_045257729.1, XP_045260514.1, XP_045261201.1, XP_045264675.1, XP_045266165.1, XP_045268873.1, XP_045268895.1, XP_045269482.1	XP_060422886.1, XP_060422903.1, XP_060425659.1, XP_060426126.1, XP_060428043.1, XP_060428999.1, XP_060429807.1, XP_060430335.1, XP_060431051.1	XP_038740211.1, XP_038740577.1, XP_038741456.1, XP_038741585.1, XP_038741890.1, XP_038742340.1, XP_038743631.1, XP_038743862.1, XP_038743880.1, XP_038749800.1	XP_036488714.1, XP_036491239.1, XP_036491644.1, XP_036493442.1, XP_036494883.1, XP_036495313.1, XP_036495376.1, XP_036496109.1, XP_036500517.1, XP_036500589.1	XP_036574479.1, XP_036574613.1, XP_036575385.1, XP_036575499.1, XP_036576846.1, XP_036578124.2, XP_036578145.1, XP_036580140.1, XP_070060710.1, XP_070061891.1
OG0000008		XP_060357962.1, XP_060358444.1, XP_060360622.1, XP_060361583.1, XP_060362270.1, XP_060363147.1, XP_060365993.1, XP_060366838.1, XP_060368784.1, XP_060368819.1, XP_060369829.1, XP_060371332.1, XP_060371333.1, XP_060371334.1	XP_031879048.2, XP_031882243.1, XP_031882332.2, XP_031886231.1, XP_031886248.2, XP_066007654.1, XP_066008038.1, XP_066008382.1, XP_066008418.1, XP_066008419.1, XP_066008595.1, XP_066008596.1, XP_066008629.1, XP_066008684.1, XP_066008765.1, XP_066008851.1, XP_066008989.1, XP_066009368.1, XP_066009467.1, XP_066009561.1, XP_066009880.1, XP_066009991.1		XP_060421546.1, XP_060423041.1, XP_060425417.1, XP_060425870.1, XP_060426331.1, XP_060427174.1, XP_060428947.1, XP_060429664.1, XP_060429665.1, XP_060429666.1, XP_060430813.1, XP_060431119.1, XP_060432489.1, XP_060432528.1, XP_060432670.1, XP_060433354.1		XP_036489804.1, XP_036491866.1, XP_036492788.1, XP_036495099.1, XP_036495409.1, XP_036495410.1, XP_036495985.1, XP_036496070.1, XP_036496470.1, XP_036496629.1, XP_036497383.1, XP_036497996.1, XP_036498352.1, XP_036498743.1, XP_036499185.1, XP_036499969.1, XP_036499970.1, XP_036502454.1, XP_036502455.1	XP_036574350.1, XP_036577468.1, XP_036582296.1, XP_070061808.1, XP_070062441.1
OG0000009	XP_060391561.1, XP_060393780.1, XP_060395651.1, XP_060397061.1, XP_060398896.1, XP_060400702.1, XP_060403308.1, XP_060405039.1	XP_060357116.1, XP_060359213.1, XP_060359947.1, XP_060362817.1, XP_060363670.1, XP_060365596.1, XP_060365779.1, XP_060367982.1, XP_060372034.1	XP_031875698.1, XP_031876103.1, XP_031877969.1, XP_031878188.1, XP_031879160.1, XP_031884954.1, XP_031886674.1, XP_031891005.1	XP_045257284.1, XP_045266170.1, XP_045266537.1, XP_045266649.1, XP_045267669.1, XP_045270044.1, XP_045270865.1, XP_045271349.1	XP_060424844.1, XP_060425216.1, XP_060425658.1, XP_060425888.1, XP_060427117.1, XP_060429588.1, XP_060433863.1, XP_060436719.1	XP_038744526.1, XP_038745184.1, XP_038745995.1, XP_038746723.1, XP_038746906.1, XP_038747710.1, XP_038748265.1, XP_038749796.1	XP_036488279.1, XP_036488623.1, XP_036490690.1, XP_036490974.1, XP_036491834.1, XP_036492836.1, XP_036499364.1, XP_036499963.1, XP_036501215.1	XP_036575001.1, XP_036576912.1, XP_036577228.2, XP_036577266.1, XP_036578878.1, XP_036587216.1, XP_036587406.1, XP_036588082.2, XP_036589787.1, XP_070059976.1
OG0000010	XP_060403628.1		XP_031884033.1, XP_066006713.1, XP_066006720.1, XP_066006747.1, XP_066006804.1, XP_066006834.1, XP_066006840.1, XP_066006874.1, XP_066007036.1, XP_066007110.1, XP_066007287.1, XP_066007392.1, XP_066007482.1, XP_066007637.1, XP_066007706.1, XP_066007733.1, XP_066007743.1, XP_066007816.1, XP_066007907.1, XP_066007908.1, XP_066007966.1, XP_066008102.1, XP_066008148.1, XP_066008151.1, XP_066008397.1, XP_066008437.1, XP_066008778.1, XP_066008849.1, XP_066008893.1, XP_066009298.1, XP_066009361.1, XP_066009362.1, XP_066009431.1, XP_066009748.1, XP_066009986.1				XP_036487784.1, XP_036487805.1, XP_036487815.1, XP_036487817.1, XP_036487819.1, XP_036487821.1, XP_036487823.1, XP_036487824.1, XP_036487828.1, XP_036487850.1, XP_036487861.1, XP_036487869.1, XP_036487877.1, XP_036487878.1, XP_036487911.1, XP_036488248.1, XP_036488754.1, XP_036489888.1, XP_036489889.1, XP_036490053.1, XP_036490885.1, XP_036490947.1, XP_036492134.1, XP_036492251.1, XP_036493536.1, XP_036494087.1, XP_036497564.1, XP_036497732.1, XP_036499679.1, XP_036500250.1, XP_036502201.1	XP_070059949.1
