Orthogroup	Colletotrichum_acutatum	Colletotrichum_abscissum
OG0000001	XP_060369736.1	XP_060390852.1
OG0000001	XP_060369837.1	XP_060406495.1
OG0000001	XP_060357666.1	XP_060392196.1
OG0000001	XP_060361425.1	XP_060396962.1
OG0000001	XP_060366561.1	XP_060390810.1
OG0000001	XP_060361400.1	XP_060396987.1
OG0000001	XP_060370302.1	XP_060400900.1
OG0000001	XP_060368338.1	XP_060394606.1
OG0000001	XP_060358976.1	XP_060400656.1
OG0000001	XP_060366673.1	XP_060397645.1
OG0000001	XP_060358795.1	XP_060395374.1
OG0000001	XP_060362522.1	XP_060402253.1
OG0000001	XP_060367183.1	XP_060397793.1
OG0000001	XP_060362019.1	XP_060394053.1
OG0000001	XP_060362045.1	XP_060393097.1
OG0000001	XP_060361839.1	XP_060391941.1
OG0000002	XP_060370560.1	XP_060398589.1
OG0000002	XP_060364930.1	XP_060397467.1
OG0000002	XP_060362536.1	XP_060392094.1
OG0000002	XP_060358755.1	XP_060401161.1
OG0000002	XP_060360643.1	XP_060393291.1, XP_060395824.1
OG0000002	XP_060362682.1	XP_060401349.1
OG0000002	XP_060363097.1	XP_060397337.1
OG0000002	XP_060363092.1	XP_060397342.1
OG0000003	XP_060369339.1	XP_060390395.1
OG0000003	XP_060358923.1	XP_060399396.1
OG0000003	XP_060372014.1	XP_060394431.1
OG0000003	XP_060357316.1	XP_060403315.1
OG0000003	XP_060359762.1	XP_060402687.1
OG0000003	XP_060358372.1	XP_060397349.1
OG0000003	XP_060360249.1	XP_060396077.1
OG0000003	XP_060370171.1	XP_060399182.1
OG0000003	XP_060358076.1	XP_060395986.1
OG0000003	XP_060361096.1	XP_060395142.1
OG0000007	XP_060363105.1	XP_060397331.1
OG0000007	XP_060358704.1	XP_060399009.1
OG0000007	XP_060357532.1	XP_060403052.1
OG0000007	XP_060365201.1	XP_060401254.1
OG0000007	XP_060362933.1	XP_060405354.1
OG0000007	XP_060362502.1	XP_060402270.1
OG0000007	XP_060362818.1	XP_060403306.1
OG0000007	XP_060362950.1	XP_060405375.1
OG0000007	XP_060364959.1	XP_060394953.1
OG0000009	XP_060362817.1	XP_060403308.1
OG0000009	XP_060372034.1	XP_060393780.1
OG0000009	XP_060357116.1, XP_060363670.1	XP_060391561.1
OG0000009	XP_060359947.1	XP_060398896.1
OG0000009	XP_060367982.1	XP_060397061.1
OG0000009	XP_060365596.1	XP_060405039.1
OG0000009	XP_060365779.1	XP_060395651.1
OG0000009	XP_060359213.1	XP_060400702.1
OG0000012	XP_060361151.1	XP_060403373.1
OG0000012	XP_060367702.1	XP_060400763.1
OG0000012	XP_060362674.1	XP_060401340.1
OG0000012	XP_060365541.1	XP_060395547.1
OG0000012	XP_060361768.1	XP_060391397.1
OG0000012	XP_060358257.1	XP_060404556.1
OG0000012	XP_060358924.1	XP_060399397.1
OG0000012	XP_060360164.1	XP_060401099.1
OG0000012	XP_060360787.1	XP_060391505.1
OG0000014	XP_060360753.1	XP_060396017.1
OG0000014	XP_060364441.1	XP_060403552.1
OG0000014	XP_060369282.1	XP_060390329.1
OG0000014	XP_060368461.1	XP_060396195.1
OG0000014	XP_060363263.1	XP_060398696.1
OG0000014	XP_060360057.1	XP_060392120.1
OG0000016	XP_060361705.1	XP_060404839.1
OG0000016	XP_060359899.1	XP_060391300.1
OG0000016	XP_060368408.1	XP_060396140.1
OG0000016	XP_060370564.1	XP_060398585.1
OG0000016	XP_060357468.1	XP_060401860.1
OG0000017	XP_060362467.1	XP_060402306.1
OG0000017	XP_060362115.1	XP_060389867.1
OG0000017	XP_060369615.1	XP_060389623.1
OG0000017	XP_060366707.1	XP_060397678.1
OG0000017	XP_060357608.1	XP_060395056.1
OG0000018	XP_060358662.1	XP_060402315.1
OG0000018	XP_060357754.1	XP_060402913.1
OG0000018	XP_060363688.1	XP_060391830.1
OG0000018	XP_060360494.1	XP_060393721.1
OG0000019	XP_060363470.1	XP_060389929.1
OG0000019	XP_060369834.1	XP_060406513.1, XP_060392153.1
OG0000019	XP_060369833.1	XP_060406514.1
OG0000021	XP_060357570.1	XP_060404248.1
OG0000021	XP_060364842.1	XP_060397416.1, XP_060405662.1
OG0000023	XP_060365025.1	XP_060394492.1
OG0000023	XP_060358681.1	XP_060390983.1
OG0000023	XP_060370568.1	XP_060398582.1
OG0000023	XP_060365425.1	XP_060404753.1
OG0000023	XP_060368532.1	XP_060396269.1
OG0000024	XP_060362290.1	XP_060404873.1
OG0000024	XP_060361172.1	XP_060403396.1
OG0000024	XP_060358801.1	XP_060404550.1
OG0000024	XP_060364880.1	XP_060397413.1
OG0000024	XP_060358991.1	XP_060403453.1
OG0000026	XP_060358993.1	XP_060403455.1
OG0000026	XP_060368993.1, XP_060368992.1	XP_060402121.1
OG0000026	XP_060371329.1	XP_060406170.1
OG0000028	XP_060357803.1	XP_060399361.1
OG0000028	XP_060357627.1	XP_060400686.1
OG0000028	XP_060357808.1	XP_060399353.1
OG0000028	XP_060359227.1	XP_060400602.1
OG0000028	XP_060360583.1	XP_060395232.1
OG0000031	XP_060364458.1	XP_060403535.1
OG0000031	XP_060362254.1	XP_060398830.1
OG0000031	XP_060363004.1	XP_060399269.1
OG0000031	XP_060361185.1	XP_060403404.1
OG0000032	XP_060359844.1	XP_060404934.1
OG0000032	XP_060364281.1	XP_060403186.1
OG0000032	XP_060364280.1, XP_060365574.1	XP_060389385.1
OG0000032	XP_060359846.1	XP_060396192.1, XP_060396193.1
OG0000032	XP_060359704.1	XP_060391688.1, XP_060404524.1
OG0000032	XP_060359845.1	XP_060399730.1
OG0000033	XP_060359875.1	XP_060391326.1
OG0000033	XP_060357198.1	XP_060391547.1, XP_060391545.1
OG0000034	XP_060365976.1	XP_060393334.1
OG0000034	XP_060359479.1	XP_060404226.1
