Orthogroup	Colletotrichum_fructicola	Colletotrichum_gloeosporioides
OG0000001	XP_031885183.1	XP_045266806.1
OG0000001	XP_031885099.1	XP_045266881.1
OG0000001	XP_031892038.1	XP_045260583.1
OG0000001	XP_031889152.1	XP_045267961.1
OG0000001	XP_031879932.1	XP_045258161.1
OG0000001	XP_066008709.1	XP_045264793.1
OG0000001	XP_031890095.1	XP_045269537.1
OG0000001	XP_066010002.1	XP_045262880.1
OG0000001	XP_031890068.1	XP_045261998.1
OG0000001	XP_031889631.1	XP_045269696.1
OG0000002	XP_031879492.1	XP_045261593.1
OG0000002	XP_031890697.1	XP_045265914.1
OG0000002	XP_031881669.1	XP_045266625.1
OG0000002	XP_031885247.1	XP_045266916.1
OG0000002	XP_066007347.1	XP_045263097.1
OG0000002	XP_031885929.1	XP_045260282.1
OG0000002	XP_031879097.1	XP_045257976.1
OG0000002	XP_031884130.1	XP_045259138.1
OG0000002	XP_031889624.1	XP_045269804.1
OG0000002	XP_066009251.1	XP_045268680.1
OG0000002	XP_031879385.1	XP_045267720.1
OG0000002	XP_066007328.1	XP_045262999.1
OG0000002	XP_031878257.1	XP_045257237.1
OG0000002	XP_066007534.1	XP_045261135.1
OG0000002	XP_066009179.1	XP_045257918.1
OG0000002	XP_031879045.1	XP_045257973.1
OG0000003	XP_031877859.1	XP_045265768.1
OG0000003	XP_031884430.1	XP_045258913.1
OG0000003	XP_031890123.1	XP_045257401.1
OG0000003	XP_031879030.1	XP_045258026.1
OG0000003	XP_031886825.1	XP_045266664.1
OG0000003	XP_031880905.1	XP_045266150.1
OG0000003	XP_031882855.1	XP_045265820.1
OG0000003	XP_066009178.1	XP_045259914.1, XP_045257917.1
OG0000003	XP_031883473.1	XP_045269962.1
OG0000003	XP_031892929.1	XP_045268602.1
OG0000003	XP_031884263.1	XP_045262954.1
OG0000003	XP_031876867.1	XP_045259006.1
OG0000003	XP_031885127.1	XP_045266940.1
OG0000005	XP_031885484.1	XP_045258623.1
OG0000005	XP_066007217.1	XP_045256723.1
OG0000005	XP_031878093.1, XP_031893401.2	XP_045261007.1
OG0000005	XP_031883663.1	XP_045259354.1
OG0000005	XP_031888063.1	XP_045261341.1
OG0000005	XP_066007372.1	XP_045271000.1
OG0000005	XP_031882619.1	XP_045263060.1
OG0000005	XP_066009441.1	XP_045263638.1
OG0000005	XP_066009402.1	XP_045257604.1
OG0000005	XP_031891255.1	XP_045263814.1
OG0000005	XP_031878347.2	XP_045257257.1
