Orthogroup	Colletotrichum_karsti	Colletotrichum_gloeosporioides
OG0000001	XP_038742102.1	XP_045266806.1
OG0000001	XP_038742455.1	XP_045266881.1
OG0000001	XP_038749624.1, XP_038742262.1	XP_045260205.1
OG0000001	XP_038742324.1	XP_045260583.1
OG0000001	XP_038742974.1	XP_045265232.1, XP_045261171.1
OG0000001	XP_038750227.1	XP_045267961.1
OG0000001	XP_038750579.1	XP_045270330.1
OG0000001	XP_038740053.1	XP_045258161.1
OG0000001	XP_038739396.1	XP_045269538.1, XP_045269537.1
OG0000001	XP_038745379.1	XP_045261998.1
OG0000001	XP_038744591.1	XP_045269550.1
OG0000001	XP_038746377.1	XP_045269696.1
OG0000002	XP_038747034.1	XP_045261593.1
OG0000002	XP_038744613.1	XP_045266625.1
OG0000002	XP_038744608.1	XP_045260282.1
OG0000002	XP_038742597.1	XP_045257976.1
OG0000002	XP_038739885.1	XP_045269804.1, XP_045268680.1
OG0000002	XP_038750075.1	XP_045267720.1
OG0000002	XP_038741791.1	XP_045262999.1
OG0000002	XP_038748084.1	XP_045257237.1, XP_045261135.1
OG0000002	XP_038742596.1	XP_045257973.1
OG0000003	XP_038748601.1	XP_045265768.1
OG0000003	XP_038741985.1	XP_045258913.1
OG0000003	XP_038742690.1	XP_045257401.1
OG0000003	XP_038741848.1	XP_045258026.1
OG0000003	XP_038745194.1	XP_045266664.1
OG0000003	XP_038749795.1	XP_045266150.1
OG0000003	XP_038742843.1	XP_045265820.1
OG0000003	XP_038746686.1	XP_045269962.1
OG0000003	XP_038742954.1	XP_045268602.1
OG0000003	XP_038743265.1	XP_045262954.1
OG0000003	XP_038739177.1	XP_045259006.1
OG0000003	XP_038742506.1	XP_045266940.1
OG0000007	XP_038742340.1	XP_045260514.1
OG0000007	XP_038741456.1	XP_045261201.1
OG0000007	XP_038740211.1	XP_045257729.1
OG0000007	XP_038741585.1	XP_045257532.1
OG0000007	XP_038740577.1	XP_045268873.1
OG0000007	XP_038741890.1	XP_045269482.1
OG0000007	XP_038749800.1	XP_045266165.1
OG0000007	XP_038743880.1	XP_045264675.1
OG0000007	XP_038743631.1	XP_045268895.1
OG0000009	XP_038749796.1	XP_045266170.1
OG0000009	XP_038745184.1	XP_045266649.1
OG0000009	XP_038748265.1	XP_045270044.1
OG0000009	XP_038747710.1	XP_045270865.1
OG0000009	XP_038744526.1	XP_045266537.1
OG0000009	XP_038746723.1	XP_045257284.1
OG0000009	XP_038745995.1	XP_045271349.1
OG0000009	XP_038746906.1	XP_045267669.1
OG0000012	XP_038741434.1	XP_045268575.1
OG0000012	XP_038746590.1	XP_045261078.1
OG0000012	XP_038741849.1	XP_045258025.1
OG0000012	XP_038748114.1	XP_045259368.1
OG0000014	XP_038743338.1	XP_045270236.1
OG0000014	XP_038742823.1	XP_045261063.1
OG0000014	XP_038748556.1	XP_045263961.1
OG0000014	XP_038745510.1	XP_045260775.1
OG0000014	XP_038748341.1	XP_045261682.1
OG0000014	XP_038746259.1	XP_045265112.1
OG0000014	XP_038740332.1	XP_045257268.1
OG0000015	XP_038747728.1, XP_038741283.1	XP_045268750.1
OG0000015	XP_038741459.1	XP_045264778.1
OG0000015	XP_038742957.1	XP_045261256.1
OG0000015	XP_038745173.1	XP_045261345.1
OG0000016	XP_038750325.1	XP_045268108.1
OG0000016	XP_038740607.1	XP_045271029.1
OG0000016	XP_038743429.1	XP_045270259.1
OG0000016	XP_038747060.1	XP_045261571.1
OG0000016	XP_038742120.1	XP_045266826.1
OG0000016	XP_038751211.1	XP_045263857.1
OG0000017	XP_038738728.1	XP_045266928.1
OG0000017	XP_038739796.1	XP_045267817.1
OG0000017	XP_038751093.1	XP_045262462.1
OG0000017	XP_038746538.1	XP_045263525.1
OG0000017	XP_038749597.1	XP_045269008.1
OG0000017	XP_038740421.1	XP_045257135.1
OG0000017	XP_038748604.1	XP_045265779.1
OG0000018	XP_038744839.1	XP_045259861.1
OG0000018	XP_038740721.1	XP_045261750.1
OG0000018	XP_038743665.1, XP_038743680.1	XP_045269504.1, XP_045268940.1
OG0000018	XP_038740797.1, XP_038746235.1	XP_045258981.1
OG0000018	XP_038750098.1	XP_045260978.1, XP_045261206.1
OG0000018	XP_038751342.1	XP_045263914.1
OG0000019	XP_038742254.1	XP_045266134.1
OG0000019	XP_038746014.1	XP_045268713.1
OG0000019	XP_038742358.1	XP_045260527.1
OG0000019	XP_038747916.1	XP_045259856.1
OG0000019	XP_038742528.1, XP_038742526.1, XP_038742527.1, XP_038748189.1	XP_045266922.1
OG0000021	XP_038747639.1	XP_045264872.1
OG0000021	XP_038742714.1	XP_045267277.1
OG0000023	XP_038742786.1	XP_045261010.1
OG0000023	XP_038747724.1	XP_045260626.1
OG0000023	XP_038747041.1	XP_045261585.1
OG0000023	XP_038751432.1	XP_045268220.1
OG0000023	XP_038744036.1	XP_045260319.1
OG0000024	XP_038750167.1	XP_045267895.1
OG0000024	XP_038746030.1	XP_045271336.1
OG0000024	XP_038750868.1	XP_045261730.1
OG0000024	XP_038749957.1	XP_045266000.1
OG0000026	XP_038749949.1	XP_045265987.1
OG0000026	XP_038739803.1	XP_045265695.1
OG0000026	XP_038743309.1	XP_045270172.1
OG0000026	XP_038745044.1	XP_045265549.1
OG0000028	XP_038741868.1	XP_045257477.1
OG0000028	XP_038746879.1	XP_045267627.1
OG0000028	XP_038749042.1	XP_045266376.1
OG0000028	XP_038741883.1	XP_045257481.1
OG0000031	XP_038749924.1	XP_045261170.1
OG0000031	XP_038747655.1	XP_045270959.1
OG0000031	XP_038739645.1	XP_045269569.1
OG0000032	XP_038749055.1	XP_045266470.1
OG0000033	XP_038743001.1	XP_045264174.1
OG0000033	XP_038748989.1	XP_045262109.1
OG0000033	XP_038745613.1	XP_045259978.1
OG0000034	XP_038741734.1	XP_045263085.1
OG0000034	XP_038748332.1	XP_045270159.1
OG0000034	XP_038749610.1	XP_045269028.1
OG0000035	XP_038741043.1	XP_045256568.1
OG0000035	XP_038739905.1	XP_045259085.1
OG0000035	XP_038738852.1	XP_045256775.1
OG0000035	XP_038747431.1	XP_045270861.1, XP_045264968.1, XP_045268765.1, XP_045260563.1
OG0000037	XP_038742844.1	XP_045261096.1
OG0000037	XP_038739204.1	XP_045264881.1
OG0000037	XP_038747472.1	XP_045267710.1
OG0000037	XP_038741825.1	XP_045257505.1
OG0000038	XP_038740761.1	XP_045258960.1
OG0000038	XP_038746120.1	XP_045260204.1
OG0000038	XP_038749765.1, XP_038742808.1	XP_045261040.1
OG0000039	XP_038742949.1	XP_045267267.1
OG0000041	XP_038750340.1	XP_045264990.1, XP_045268471.1, XP_045259104.1, XP_045261784.1
OG0000043	XP_038742339.1	XP_045259173.1
OG0000043	XP_038742058.1	XP_045259172.1
OG0000043	XP_038748991.1	XP_045262503.1
OG0000043	XP_038744021.1	XP_045260283.1
OG0000044	XP_038748130.1	XP_045259382.1
OG0000044	XP_038741919.1	XP_045256116.1
OG0000044	XP_038743185.1	XP_045264199.1
OG0000046	XP_038749820.1	XP_045266187.1
OG0000046	XP_038750950.1	XP_045256698.1
OG0000046	XP_038743311.1	XP_045270169.1
OG0000046	XP_038750269.1	XP_045268007.1
OG0000047	XP_038739915.1	XP_045259080.1
OG0000047	XP_038743301.1	XP_045266983.1
OG0000047	XP_038746889.1	XP_045267639.1
OG0000047	XP_038746304.1	XP_045261726.1, XP_045259076.1
OG0000049	XP_038750320.1	XP_045263917.1
OG0000049	XP_038739678.1	XP_045269502.1
OG0000049	XP_038748549.1	XP_045267692.1
OG0000049	XP_038750912.1	XP_045261757.1
OG0000050	XP_038743985.1	XP_045271142.1
OG0000050	XP_038743187.1	XP_045264197.1
OG0000050	XP_038739079.1	XP_045262061.1
OG0000051	XP_038744342.1	XP_045263568.1
OG0000051	XP_038741321.1	XP_045267207.1
