Orthogroup	Colletotrichum_fructicola	Colletotrichum_karsti
OG0000001	XP_031885183.1	XP_038742102.1
OG0000001	XP_031885099.1	XP_038742455.1
OG0000001	XP_031892038.1	XP_038742324.1
OG0000001	XP_031889152.1	XP_038750227.1
OG0000001	XP_031879932.1	XP_038740053.1
OG0000001	XP_031890095.1	XP_038739396.1
OG0000001	XP_031890068.1	XP_038745379.1
OG0000001	XP_031889631.1	XP_038746377.1
OG0000002	XP_031879492.1	XP_038747034.1
OG0000002	XP_031881669.1	XP_038744613.1
OG0000002	XP_031876819.2	XP_038740422.1
OG0000002	XP_031885929.1	XP_038744608.1
OG0000002	XP_031879097.1	XP_038742597.1
OG0000002	XP_031889624.1, XP_066009251.1	XP_038739885.1
OG0000002	XP_031879385.1	XP_038750075.1
OG0000002	XP_066007328.1	XP_038741791.1
OG0000002	XP_031878257.1, XP_066007534.1	XP_038748084.1
OG0000002	XP_031879045.1	XP_038742596.1
OG0000003	XP_031877859.1	XP_038748601.1
OG0000003	XP_031884430.1	XP_038741985.1
OG0000003	XP_031890123.1	XP_038742690.1
OG0000003	XP_031879030.1	XP_038741848.1
OG0000003	XP_031886825.1	XP_038745194.1
OG0000003	XP_031880905.1	XP_038749795.1
OG0000003	XP_031882855.1	XP_038742843.1
OG0000003	XP_031883473.1	XP_038746686.1
OG0000003	XP_031892929.1	XP_038742954.1
OG0000003	XP_031884263.1	XP_038743265.1
OG0000003	XP_031876867.1	XP_038739177.1
OG0000003	XP_031885127.1	XP_038742506.1
OG0000007	XP_031891853.1	XP_038742340.1
OG0000007	XP_031888035.1	XP_038741456.1
OG0000007	XP_031879776.1	XP_038740211.1
OG0000007	XP_031892924.1	XP_038741585.1
OG0000007	XP_031886196.1	XP_038743862.1
OG0000007	XP_066008736.1	XP_038740577.1
OG0000007	XP_031884466.1	XP_038741890.1
OG0000007	XP_031879231.1	XP_038749800.1
OG0000007	XP_031885954.1	XP_038743880.1
OG0000007	XP_031892101.1	XP_038743631.1
OG0000009	XP_031879160.1	XP_038749796.1
OG0000009	XP_031886674.1	XP_038745184.1
OG0000009	XP_031877969.1	XP_038748265.1
OG0000009	XP_031891005.1	XP_038747710.1
OG0000009	XP_031876103.1	XP_038744526.1
OG0000009	XP_031875698.1	XP_038746723.1
OG0000009	XP_031884954.1	XP_038745995.1
OG0000009	XP_031878188.1	XP_038746906.1
OG0000012	XP_031882357.1	XP_038741434.1
OG0000012	XP_031889787.2	XP_038738849.1
OG0000012	XP_031876679.1	XP_038746590.1
OG0000012	XP_031879010.1	XP_038741849.1
OG0000012	XP_031883699.1	XP_038748114.1
OG0000014	XP_031877046.1	XP_038743338.1
OG0000014	XP_031876680.1	XP_038742823.1
OG0000014	XP_031890603.1	XP_038748556.1
OG0000014	XP_031890843.2	XP_038745510.1
OG0000014	XP_066008557.1	XP_038748341.1
OG0000014	XP_066007834.1	XP_038746259.1
OG0000014	XP_031878291.1	XP_038740332.1
OG0000015	XP_031893512.1	XP_038747728.1, XP_038741283.1
OG0000015	XP_066009789.1	XP_038748640.1
OG0000015	XP_066008106.1	XP_038742957.1
OG0000015	XP_031885778.1	XP_038743321.1, XP_038744200.1
OG0000016	XP_031880285.1	XP_038750325.1
OG0000016	XP_031876331.1	XP_038740607.1
OG0000016	XP_031877054.1	XP_038743429.1
OG0000016	XP_031879498.1	XP_038747060.1
OG0000016	XP_031885199.1	XP_038742120.1
OG0000016	XP_031891541.1	XP_038751211.1
OG0000017	XP_031885060.2	XP_038738728.1
OG0000017	XP_066009939.1	XP_038739796.1
OG0000017	XP_031887534.1	XP_038751093.1
OG0000017	XP_031882331.1	XP_038746538.1
OG0000017	XP_031881014.1	XP_038749597.1
OG0000017	XP_031876845.1	XP_038740421.1
OG0000017	XP_031877837.2	XP_038748604.1
OG0000018	XP_031881758.1	XP_038743594.1
OG0000018	XP_031881787.1	XP_038744839.1
OG0000018	XP_031878868.1	XP_038740721.1
OG0000018	XP_031884569.1, XP_031891833.1	XP_038743665.1, XP_038743680.1
OG0000018	XP_066007794.1	XP_038740797.1, XP_038746235.1
OG0000018	XP_031878172.1	XP_038750098.1
OG0000019	XP_066007478.1	XP_038742254.1
OG0000019	XP_066009012.1	XP_038746014.1
OG0000019	XP_031892157.1	XP_038742358.1
OG0000019	XP_031881790.1	XP_038747916.1
OG0000019	XP_031885121.1	XP_038742528.1
OG0000019	XP_031885119.1	XP_038742526.1
OG0000019	XP_031885122.1	XP_038742527.1
OG0000021	XP_031881524.2	XP_038747639.1
OG0000021	XP_066007387.1, XP_066006783.1, XP_066009279.1, XP_066007123.1	XP_038748220.1
OG0000021	XP_066006846.1	XP_038743443.1
OG0000021	XP_031893167.1	XP_038742714.1
OG0000023	XP_031878091.1	XP_038742786.1
OG0000023	XP_031890882.1	XP_038747724.1
OG0000023	XP_031879411.1	XP_038747041.1
OG0000023	XP_031892487.1	XP_038751432.1
OG0000023	XP_031885872.1	XP_038744036.1
