Orthogroup	Colletotrichum_siamense	Colletotrichum_truncatum
OG0000001	XP_036496581.1	XP_070060346.1
OG0000001	XP_036496526.1	XP_036586796.1
OG0000001	XP_036495399.1	XP_036580152.1
OG0000001	XP_036501140.1	XP_036585171.1
OG0000001	XP_036489610.1	XP_036589697.1
OG0000001	XP_036502151.1	XP_036574900.1
OG0000001	XP_036491417.1, XP_036491418.1	XP_036587766.1
OG0000001	XP_036491555.1	XP_036576586.2
OG0000002	XP_036500201.1	XP_070062049.1
OG0000002	XP_036490503.1	XP_036574664.1
OG0000002	XP_036494076.1	XP_070062632.1
OG0000002	XP_036493992.1	XP_036581241.1
OG0000002	XP_036501975.1	XP_036582377.1
OG0000002	XP_036491792.1	XP_036574167.1
OG0000002	XP_036493966.1	XP_070060513.1
OG0000002	XP_036502410.1	XP_036574742.1, XP_070062304.1
OG0000002	XP_036494525.1	XP_036576472.1
OG0000002	XP_036500478.1	XP_036581786.1
OG0000002	XP_036494317.1	XP_036583733.1
OG0000002	XP_036495012.1	XP_036581238.1
OG0000003	XP_036501204.1	XP_070061728.1
OG0000003	XP_036494043.1	XP_036581223.1
OG0000003	XP_036492461.1	XP_070060981.1
OG0000003	XP_036488495.1	XP_036577268.1
OG0000003	XP_036493278.1	XP_036578917.1
OG0000003	XP_036502893.1	XP_036583826.1
OG0000003	XP_036495366.1	XP_036586830.1
OG0000004	XP_036492242.1, XP_036490750.1, XP_036490361.1, XP_036489634.1, XP_036501323.1, XP_036489077.1, XP_036489453.1, XP_036489212.1, XP_036498341.1, XP_036492308.1, XP_036488984.1, XP_036489119.1, XP_036490877.1, XP_036490932.1, XP_036488766.1, XP_036490297.1, XP_036487865.1, XP_036497594.1, XP_036487755.1, XP_036498931.1, XP_036492135.1, XP_036487889.1, XP_036489172.1, XP_036501030.1, XP_036495208.1, XP_036490325.1, XP_036501337.1, XP_036490942.1, XP_036493903.1, XP_036502756.1, XP_036499906.1, XP_036489552.1, XP_036497341.1, XP_036498530.1, XP_036502562.1, XP_036494451.1, XP_036496412.1, XP_036498381.1, XP_036501942.1, XP_036491295.1, XP_036493862.1, XP_036497261.1, XP_036501572.1, XP_036496061.1, XP_036492998.1, XP_036499873.1, XP_036493709.1, XP_036497129.1, XP_036494859.1, XP_036492521.1, XP_036501811.1, XP_036498567.1, XP_036491571.1, XP_036493023.1, XP_036493095.1, XP_036493053.1, XP_036499281.1, XP_036488582.1, XP_036502840.1, XP_036493098.1, XP_036491348.1, XP_036493321.1, XP_036498169.1	XP_036583010.1, XP_036584088.1, XP_036587296.1, XP_036577146.1, XP_036575796.1, XP_036576924.1, XP_036584653.1, XP_036575546.1, XP_036578683.1, XP_036588771.1, XP_036578294.1, XP_036577800.1, XP_036580766.1
OG0000004	XP_036494364.1	XP_036584481.1, XP_036584476.1, XP_036584336.1, XP_070059853.1
OG0000005	XP_036500004.1, XP_036494945.1	XP_070062012.1, XP_070060081.1
OG0000005	XP_036488430.1, XP_036495080.1	XP_070060547.1
OG0000005	XP_036490222.1	XP_070061481.1
OG0000005	XP_036488861.1	XP_036588222.2
OG0000005	XP_036494792.1, XP_036497094.1	XP_070060019.1
OG0000005	XP_036497196.1	XP_070062638.1
OG0000005	XP_036501598.1, XP_036500396.1, XP_036495414.1	XP_036586561.1
OG0000005	XP_036502086.1, XP_036490827.1	XP_036574652.1
OG0000005	XP_036496619.1	XP_036579587.1
OG0000007	XP_036496109.1	XP_036580140.1
OG0000007	XP_036491239.1	XP_036574479.1
OG0000007	XP_036493442.1	XP_036575499.1
OG0000007	XP_036494883.1	XP_036575385.1
