HOG	OG	Gene Tree Parent Clade	Colletotrichum_abscissum	Colletotrichum_acutatum	Colletotrichum_fructicola	Colletotrichum_gloeosporioides	Colletotrichum_godetiae	Colletotrichum_karsti	Colletotrichum_siamense	Colletotrichum_truncatum
N5.HOG0000000	OG0000000	n41			XP_031878483.1, XP_066009607.1					
N5.HOG0000001	OG0000000	n44			XP_066009636.1, XP_031882429.2					
N5.HOG0000002	OG0000001	n1			XP_031885183.1	XP_045266806.1			XP_036496581.1	
N5.HOG0000003	OG0000001	n12			XP_031885099.1	XP_045266881.1			XP_036496526.1	
N5.HOG0000004	OG0000001	n26							XP_036497488.1	
N5.HOG0000005	OG0000001	n27							XP_036492781.1	
N5.HOG0000006	OG0000001	n36			XP_031892038.1	XP_045260583.1			XP_036495399.1	
N5.HOG0000007	OG0000001	n43				XP_045265232.1, XP_045261171.1				
N5.HOG0000008	OG0000001	n52				XP_045265792.1			XP_036501140.1	
N5.HOG0000009	OG0000001	n57			XP_031889152.1	XP_045267961.1			XP_036489610.1	
N5.HOG0000010	OG0000001	n64				XP_045270330.1				
N5.HOG0000011	OG0000001	n70			XP_031879932.1	XP_045258161.1			XP_036502151.1	
N5.HOG0000012	OG0000001	n81			XP_066008709.1	XP_045264793.1				
N5.HOG0000013	OG0000001	n85			XP_066008663.1					
N5.HOG0000014	OG0000001	n94				XP_045269538.1			XP_036491417.1	
N5.HOG0000015	OG0000001	n95			XP_031890095.1	XP_045269537.1			XP_036491418.1	
N5.HOG0000016	OG0000001	n97							XP_036491555.1	
N5.HOG0000017	OG0000001	n107			XP_066010002.1	XP_045262880.1				
N5.HOG0000018	OG0000001	n110			XP_031890068.1	XP_045261998.1			XP_036491388.1	
N5.HOG0000019	OG0000001	n116				XP_045269550.1				
N5.HOG0000020	OG0000001	n120			XP_031889631.1	XP_045269696.1			XP_036492025.1	
N5.HOG0000021	OG0000002	n1			XP_031879492.1	XP_045261593.1			XP_036500201.1	
N5.HOG0000022	OG0000002	n13			XP_031890697.1	XP_045265914.1			XP_036492540.1	
N5.HOG0000023	OG0000002	n17			XP_031881669.1	XP_045266625.1			XP_036490503.1	
N5.HOG0000024	OG0000002	n24			XP_031885247.1	XP_045266916.1			XP_036496555.1	
N5.HOG0000025	OG0000002	n28			XP_031876819.2				XP_036500252.1	
N5.HOG0000026	OG0000002	n30			XP_066007347.1	XP_045263097.1			XP_036494076.1	
N5.HOG0000027	OG0000002	n36			XP_031885929.1	XP_045260282.1			XP_036499179.1	
N5.HOG0000028	OG0000002	n41			XP_031879097.1	XP_045257976.1			XP_036493992.1	
