Orthogroup	Colletotrichum_gloeosporioides	Colletotrichum_acutatum
OG0000001	XP_045266806.1	XP_060369736.1
OG0000001	XP_045266881.1	XP_060369837.1
OG0000001	XP_045260205.1	XP_060370677.1
OG0000001	XP_045260583.1	XP_060357666.1
OG0000001	XP_045265792.1	XP_060369357.1
OG0000001	XP_045267961.1	XP_060361400.1
OG0000001	XP_045270330.1	XP_060370302.1
OG0000001	XP_045258161.1	XP_060368338.1
OG0000001	XP_045264793.1	XP_060366673.1
OG0000001	XP_045269538.1, XP_045269537.1	XP_060362522.1
OG0000001	XP_045261998.1	XP_060362045.1
OG0000001	XP_045269550.1	XP_060368647.1
OG0000001	XP_045269696.1	XP_060361839.1
OG0000002	XP_045261593.1	XP_060370560.1
OG0000002	XP_045266625.1	XP_060364930.1
OG0000002	XP_045266916.1	XP_060362536.1
OG0000002	XP_045263097.1	XP_060358755.1
OG0000002	XP_045263743.1	XP_060360643.1
OG0000002	XP_045269804.1, XP_045268680.1	XP_060362682.1
OG0000002	XP_045257237.1, XP_045261135.1	XP_060363097.1
OG0000002	XP_045257973.1	XP_060358945.1
OG0000003	XP_045265768.1	XP_060369339.1
OG0000003	XP_045266664.1	XP_060372014.1
OG0000003	XP_045266150.1	XP_060357316.1
OG0000003	XP_045265820.1	XP_060358372.1
OG0000003	XP_045269962.1	XP_060360249.1
OG0000003	XP_045268602.1	XP_060370171.1
OG0000003	XP_045262954.1	XP_060358076.1
OG0000003	XP_045266940.1	XP_060361096.1
OG0000005	XP_045261341.1, XP_045271000.1, XP_045265836.1, XP_045265148.1, XP_045264830.1, XP_045263060.1, XP_045263638.1, XP_045271041.1, XP_045262492.1, XP_045256205.1, XP_045265992.1, XP_045264820.1, XP_045269071.1, XP_045261382.1, XP_045258050.1, XP_045256406.1, XP_045263328.1, XP_045261517.1, XP_045261183.1, XP_045265401.1, XP_045267867.1, XP_045261440.1, XP_045259543.1, XP_045263922.1, XP_045265766.1, XP_045257604.1	XP_060357738.1
OG0000007	XP_045260514.1	XP_060363105.1
OG0000007	XP_045261201.1	XP_060358704.1
OG0000007	XP_045257729.1	XP_060357532.1
OG0000007	XP_045257532.1	XP_060365201.1
OG0000007	XP_045269482.1	XP_060362502.1
OG0000007	XP_045266165.1	XP_060362818.1
OG0000007	XP_045264675.1	XP_060362950.1
OG0000007	XP_045268895.1	XP_060364959.1
OG0000009	XP_045266170.1	XP_060362817.1
OG0000009	XP_045266649.1	XP_060372034.1
OG0000009	XP_045270044.1	XP_060357116.1, XP_060363670.1
OG0000009	XP_045270865.1	XP_060359947.1
OG0000009	XP_045266537.1	XP_060367982.1
OG0000009	XP_045257284.1	XP_060365596.1
OG0000009	XP_045271349.1	XP_060365779.1
OG0000009	XP_045267669.1	XP_060359213.1
OG0000012	XP_045268575.1	XP_060361151.1
OG0000012	XP_045265200.1	XP_060367702.1
OG0000012	XP_045268671.1	XP_060362674.1
OG0000012	XP_045261078.1	XP_060358257.1
OG0000012	XP_045258025.1	XP_060358924.1
OG0000012	XP_045259368.1	XP_060360787.1
OG0000014	XP_045270236.1	XP_060360753.1
OG0000014	XP_045261063.1	XP_060364441.1
OG0000014	XP_045263961.1	XP_060369282.1
OG0000014	XP_045260775.1	XP_060368461.1
OG0000014	XP_045261682.1	XP_060363263.1
OG0000014	XP_045265112.1, XP_045257268.1	XP_060360057.1
OG0000015	XP_045268064.1	XP_060359195.1
OG0000015	XP_045261256.1	XP_060365374.1
OG0000016	XP_045268108.1	XP_060361705.1
OG0000016	XP_045271029.1	XP_060359899.1
OG0000016	XP_045270259.1	XP_060368408.1
OG0000016	XP_045261571.1	XP_060370564.1
OG0000016	XP_045263857.1	XP_060357468.1
OG0000017	XP_045267817.1	XP_060362467.1
OG0000017	XP_045262462.1	XP_060362115.1
OG0000017	XP_045263525.1	XP_060369615.1, XP_060366707.1
OG0000017	XP_045269008.1, XP_045257135.1, XP_045265779.1	XP_060357608.1
OG0000018	XP_045261750.1, XP_045269504.1, XP_045268940.1, XP_045258981.1	XP_060358662.1
OG0000018	XP_045260978.1, XP_045261206.1, XP_045263914.1	XP_060357754.1, XP_060363688.1, XP_060360494.1, XP_060365204.1
OG0000019	XP_045266134.1	XP_060363470.1
OG0000019	XP_045268713.1, XP_045260527.1, XP_045259856.1, XP_045266922.1	XP_060369834.1
