Orthogroup	Colletotrichum_abscissum	Colletotrichum_godetiae
OG0000001	XP_060390852.1	XP_060430719.1
OG0000001	XP_060406495.1	XP_060430831.1
OG0000001	XP_060392196.1	XP_060427985.1
OG0000001	XP_060396962.1	XP_060436529.1
OG0000001	XP_060390810.1	XP_060428091.1, XP_060425082.1
OG0000001	XP_060396987.1	XP_060436502.1
OG0000001	XP_060400900.1	XP_060431810.1
OG0000001	XP_060394606.1	XP_060424765.1
OG0000001	XP_060400656.1	XP_060424800.1
OG0000001	XP_060397645.1	XP_060427432.1
OG0000001	XP_060402253.1	XP_060430320.1
OG0000001	XP_060397793.1	XP_060430204.1
OG0000001	XP_060394053.1	XP_060434819.1
OG0000001	XP_060393097.1	XP_060436634.1
OG0000001	XP_060391941.1	XP_060430506.1
OG0000002	XP_060398589.1	XP_060433373.1
OG0000002	XP_060397467.1	XP_060431021.1
OG0000002	XP_060401161.1	XP_060429098.1
OG0000002	XP_060401349.1	XP_060428901.1
OG0000002	XP_060399255.1	XP_060425395.1
OG0000002	XP_060397337.1	XP_060421889.1
OG0000002	XP_060402695.1	XP_060424684.1
OG0000003	XP_060390395.1	XP_060431388.1
OG0000003	XP_060399396.1	XP_060428117.1
OG0000003	XP_060394431.1	XP_060433884.1
OG0000003	XP_060403315.1	XP_060425653.1
OG0000003	XP_060402687.1	XP_060424675.1
OG0000003	XP_060396077.1	XP_060433305.1
OG0000003	XP_060399182.1	XP_060426621.1
OG0000003	XP_060395986.1	XP_060433222.1
OG0000003	XP_060395142.1	XP_060430890.1
OG0000007	XP_060397331.1	XP_060428043.1
OG0000007	XP_060403052.1	XP_060426126.1
OG0000007	XP_060401254.1	XP_060428999.1
OG0000007	XP_060405354.1	XP_060422886.1
OG0000007	XP_060394556.1	XP_060429807.1
OG0000007	XP_060402270.1	XP_060430335.1
OG0000007	XP_060403306.1	XP_060425659.1
OG0000007	XP_060405375.1	XP_060422903.1
OG0000007	XP_060394953.1	XP_060431051.1
OG0000009	XP_060403308.1	XP_060425658.1
OG0000009	XP_060393780.1	XP_060433863.1
OG0000009	XP_060391561.1	XP_060429588.1
OG0000009	XP_060398896.1	XP_060425888.1
OG0000009	XP_060397061.1	XP_060436719.1
OG0000009	XP_060405039.1	XP_060427117.1
OG0000009	XP_060395651.1	XP_060425216.1
OG0000009	XP_060400702.1	XP_060424844.1
OG0000012	XP_060403373.1	XP_060425599.1
OG0000012	XP_060400763.1	XP_060433606.1
OG0000012	XP_060401340.1	XP_060428910.1
OG0000012	XP_060395547.1	XP_060430634.1
OG0000012	XP_060391397.1	XP_060429755.1, XP_060425735.1
OG0000012	XP_060404556.1	XP_060427607.1
OG0000012	XP_060399397.1	XP_060428118.1
OG0000012	XP_060401099.1	XP_060427932.1
OG0000012	XP_060391505.1	XP_060424388.1
OG0000014	XP_060396017.1	XP_060433247.1
OG0000014	XP_060403552.1	XP_060429479.1
OG0000014	XP_060390329.1	XP_060431445.1
OG0000014	XP_060396195.1	XP_060426988.1
OG0000014	XP_060398696.1	XP_060426412.1
OG0000014	XP_060392120.1	XP_060422444.1
OG0000015	XP_060400724.1	XP_060424864.1
OG0000016	XP_060404839.1	XP_060436401.1
OG0000016	XP_060391300.1	XP_060423652.1
OG0000016	XP_060396140.1	XP_060433359.1
OG0000016	XP_060398585.1	XP_060433378.1
OG0000016	XP_060401860.1	XP_060427843.1
OG0000017	XP_060399441.1	XP_060428176.1
OG0000017	XP_060402306.1	XP_060430370.1
OG0000017	XP_060389867.1	XP_060435846.1
OG0000017	XP_060389623.1	XP_060435607.1
OG0000017	XP_060397678.1	XP_060427398.1
OG0000017	XP_060395056.1	XP_060431154.1
OG0000018	XP_060402315.1	XP_060430376.1
OG0000018	XP_060391830.1	XP_060427534.1
OG0000018	XP_060393721.1	XP_060433811.1
OG0000019	XP_060389929.1	XP_060435896.1
OG0000019	XP_060406513.1	XP_060430815.1
OG0000019	XP_060406514.1	XP_060430814.1
OG0000019	XP_060405401.1	XP_060430406.1
OG0000020	XP_060399447.1	XP_060428182.1
OG0000021	XP_060397416.1	XP_060421692.1, XP_060421691.1
OG0000021	XP_060405662.1	XP_060423578.1
OG0000023	XP_060394492.1	XP_060429564.1
OG0000023	XP_060390983.1	XP_060425815.1
OG0000023	XP_060398582.1	XP_060433414.1
OG0000023	XP_060404753.1	XP_060436329.1
OG0000023	XP_060396269.1	XP_060424910.1
OG0000024	XP_060404873.1	XP_060436445.1
OG0000024	XP_060403396.1	XP_060425577.1
OG0000024	XP_060404550.1	XP_060427612.1
OG0000024	XP_060397413.1	XP_060430976.1
OG0000024	XP_060403453.1	XP_060429383.1
OG0000026	XP_060403455.1	XP_060429386.1
OG0000026	XP_060402121.1	XP_060428763.1
OG0000026	XP_060406170.1	XP_060429661.1
OG0000028	XP_060399361.1	XP_060428084.1
OG0000028	XP_060400686.1	XP_060424829.1
OG0000028	XP_060389510.1	XP_060436891.1
OG0000028	XP_060399353.1	XP_060428081.1
OG0000028	XP_060400602.1	XP_060422176.1
OG0000028	XP_060395232.1	XP_060430971.1
OG0000031	XP_060403535.1	XP_060429462.1
OG0000031	XP_060398830.1	XP_060423022.1
OG0000031	XP_060399269.1	XP_060425379.1
OG0000031	XP_060403404.1	XP_060425569.1
OG0000032	XP_060404934.1	XP_060423400.1, XP_060423399.1
OG0000032	XP_060396192.1, XP_060396193.1	XP_060423317.1, XP_060422826.1, XP_060436851.1
OG0000032	XP_060399730.1	XP_060422825.1, XP_060423318.1
OG0000033	XP_060391326.1	XP_060425685.1
OG0000033	XP_060391547.1, XP_060391545.1	XP_060432069.1
OG0000033	XP_060397257.1	XP_060428895.1
OG0000034	XP_060393334.1	XP_060425434.1
OG0000034	XP_060404226.1	XP_060425010.1
OG0000034	XP_060391662.1	XP_060426368.1
OG0000034	XP_060393666.1	XP_060427517.1
OG0000035	XP_060392385.1	XP_060437284.1
OG0000035	XP_060405054.1	XP_060427104.1
OG0000035	XP_060399036.1	XP_060426759.1
OG0000035	XP_060406211.1	XP_060429699.1
OG0000037	XP_060403586.1	XP_060429509.1
