Orthogroup	Colletotrichum_godetiae	Colletotrichum_truncatum
OG0000000	XP_060427691.1	XP_070060039.1, XP_070061288.1, XP_070062679.1, XP_070060703.1, XP_070062118.1, XP_070059937.1, XP_070062451.1, XP_070060944.1, XP_070062241.1, XP_070061536.1, XP_070061522.1, XP_070061498.1, XP_070060879.1, XP_070060419.1, XP_070061241.1, XP_070060041.1, XP_070060521.1, XP_070062385.1, XP_070062137.1, XP_070062452.1, XP_070060658.1, XP_070061523.1, XP_070062052.1, XP_070060696.1, XP_070062516.1, XP_070061609.1, XP_070061605.1, XP_070060634.1, XP_070062381.1, XP_070062196.1, XP_070061151.1, XP_070061264.1, XP_070060741.1
OG0000000	XP_060427692.1	XP_070060660.1, XP_070060659.1, XP_070059920.1, XP_070062420.1
OG0000001	XP_060430719.1	XP_070060346.1
OG0000001	XP_060430831.1	XP_036586796.1
OG0000001	XP_060427985.1	XP_036580152.1
OG0000001	XP_060431366.1	XP_036585171.1
OG0000001	XP_060436502.1	XP_036589697.1
OG0000001	XP_060424765.1, XP_060424800.1, XP_060424702.1, XP_060427432.1	XP_036574900.1
OG0000001	XP_060430320.1	XP_036587766.1
OG0000001	XP_060430204.1	XP_036576586.2
OG0000001	XP_060430440.1	XP_036578974.1
OG0000002	XP_060433373.1	XP_070062049.1
OG0000002	XP_060431021.1	XP_036574664.1
OG0000002	XP_060429098.1	XP_070062632.1
OG0000002	XP_060428147.1	XP_036581241.1
OG0000002	XP_060422802.1	XP_036582377.1
OG0000002	XP_060428901.1	XP_036574167.1, XP_070060513.1
OG0000002	XP_060425395.1	XP_036574742.1, XP_070062304.1, XP_036576472.1
OG0000002	XP_060421889.1	XP_036581786.1
OG0000002	XP_060424684.1	XP_036583733.1, XP_036584023.2
OG0000002	XP_060428142.1	XP_036581238.1
OG0000003	XP_060431388.1	XP_070061728.1
OG0000003	XP_060428117.1	XP_036586332.1
OG0000003	XP_060433884.1	XP_070060981.1
OG0000003	XP_060425653.1	XP_036577268.1
OG0000003	XP_060425251.1	XP_036578917.1
OG0000003	XP_060433222.1	XP_036583826.1
OG0000003	XP_060430890.1	XP_036586830.1
OG0000005	XP_060428377.1	XP_070062012.1, XP_070060081.1
OG0000005	XP_060431584.1	XP_070060019.1
OG0000005	XP_060422213.1	XP_070062638.1
OG0000005	XP_060436614.1	XP_036586561.1, XP_036574652.1, XP_036579587.1
OG0000007	XP_060428043.1	XP_036580140.1
OG0000007	XP_060426126.1	XP_036575499.1
OG0000007	XP_060428999.1	XP_036575385.1
OG0000007	XP_060422886.1	XP_036576846.1
OG0000007	XP_060429807.1	XP_036578124.2
OG0000007	XP_060430335.1	XP_036574613.1
OG0000007	XP_060425659.1	XP_070060710.1
OG0000007	XP_060422903.1	XP_070061891.1
OG0000007	XP_060431051.1	XP_036578145.1
OG0000008	XP_060426331.1	XP_036574350.1
OG0000008	XP_060429666.1	XP_036577468.1
OG0000008	XP_060425417.1	XP_036582296.1
OG0000009	XP_060425658.1	XP_036577266.1
OG0000009	XP_060433863.1	XP_036587406.1
OG0000009	XP_060429588.1	XP_036589787.1
OG0000009	XP_060425888.1	XP_036588082.2
