Orthogroup	Colletotrichum_gloeosporioides	Colletotrichum_godetiae
OG0000001	XP_045266806.1	XP_060430719.1
OG0000001	XP_045266881.1	XP_060430831.1
OG0000001	XP_045260205.1	XP_060433490.1
OG0000001	XP_045260583.1	XP_060427985.1
OG0000001	XP_045265792.1	XP_060431366.1
OG0000001	XP_045267961.1	XP_060436502.1
OG0000001	XP_045270330.1	XP_060431810.1
OG0000001	XP_045258161.1	XP_060424765.1
OG0000001	XP_045264793.1	XP_060427432.1
OG0000001	XP_045269538.1, XP_045269537.1	XP_060430320.1
OG0000001	XP_045261998.1	XP_060436634.1
OG0000001	XP_045269550.1	XP_060430440.1
OG0000001	XP_045269696.1	XP_060430506.1
OG0000002	XP_045261593.1	XP_060433373.1
OG0000002	XP_045266625.1	XP_060431021.1
OG0000002	XP_045263097.1	XP_060429098.1
OG0000002	XP_045257976.1	XP_060428147.1
OG0000002	XP_045259138.1	XP_060422802.1
OG0000002	XP_045269804.1, XP_045268680.1	XP_060428901.1
OG0000002	XP_045267720.1, XP_045262999.1	XP_060425395.1
OG0000002	XP_045257237.1, XP_045261135.1	XP_060421889.1
OG0000002	XP_045257918.1, XP_045265005.1	XP_060424684.1
OG0000002	XP_045257973.1	XP_060428142.1
OG0000003	XP_045265768.1	XP_060431388.1
OG0000003	XP_045266664.1	XP_060433884.1
OG0000003	XP_045266150.1	XP_060425653.1
OG0000003	XP_045269962.1	XP_060433305.1
OG0000003	XP_045268602.1	XP_060426621.1
OG0000003	XP_045262954.1	XP_060433222.1
OG0000003	XP_045266940.1	XP_060430890.1
OG0000005	XP_045258623.1, XP_045256723.1	XP_060428377.1
OG0000005	XP_045263060.1, XP_045263638.1	XP_060431584.1
OG0000005	XP_045257604.1	XP_060422213.1
OG0000005	XP_045263814.1, XP_045257257.1, XP_045263231.1, XP_045259151.1, XP_045264508.1, XP_045265263.1	XP_060436614.1
OG0000007	XP_045260514.1	XP_060428043.1
OG0000007	XP_045257729.1	XP_060426126.1
OG0000007	XP_045257532.1	XP_060428999.1
OG0000007	XP_045268873.1	XP_060429807.1
OG0000007	XP_045269482.1	XP_060430335.1
OG0000007	XP_045266165.1	XP_060425659.1
OG0000007	XP_045264675.1	XP_060422903.1
OG0000007	XP_045268895.1	XP_060431051.1
OG0000009	XP_045266170.1	XP_060425658.1
OG0000009	XP_045266649.1	XP_060433863.1
OG0000009	XP_045270044.1	XP_060429588.1
OG0000009	XP_045270865.1	XP_060425888.1
OG0000009	XP_045266537.1	XP_060436719.1
OG0000009	XP_045257284.1	XP_060427117.1
OG0000009	XP_045271349.1	XP_060425216.1
OG0000009	XP_045267669.1	XP_060424844.1
OG0000012	XP_045268575.1	XP_060425599.1
OG0000012	XP_045265200.1	XP_060433606.1
OG0000012	XP_045268671.1	XP_060428910.1
OG0000012	XP_045261078.1	XP_060427607.1
OG0000012	XP_045258025.1	XP_060428118.1
