Orthogroup	Colletotrichum_karsti	Colletotrichum_acutatum
OG0000001	XP_038742102.1	XP_060369736.1
OG0000001	XP_038742455.1	XP_060369837.1
OG0000001	XP_038749624.1, XP_038742262.1	XP_060370677.1
OG0000001	XP_038742324.1	XP_060357666.1
OG0000001	XP_038750227.1	XP_060361400.1
OG0000001	XP_038750579.1	XP_060370302.1
OG0000001	XP_038740053.1	XP_060368338.1
OG0000001	XP_038739396.1	XP_060362522.1, XP_060367183.1
OG0000001	XP_038745379.1	XP_060362045.1
OG0000001	XP_038744591.1	XP_060368647.1
OG0000001	XP_038746377.1	XP_060361839.1
OG0000002	XP_038747034.1	XP_060370560.1
OG0000002	XP_038744613.1	XP_060364930.1
OG0000002	XP_038739885.1	XP_060362682.1
OG0000002	XP_038748084.1	XP_060363097.1
OG0000002	XP_038742596.1	XP_060358945.1
OG0000002	XP_038751217.1	XP_060363092.1
OG0000003	XP_038748601.1	XP_060369339.1
OG0000003	XP_038745194.1	XP_060372014.1
OG0000003	XP_038749795.1	XP_060357316.1
OG0000003	XP_038742843.1	XP_060358372.1
OG0000003	XP_038746686.1	XP_060360249.1
OG0000003	XP_038742954.1	XP_060370171.1
OG0000003	XP_038743265.1	XP_060358076.1
OG0000003	XP_038742506.1	XP_060361096.1
OG0000007	XP_038742340.1	XP_060363105.1
OG0000007	XP_038741456.1	XP_060358704.1
OG0000007	XP_038740211.1	XP_060357532.1
OG0000007	XP_038741585.1	XP_060365201.1
OG0000007	XP_038743862.1	XP_060362933.1
OG0000007	XP_038741890.1	XP_060362502.1
OG0000007	XP_038749800.1	XP_060362818.1
OG0000007	XP_038743880.1	XP_060362950.1
OG0000007	XP_038743631.1	XP_060364959.1
OG0000009	XP_038749796.1	XP_060362817.1
OG0000009	XP_038745184.1	XP_060372034.1
OG0000009	XP_038748265.1	XP_060357116.1, XP_060363670.1
OG0000009	XP_038747710.1	XP_060359947.1
OG0000009	XP_038744526.1	XP_060367982.1
OG0000009	XP_038746723.1	XP_060365596.1
OG0000009	XP_038745995.1	XP_060365779.1
OG0000009	XP_038746906.1	XP_060359213.1
OG0000012	XP_038741434.1	XP_060361151.1
OG0000012	XP_038738849.1	XP_060365541.1
OG0000012	XP_038741592.1	XP_060361768.1
OG0000012	XP_038746590.1	XP_060358257.1
OG0000012	XP_038741849.1	XP_060358924.1
OG0000012	XP_038748114.1	XP_060360787.1
OG0000014	XP_038743338.1	XP_060360753.1
OG0000014	XP_038742823.1	XP_060364441.1
OG0000014	XP_038748556.1	XP_060369282.1
OG0000014	XP_038745510.1	XP_060368461.1
OG0000014	XP_038748341.1	XP_060363263.1
OG0000014	XP_038746259.1, XP_038740332.1	XP_060360057.1
OG0000015	XP_038742957.1	XP_060365374.1
OG0000016	XP_038750325.1	XP_060361705.1
OG0000016	XP_038740607.1	XP_060359899.1
OG0000016	XP_038743429.1	XP_060368408.1
OG0000016	XP_038741691.1, XP_038743399.1, XP_038747060.1	XP_060370564.1
OG0000016	XP_038751211.1	XP_060357468.1
OG0000017	XP_038739796.1	XP_060362467.1
OG0000017	XP_038751093.1	XP_060362115.1
OG0000017	XP_038746538.1	XP_060369615.1, XP_060366707.1
OG0000017	XP_038749597.1, XP_038740421.1, XP_038748604.1	XP_060357608.1
OG0000018	XP_038743594.1	XP_060369068.1
OG0000018	XP_038740721.1, XP_038743665.1, XP_038743680.1, XP_038740797.1, XP_038746235.1	XP_060358662.1
OG0000018	XP_038750098.1, XP_038751342.1	XP_060357754.1, XP_060363688.1, XP_060360494.1, XP_060365204.1
OG0000019	XP_038742254.1	XP_060363470.1
OG0000019	XP_038746014.1, XP_038742358.1, XP_038747916.1, XP_038742528.1, XP_038742526.1, XP_038742527.1, XP_038748189.1	XP_060369834.1
OG0000019	XP_038746348.1	XP_060369833.1
OG0000021	XP_038747639.1	XP_060357570.1
OG0000021	XP_038748220.1, XP_038743443.1	XP_060364842.1
OG0000023	XP_038742786.1	XP_060365025.1
OG0000023	XP_038747724.1	XP_060358681.1
OG0000023	XP_038747041.1	XP_060370568.1
OG0000023	XP_038751432.1	XP_060365425.1
OG0000023	XP_038744036.1, XP_038747906.1	XP_060368532.1
OG0000024	XP_038750167.1	XP_060362290.1
OG0000024	XP_038749840.1	XP_060361172.1
OG0000024	XP_038750868.1	XP_060358801.1
OG0000024	XP_038749957.1	XP_060364880.1, XP_060358991.1
OG0000026	XP_038749949.1	XP_060358993.1
OG0000026	XP_038739803.1	XP_060368993.1, XP_060368992.1
OG0000026	XP_038745044.1	XP_060371329.1
OG0000028	XP_038741868.1	XP_060357803.1
OG0000028	XP_038746879.1	XP_060357627.1
OG0000028	XP_038741883.1	XP_060357808.1
OG0000031	XP_038749924.1	XP_060364458.1
OG0000031	XP_038747655.1	XP_060362254.1
OG0000031	XP_038739645.1	XP_060361185.1
OG0000032	XP_038749055.1	XP_060359846.1, XP_060359704.1
OG0000033	XP_038743001.1	XP_060359875.1
OG0000033	XP_038748989.1	XP_060357198.1
OG0000034	XP_038741734.1	XP_060365976.1
OG0000034	XP_038746609.1	XP_060359479.1
OG0000034	XP_038751740.1, XP_038748332.1	XP_060358573.1
OG0000034	XP_038749610.1	XP_060363708.1
OG0000035	XP_038741043.1	XP_060366162.1
OG0000035	XP_038739905.1	XP_060365611.1
OG0000035	XP_038747431.1	XP_060357053.1, XP_060371363.1
OG0000037	XP_038742844.1	XP_060364411.1
OG0000037	XP_038739204.1	XP_060363205.1
OG0000037	XP_038741825.1	XP_060359498.1
OG0000038	XP_038740761.1	XP_060367929.1
OG0000039	XP_038742949.1	XP_060368365.1
OG0000043	XP_038744244.1	XP_060359592.1
OG0000043	XP_038744021.1	XP_060367831.1
OG0000044	XP_038748130.1	XP_060360761.1
OG0000044	XP_038747739.1	XP_060358684.1
OG0000044	XP_038741919.1, XP_038743185.1	XP_060361230.1
OG0000044	XP_038746929.1	XP_060357062.1
OG0000046	XP_038749820.1	XP_060362833.1
OG0000046	XP_038743311.1	XP_060360243.1
OG0000046	XP_038750269.1	XP_060361446.1
OG0000047	XP_038746889.1	XP_060357890.1
OG0000049	XP_038750320.1	XP_060365049.1
OG0000049	XP_038748549.1	XP_060363156.1
OG0000049	XP_038750912.1	XP_060358145.1
OG0000050	XP_038743985.1	XP_060367791.1
OG0000050	XP_038743187.1	XP_060361232.1
OG0000050	XP_038739079.1	XP_060371737.1
OG0000051	XP_038744342.1	XP_060366641.1
OG0000051	XP_038741321.1	XP_060365214.1
OG0000051	XP_038739555.1	XP_060367490.1
OG0000051	XP_038740059.1	XP_060368329.1
OG0000054	XP_038740594.1	XP_060359889.1
OG0000054	XP_038746041.1	XP_060358854.1
OG0000055	XP_038750112.1	XP_060358650.1
OG0000055	XP_038739230.1	XP_060357465.1
OG0000057	XP_038749116.1	XP_060365979.1
OG0000057	XP_038738880.1	XP_060363619.1
OG0000057	XP_038742534.1	XP_060357330.1
OG0000058	XP_038751481.1	XP_060371110.1
OG0000059	XP_038748983.1	XP_060357826.1
OG0000059	XP_038744290.1	XP_060360999.1
OG0000064	XP_038741951.1	XP_060366492.1
OG0000064	XP_038748953.1	XP_060357678.1
OG0000064	XP_038750307.1	XP_060358594.1, XP_060358260.1
OG0000065	XP_038741888.1	XP_060357974.1
OG0000065	XP_038744511.1	XP_060371684.1
OG0000067	XP_038741062.1	XP_060365964.1
OG0000067	XP_038749718.1	XP_060357896.1
OG0000068	XP_038742454.1	XP_060364072.1
OG0000068	XP_038742456.1	XP_060369841.1
OG0000069	XP_038740857.1, XP_038740859.1, XP_038740860.1	XP_060365125.1
OG0000070	XP_038740145.1	XP_060363391.1
OG0000070	XP_038747979.1	XP_060361698.1
OG0000071	XP_038740653.1	XP_060358896.1
OG0000071	XP_038740201.1	XP_060357533.1
OG0000071	XP_038748109.1, XP_038739379.1	XP_060360036.1
OG0000072	XP_038743218.1	XP_060359796.1
OG0000073	XP_038743687.1	XP_060357133.1
OG0000073	XP_038743264.1	XP_060360011.1
OG0000073	XP_038742548.1	XP_060359605.1
OG0000075	XP_038751168.1	XP_060358869.1, XP_060359552.1
OG0000076	XP_038741037.1	XP_060357074.1
OG0000076	XP_038739795.1	XP_060358087.1
OG0000077	XP_038746308.1	XP_060360895.1
OG0000078	XP_038743161.1	XP_060359138.1
OG0000078	XP_038750812.1	XP_060371854.1
OG0000078	XP_038742590.1	XP_060358933.1
OG0000078	XP_038751215.1	XP_060368016.1
OG0000080	XP_038738858.1	XP_060363411.1
OG0000080	XP_038746709.1	XP_060361376.1
OG0000080	XP_038751018.1	XP_060363513.1
OG0000081	XP_038748232.1	XP_060363636.1
OG0000081	XP_038747984.1	XP_060361111.1
OG0000081	XP_038743305.1, XP_038741010.1	XP_060371511.1
OG0000082	XP_038744232.1	XP_060365931.1
OG0000082	XP_038746901.1	XP_060357631.1
OG0000083	XP_038745615.1, XP_038744246.1, XP_038740672.1	XP_060363191.1
OG0000085	XP_038740897.1, XP_038747830.1, XP_038744429.1, XP_038744428.1, XP_038751259.1	XP_060359483.1
OG0000089	XP_038739171.1	XP_060361982.1
OG0000090	XP_038751256.1	XP_060369543.1
