Orthogroup	Colletotrichum_abscissum	Colletotrichum_fructicola
OG0000001	XP_060390852.1	XP_031885183.1
OG0000001	XP_060406495.1	XP_031885099.1
OG0000001	XP_060392196.1	XP_031892038.1
OG0000001	XP_060396987.1	XP_031889152.1
OG0000001	XP_060394606.1	XP_031879932.1
OG0000001	XP_060397645.1	XP_066008709.1
OG0000001	XP_060395374.1	XP_066008663.1
OG0000001	XP_060402253.1	XP_031890095.1
OG0000001	XP_060393097.1	XP_031890068.1
OG0000001	XP_060391941.1	XP_031889631.1
OG0000002	XP_060398589.1	XP_031879492.1
OG0000002	XP_060397467.1	XP_031881669.1
OG0000002	XP_060392094.1	XP_031885247.1
OG0000002	XP_060401161.1	XP_066007347.1
OG0000002	XP_060401349.1	XP_031889624.1, XP_066009251.1
OG0000002	XP_060399255.1	XP_031879385.1, XP_066007328.1
OG0000002	XP_060397337.1	XP_031878257.1, XP_066007534.1
OG0000002	XP_060402695.1	XP_066009179.1
OG0000003	XP_060390395.1	XP_031877859.1
OG0000003	XP_060394431.1	XP_031886825.1
OG0000003	XP_060403315.1	XP_031880905.1
OG0000003	XP_060397349.1	XP_031882855.1
OG0000003	XP_060397263.1, XP_060391922.1, XP_060395684.1, XP_060391391.1	XP_066009178.1
OG0000003	XP_060396077.1	XP_031883473.1
OG0000003	XP_060399182.1	XP_031892929.1
OG0000003	XP_060395986.1	XP_031884263.1
OG0000003	XP_060395142.1	XP_031885127.1
OG0000007	XP_060397331.1	XP_031891853.1
OG0000007	XP_060399009.1	XP_031888035.1
OG0000007	XP_060403052.1	XP_031879776.1
OG0000007	XP_060401254.1	XP_031892924.1
OG0000007	XP_060405354.1	XP_031886196.1
OG0000007	XP_060394556.1	XP_066008736.1
OG0000007	XP_060402270.1	XP_031884466.1
OG0000007	XP_060403306.1	XP_031879231.1
OG0000007	XP_060405375.1	XP_031885954.1
OG0000007	XP_060394953.1	XP_031892101.1
OG0000009	XP_060403308.1	XP_031879160.1
OG0000009	XP_060393780.1	XP_031886674.1
OG0000009	XP_060391561.1	XP_031877969.1
OG0000009	XP_060398896.1	XP_031891005.1
OG0000009	XP_060397061.1	XP_031876103.1
OG0000009	XP_060405039.1	XP_031875698.1
OG0000009	XP_060395651.1	XP_031884954.1
OG0000009	XP_060400702.1	XP_031878188.1
OG0000010	XP_060403628.1	XP_031884033.1, XP_066008893.1, XP_066009748.1, XP_066008397.1, XP_066006713.1, XP_066008849.1, XP_066008102.1, XP_066009986.1, XP_066007392.1, XP_066009362.1, XP_066006834.1, XP_066007908.1, XP_066009298.1, XP_066006747.1, XP_066007287.1, XP_066008778.1, XP_066007966.1, XP_066007706.1, XP_066007110.1, XP_066006720.1, XP_066007482.1, XP_066007036.1, XP_066007637.1, XP_066009431.1, XP_066007743.1, XP_066007816.1, XP_066008437.1, XP_066008148.1, XP_066006840.1, XP_066008151.1, XP_066007733.1, XP_066006874.1, XP_066006804.1, XP_066009361.1, XP_066007907.1
OG0000012	XP_060403373.1	XP_031882357.1
OG0000012	XP_060400763.1	XP_031881977.2
OG0000012	XP_060401340.1	XP_031893580.1
OG0000012	XP_060395547.1	XP_031889787.2
OG0000012	XP_060404556.1	XP_031876679.1
OG0000012	XP_060399397.1	XP_031879010.1
OG0000012	XP_060401099.1	XP_031880076.2
OG0000012	XP_060391505.1	XP_031883699.1
OG0000014	XP_060396017.1	XP_031877046.1
OG0000014	XP_060403552.1	XP_031876680.1
OG0000014	XP_060390329.1	XP_031890603.1
OG0000014	XP_060396195.1	XP_031890843.2
OG0000014	XP_060398696.1	XP_066008557.1
OG0000014	XP_060392120.1	XP_066007834.1, XP_031878291.1
OG0000015	XP_060400724.1	XP_031893512.1
OG0000016	XP_060404839.1	XP_031880285.1
OG0000016	XP_060391300.1	XP_031876331.1
OG0000016	XP_060396140.1	XP_031877054.1
OG0000016	XP_060398585.1	XP_031879498.1
OG0000016	XP_060401860.1	XP_031891541.1
OG0000017	XP_060399441.1	XP_031885060.2
