Orthogroup	Colletotrichum_abscissum	Colletotrichum_truncatum
OG0000001	XP_060390852.1	XP_070060346.1
OG0000001	XP_060406495.1	XP_036586796.1
OG0000001	XP_060392196.1	XP_036580152.1
OG0000001	XP_060403955.1	XP_036579542.1
OG0000001	XP_060396987.1	XP_036589697.1
OG0000001	XP_060394606.1, XP_060400656.1, XP_060397645.1, XP_060395374.1	XP_036574900.1
OG0000001	XP_060402253.1	XP_036587766.1
OG0000001	XP_060397793.1	XP_036576586.2
OG0000002	XP_060398589.1	XP_070062049.1
OG0000002	XP_060397467.1	XP_036574664.1
OG0000002	XP_060401161.1	XP_070062632.1
OG0000002	XP_060401349.1	XP_036574167.1, XP_070060513.1
OG0000002	XP_060399255.1	XP_036574742.1, XP_070062304.1, XP_036576472.1
OG0000002	XP_060397337.1	XP_036581786.1
OG0000002	XP_060402695.1	XP_036583733.1, XP_036584023.2
OG0000003	XP_060390395.1	XP_070061728.1
OG0000003	XP_060399396.1	XP_036586332.1
OG0000003	XP_060394431.1	XP_070060981.1
OG0000003	XP_060403315.1	XP_036577268.1
OG0000003	XP_060395986.1	XP_036583826.1
OG0000003	XP_060395142.1	XP_036586830.1
OG0000004	XP_060404534.1	XP_070060665.1, XP_070060007.1, XP_070059801.1, XP_070061305.1, XP_070059863.1, XP_070060670.1, XP_070059792.1, XP_070059818.1, XP_036584487.1, XP_036583010.1, XP_036584088.1, XP_036587296.1, XP_036577146.1, XP_036575796.1, XP_036576924.1, XP_036584653.1, XP_036575546.1, XP_036578683.1, XP_036588771.1, XP_036578294.1, XP_036577800.1, XP_036580766.1, XP_036584481.1, XP_036584476.1, XP_036584336.1, XP_070059853.1
OG0000007	XP_060397331.1	XP_036580140.1
OG0000007	XP_060399009.1	XP_036574479.1
OG0000007	XP_060403052.1	XP_036575499.1
OG0000007	XP_060401254.1	XP_036575385.1
OG0000007	XP_060405354.1	XP_036576846.1
OG0000007	XP_060394556.1	XP_036578124.2
OG0000007	XP_060402270.1	XP_036574613.1
OG0000007	XP_060403306.1	XP_070060710.1
OG0000007	XP_060405375.1	XP_070061891.1
OG0000007	XP_060394953.1	XP_036578145.1
OG0000009	XP_060403308.1	XP_036577266.1
OG0000009	XP_060393780.1	XP_036587406.1
OG0000009	XP_060391561.1	XP_036589787.1
OG0000009	XP_060398896.1	XP_036588082.2
OG0000009	XP_060397061.1	XP_036578878.1
OG0000009	XP_060405039.1	XP_036576912.1
OG0000009	XP_060395651.1	XP_036575001.1
OG0000009	XP_060400702.1	XP_036577228.2
OG0000010	XP_060403628.1	XP_070059949.1
OG0000012	XP_060403373.1	XP_070060447.1
OG0000012	XP_060395547.1	XP_036578387.1, XP_036581583.2
OG0000012	XP_060399397.1	XP_070060757.1, XP_036577726.1
OG0000012	XP_060391505.1	XP_036576927.1
OG0000014	XP_060396017.1	XP_036583875.1
OG0000014	XP_060403552.1	XP_036586349.1
OG0000014	XP_060390329.1	XP_070061736.1
OG0000014	XP_060396195.1	XP_070059808.1, XP_036587851.1
OG0000014	XP_060398696.1	XP_036576421.1
OG0000014	XP_060392120.1	XP_036574781.1, XP_036587323.2
OG0000015	XP_060400724.1	XP_036575290.1
OG0000016	XP_060404839.1	XP_036589588.1
OG0000016	XP_060391300.1	XP_036581107.1
OG0000016	XP_060396140.1	XP_036583987.1
OG0000016	XP_060398585.1	XP_036586092.1
OG0000017	XP_060399441.1	XP_036581693.1
OG0000017	XP_060389867.1	XP_036588586.1
OG0000017	XP_060389623.1, XP_060397678.1	XP_070062442.1
OG0000017	XP_060395056.1	XP_036585183.1
OG0000019	XP_060389929.1	XP_036580709.1
OG0000019	XP_060406513.1	XP_036589060.2
OG0000019	XP_060392153.1	XP_070062107.1
OG0000020	XP_060399447.1	XP_036581264.1
OG0000020	XP_060390585.1, XP_060390501.1, XP_060390481.1, XP_060390480.1, XP_060390586.1, XP_060390587.1	XP_070062504.1
OG0000020	XP_060399307.1, XP_060397512.1, XP_060393630.1, XP_060393594.1, XP_060397942.1, XP_060404332.1, XP_060404333.1, XP_060394021.1, XP_060399137.1, XP_060401138.1, XP_060393595.1, XP_060390397.1	XP_070062175.1
OG0000021	XP_060404248.1	XP_036579505.1
OG0000021	XP_060397416.1	XP_036579366.2, XP_036574644.1, XP_036577797.1, XP_070062637.1
OG0000023	XP_060394492.1	XP_036586304.1
OG0000023	XP_060390983.1	XP_036587982.1
OG0000023	XP_060398582.1	XP_070062046.1
OG0000023	XP_060404753.1	XP_036589513.1
OG0000024	XP_060404873.1	XP_036589767.1
OG0000024	XP_060403396.1	XP_036577317.1
OG0000024	XP_060404550.1	XP_070062657.1
OG0000024	XP_060397413.1, XP_060403453.1	XP_036586456.1
OG0000026	XP_060403455.1	XP_036586453.1
OG0000026	XP_060402121.1	XP_036583201.2
OG0000026	XP_060406170.1	XP_036577471.2, XP_036580498.1
OG0000028	XP_060399361.1	XP_036581182.1
OG0000028	XP_060400686.1, XP_060389510.1, XP_060399353.1, XP_060400602.1, XP_060395232.1	XP_070060257.1
OG0000031	XP_060403535.1	XP_036586424.1
OG0000031	XP_060398830.1	XP_036588147.1
OG0000032	XP_060404934.1	XP_036584361.1
OG0000032	XP_060396192.1, XP_060396193.1, XP_060391688.1, XP_060404524.1	XP_036578818.1, XP_036584347.2
OG0000033	XP_060391326.1	XP_036581751.1, XP_036576910.1, XP_070062092.1, XP_036574875.1, XP_036577699.1
OG0000033	XP_060391547.1, XP_060391545.1	XP_070061928.1
OG0000033	XP_060397257.1	XP_036581681.1
OG0000034	XP_060393334.1	XP_070060023.1
OG0000034	XP_060404226.1	XP_036589643.1
OG0000034	XP_060391662.1	XP_070062330.1, XP_036576453.1
OG0000034	XP_060393666.1	XP_036579478.1
OG0000035	XP_060392385.1	XP_036588818.1
OG0000035	XP_060405054.1	XP_070061252.1
OG0000035	XP_060399036.1	XP_070061519.1
OG0000035	XP_060406211.1	XP_036589606.1
OG0000037	XP_060403586.1	XP_036586380.1
OG0000037	XP_060401095.1	XP_036586339.1
OG0000037	XP_060394145.1	XP_070061137.1
OG0000037	XP_060399323.1	XP_036574206.1
OG0000038	XP_060397114.1	XP_036582162.1
OG0000038	XP_060394471.1	XP_036583624.1
OG0000040	XP_060389871.1, XP_060398598.1	XP_070061799.1
OG0000040	XP_060396507.1, XP_060397495.1, XP_060396829.1, XP_060405471.1	XP_070060005.1, XP_036584610.1
