Orthogroup	Colletotrichum_abscissum	Colletotrichum_gloeosporioides
OG0000001	XP_060390852.1	XP_045266806.1
OG0000001	XP_060406495.1	XP_045266881.1
OG0000001	XP_060392196.1	XP_045260583.1
OG0000001	XP_060403955.1	XP_045265232.1
OG0000001	XP_060396987.1	XP_045267961.1
OG0000001	XP_060400900.1	XP_045270330.1
OG0000001	XP_060394606.1	XP_045258161.1
OG0000001	XP_060397645.1	XP_045264793.1
OG0000001	XP_060402253.1	XP_045269538.1, XP_045269537.1
OG0000001	XP_060393097.1	XP_045261998.1
OG0000001	XP_060391941.1	XP_045269696.1
OG0000002	XP_060398589.1	XP_045261593.1
OG0000002	XP_060397467.1	XP_045266625.1
OG0000002	XP_060392094.1	XP_045266916.1
OG0000002	XP_060401161.1	XP_045263097.1
OG0000002	XP_060393291.1, XP_060395824.1	XP_045263743.1
OG0000002	XP_060401349.1	XP_045269804.1, XP_045268680.1
OG0000002	XP_060399255.1	XP_045267720.1, XP_045262999.1
OG0000002	XP_060397337.1	XP_045257237.1, XP_045261135.1
OG0000002	XP_060402695.1	XP_045257918.1, XP_045265005.1
OG0000003	XP_060390395.1	XP_045265768.1
OG0000003	XP_060394431.1	XP_045266664.1
OG0000003	XP_060403315.1	XP_045266150.1
OG0000003	XP_060397349.1	XP_045265820.1
OG0000003	XP_060391922.1	XP_045259914.1
OG0000003	XP_060395684.1, XP_060391391.1	XP_045257917.1
OG0000003	XP_060396077.1	XP_045269962.1
OG0000003	XP_060399182.1	XP_045268602.1
OG0000003	XP_060395986.1	XP_045262954.1
OG0000003	XP_060395142.1	XP_045266940.1
OG0000007	XP_060397331.1	XP_045260514.1
OG0000007	XP_060399009.1	XP_045261201.1
OG0000007	XP_060403052.1	XP_045257729.1
OG0000007	XP_060401254.1	XP_045257532.1
OG0000007	XP_060394556.1	XP_045268873.1
OG0000007	XP_060402270.1	XP_045269482.1
OG0000007	XP_060403306.1	XP_045266165.1
OG0000007	XP_060405375.1	XP_045264675.1
OG0000007	XP_060394953.1	XP_045268895.1
OG0000009	XP_060403308.1	XP_045266170.1
OG0000009	XP_060393780.1	XP_045266649.1
OG0000009	XP_060391561.1	XP_045270044.1
OG0000009	XP_060398896.1	XP_045270865.1
OG0000009	XP_060397061.1	XP_045266537.1
OG0000009	XP_060405039.1	XP_045257284.1
OG0000009	XP_060395651.1	XP_045271349.1
OG0000009	XP_060400702.1	XP_045267669.1
OG0000012	XP_060403373.1	XP_045268575.1
OG0000012	XP_060400763.1	XP_045265200.1
OG0000012	XP_060401340.1	XP_045268671.1
OG0000012	XP_060404556.1	XP_045261078.1
OG0000012	XP_060399397.1	XP_045258025.1
OG0000012	XP_060391505.1	XP_045259368.1
OG0000014	XP_060396017.1	XP_045270236.1
OG0000014	XP_060403552.1	XP_045261063.1
OG0000014	XP_060390329.1	XP_045263961.1
OG0000014	XP_060396195.1	XP_045260775.1
OG0000014	XP_060398696.1	XP_045261682.1
OG0000014	XP_060392120.1	XP_045265112.1, XP_045257268.1
OG0000015	XP_060400724.1	XP_045268750.1
OG0000016	XP_060404839.1	XP_045268108.1
OG0000016	XP_060391300.1	XP_045271029.1
OG0000016	XP_060396140.1	XP_045270259.1
OG0000016	XP_060398585.1	XP_045261571.1
OG0000016	XP_060401860.1	XP_045263857.1
OG0000017	XP_060399441.1	XP_045266928.1
OG0000017	XP_060402306.1	XP_045267817.1
OG0000017	XP_060389867.1	XP_045262462.1
OG0000017	XP_060389623.1, XP_060397678.1	XP_045263525.1
OG0000017	XP_060395056.1	XP_045269008.1, XP_045257135.1, XP_045265779.1
OG0000018	XP_060402315.1	XP_045261750.1, XP_045269504.1, XP_045268940.1, XP_045258981.1
OG0000018	XP_060402913.1, XP_060391830.1, XP_060393721.1	XP_045260978.1, XP_045261206.1, XP_045263914.1
OG0000019	XP_060389929.1	XP_045266134.1
OG0000019	XP_060406513.1	XP_045268713.1, XP_045260527.1, XP_045259856.1
OG0000019	XP_060392153.1	XP_045266922.1
OG0000019	XP_060405401.1	XP_045257775.1
OG0000021	XP_060404248.1	XP_045264872.1
OG0000021	XP_060405662.1	XP_045265250.1
OG0000023	XP_060394492.1	XP_045261010.1
OG0000023	XP_060390983.1	XP_045260626.1
OG0000023	XP_060398582.1	XP_045261585.1
OG0000023	XP_060404753.1	XP_045268220.1
OG0000023	XP_060396269.1	XP_045260319.1
OG0000024	XP_060404873.1	XP_045267895.1
OG0000024	XP_060404550.1	XP_045261730.1
OG0000024	XP_060397413.1, XP_060403453.1	XP_045266000.1
OG0000026	XP_060403455.1	XP_045265987.1
OG0000026	XP_060402121.1	XP_045265695.1
OG0000026	XP_060406170.1	XP_045265549.1
OG0000028	XP_060399361.1	XP_045257477.1
OG0000028	XP_060400686.1	XP_045267627.1
OG0000028	XP_060389510.1	XP_045266376.1
OG0000028	XP_060399353.1	XP_045257481.1
OG0000028	XP_060400602.1	XP_045256637.1
OG0000031	XP_060403535.1	XP_045261170.1
OG0000031	XP_060398830.1	XP_045270959.1
OG0000031	XP_060399269.1	XP_045269450.1, XP_045263142.1
OG0000031	XP_060403404.1	XP_045269569.1
OG0000032	XP_060396192.1, XP_060396193.1, XP_060391688.1, XP_060404524.1	XP_045266470.1
OG0000033	XP_060391326.1	XP_045264174.1
OG0000033	XP_060391547.1, XP_060391545.1	XP_045262109.1
OG0000033	XP_060397257.1	XP_045270857.1
OG0000034	XP_060393334.1	XP_045263085.1
OG0000034	XP_060404226.1	XP_045267725.1
OG0000034	XP_060391662.1	XP_045270159.1
OG0000034	XP_060393666.1	XP_045269028.1
OG0000035	XP_060392385.1	XP_045256568.1
OG0000035	XP_060405054.1	XP_045259085.1
OG0000035	XP_060399036.1	XP_045256775.1
OG0000035	XP_060406211.1	XP_045264968.1, XP_045268765.1, XP_045260563.1
OG0000037	XP_060403586.1	XP_045261096.1
