Orthogroup	Colletotrichum_godetiae	Colletotrichum_siamense
OG0000001	XP_060430719.1	XP_036496581.1
OG0000001	XP_060430831.1	XP_036496526.1
OG0000001	XP_060433490.1	XP_036497488.1, XP_036492781.1
OG0000001	XP_060427985.1	XP_036495399.1
OG0000001	XP_060431366.1	XP_036501140.1
OG0000001	XP_060436502.1	XP_036489610.1
OG0000001	XP_060424765.1	XP_036502151.1
OG0000001	XP_060430320.1	XP_036491417.1, XP_036491418.1
OG0000001	XP_060430204.1	XP_036491555.1
OG0000001	XP_060436634.1	XP_036491388.1
OG0000001	XP_060430506.1	XP_036492025.1
OG0000002	XP_060433373.1	XP_036500201.1
OG0000002	XP_060431021.1	XP_036490503.1
OG0000002	XP_060429098.1	XP_036494076.1
OG0000002	XP_060428147.1	XP_036493992.1
OG0000002	XP_060422802.1	XP_036501975.1
OG0000002	XP_060428901.1	XP_036491792.1, XP_036493966.1
OG0000002	XP_060425395.1	XP_036502410.1, XP_036494525.1
OG0000002	XP_060421889.1	XP_036500478.1, XP_036488845.1
OG0000002	XP_060424684.1	XP_036494317.1
OG0000002	XP_060428142.1	XP_036495012.1
OG0000003	XP_060431388.1	XP_036501204.1
OG0000003	XP_060433884.1	XP_036492461.1
OG0000003	XP_060425653.1	XP_036488495.1
OG0000003	XP_060433305.1	XP_036500242.1
OG0000003	XP_060425251.1	XP_036493278.1
OG0000003	XP_060426621.1	XP_036495065.1
OG0000003	XP_060433222.1	XP_036502893.1
OG0000003	XP_060430890.1	XP_036495366.1
OG0000005	XP_060428377.1	XP_036500004.1, XP_036494945.1
OG0000005	XP_060431584.1	XP_036494792.1, XP_036497094.1
OG0000005	XP_060422213.1	XP_036497196.1
OG0000005	XP_060423560.1	XP_036494853.1, XP_036496876.1
OG0000005	XP_060436614.1	XP_036501598.1, XP_036500396.1, XP_036495414.1, XP_036502086.1, XP_036490827.1, XP_036496619.1
OG0000007	XP_060428043.1	XP_036496109.1
OG0000007	XP_060426126.1	XP_036493442.1
OG0000007	XP_060428999.1	XP_036494883.1
OG0000007	XP_060422886.1	XP_036500517.1
OG0000007	XP_060429807.1	XP_036495313.1
OG0000007	XP_060430335.1	XP_036491644.1
OG0000007	XP_060425659.1	XP_036488714.1
OG0000007	XP_060422903.1	XP_036500589.1
OG0000007	XP_060431051.1	XP_036495376.1
OG0000008	XP_060426331.1	XP_036495409.1, XP_036502454.1, XP_036498352.1
OG0000008	XP_060429665.1	XP_036499970.1
OG0000008	XP_060429664.1	XP_036499969.1
OG0000008	XP_060429666.1	XP_036502455.1
OG0000008	XP_060428947.1, XP_060432670.1, XP_060425870.1, XP_060431119.1	XP_036491866.1
OG0000008	XP_060432489.1	XP_036498743.1
OG0000008	XP_060432528.1	XP_036495099.1
OG0000008	XP_060433354.1, XP_060427174.1	XP_036499185.1
OG0000008	XP_060423041.1	XP_036495410.1, XP_036489804.1
OG0000008	XP_060425417.1	XP_036496629.1, XP_036495985.1, XP_036492788.1
OG0000009	XP_060425658.1	XP_036488279.1
OG0000009	XP_060433863.1	XP_036491834.1
OG0000009	XP_060429588.1	XP_036499963.1
OG0000009	XP_060425888.1	XP_036488623.1
OG0000009	XP_060436719.1	XP_036490974.1
OG0000009	XP_060427117.1	XP_036499364.1
OG0000009	XP_060425216.1	XP_036492836.1
OG0000009	XP_060424844.1	XP_036501215.1
OG0000012	XP_060425599.1	XP_036490033.1
OG0000012	XP_060433606.1	XP_036496930.1
OG0000012	XP_060428910.1	XP_036494573.1
OG0000012	XP_060430634.1	XP_036491536.1
OG0000012	XP_060427607.1	XP_036488022.1
OG0000012	XP_060428118.1	XP_036494044.1
OG0000012	XP_060424388.1	XP_036500192.1
OG0000014	XP_060433247.1	XP_036501333.1
OG0000014	XP_060429479.1	XP_036488372.1
OG0000014	XP_060431445.1	XP_036501856.1
OG0000014	XP_060426988.1	XP_036488993.1
OG0000014	XP_060426412.1	XP_036499532.1
OG0000014	XP_060422444.1	XP_036492143.1, XP_036491525.1, XP_036500328.1
OG0000015	XP_060424864.1	XP_036500741.1
OG0000015	XP_060430301.1, XP_060421624.1, XP_060422502.1	XP_036488062.1
OG0000016	XP_060436401.1	XP_036489583.1
OG0000016	XP_060423652.1	XP_036499009.1
OG0000016	XP_060433359.1	XP_036501233.1
OG0000016	XP_060433378.1	XP_036499112.1
OG0000016	XP_060427843.1	XP_036501416.1
OG0000017	XP_060428176.1	XP_036495546.1
OG0000017	XP_060430370.1	XP_036501719.1
OG0000017	XP_060435846.1	XP_036497675.1
OG0000017	XP_060435607.1, XP_060427398.1	XP_036498309.1
OG0000017	XP_060431154.1	XP_036497906.1, XP_036500254.1, XP_036502161.1
