Orthogroup	Colletotrichum_godetiae	Colletotrichum_fructicola
OG0000001	XP_060430719.1	XP_031885183.1
OG0000001	XP_060430831.1	XP_031885099.1
OG0000001	XP_060427985.1	XP_031892038.1
OG0000001	XP_060436502.1	XP_031889152.1
OG0000001	XP_060424765.1	XP_031879932.1
OG0000001	XP_060427432.1	XP_066008709.1
OG0000001	XP_060430320.1	XP_031890095.1
OG0000001	XP_060436634.1	XP_031890068.1
OG0000001	XP_060430506.1	XP_031889631.1
OG0000002	XP_060433373.1	XP_031879492.1
OG0000002	XP_060431021.1	XP_031881669.1
OG0000002	XP_060429098.1	XP_066007347.1
OG0000002	XP_060428147.1	XP_031879097.1
OG0000002	XP_060422802.1	XP_031884130.1
OG0000002	XP_060428901.1	XP_031889624.1, XP_066009251.1
OG0000002	XP_060425395.1	XP_031879385.1, XP_066007328.1
OG0000002	XP_060421889.1	XP_031878257.1, XP_066007534.1
OG0000002	XP_060424684.1	XP_066009179.1
OG0000002	XP_060428142.1	XP_031879045.1
OG0000003	XP_060431388.1	XP_031877859.1
OG0000003	XP_060433884.1	XP_031886825.1
OG0000003	XP_060425653.1	XP_031880905.1
OG0000003	XP_060433305.1	XP_031883473.1
OG0000003	XP_060425251.1	XP_066007760.1
OG0000003	XP_060426621.1	XP_031892929.1
OG0000003	XP_060433222.1	XP_031884263.1
OG0000003	XP_060430890.1	XP_031885127.1
OG0000005	XP_060428377.1	XP_031885484.1, XP_066007217.1
OG0000005	XP_060431584.1	XP_031882619.1, XP_066009441.1
OG0000005	XP_060422213.1	XP_066009402.1
OG0000005	XP_060423560.1	XP_066009057.1, XP_066009056.1, XP_031892266.1
OG0000005	XP_060436614.1	XP_031891255.1, XP_031878347.2, XP_031886563.1, XP_031884256.1, XP_031881538.2, XP_031882119.1
OG0000007	XP_060428043.1	XP_031891853.1
OG0000007	XP_060426126.1	XP_031879776.1
OG0000007	XP_060428999.1	XP_031892924.1
OG0000007	XP_060422886.1	XP_031886196.1
OG0000007	XP_060429807.1	XP_066008736.1
OG0000007	XP_060430335.1	XP_031884466.1
OG0000007	XP_060425659.1	XP_031879231.1
OG0000007	XP_060422903.1	XP_031885954.1
OG0000007	XP_060431051.1	XP_031892101.1
OG0000008	XP_060426331.1	XP_066008629.1, XP_031886231.1, XP_066009467.1
OG0000008	XP_060429665.1	XP_066008419.1
OG0000008	XP_060429664.1	XP_031886248.2
OG0000008	XP_060429666.1	XP_066009991.1
OG0000008	XP_060421546.1	XP_066008382.1
OG0000008	XP_060428947.1, XP_060432670.1, XP_060425870.1, XP_060431119.1	XP_066008038.1
OG0000008	XP_060430813.1	XP_066008418.1, XP_066009561.1
OG0000008	XP_060432489.1	XP_031882243.1
OG0000008	XP_060432528.1	XP_031879048.2
OG0000008	XP_060433354.1, XP_060427174.1	XP_066009880.1
OG0000008	XP_060423041.1	XP_066008851.1, XP_066008989.1
OG0000008	XP_060425417.1	XP_066008596.1, XP_066008595.1, XP_066007654.1
OG0000009	XP_060425658.1	XP_031879160.1
OG0000009	XP_060433863.1	XP_031886674.1
OG0000009	XP_060429588.1	XP_031877969.1
OG0000009	XP_060425888.1	XP_031891005.1
OG0000009	XP_060436719.1	XP_031876103.1
OG0000009	XP_060427117.1	XP_031875698.1
OG0000009	XP_060425216.1	XP_031884954.1
OG0000009	XP_060424844.1	XP_031878188.1
OG0000012	XP_060425599.1	XP_031882357.1
OG0000012	XP_060433606.1	XP_031881977.2
OG0000012	XP_060428910.1	XP_031893580.1
OG0000012	XP_060430634.1	XP_031889787.2
OG0000012	XP_060427607.1	XP_031876679.1
OG0000012	XP_060428118.1	XP_031879010.1
OG0000012	XP_060427932.1	XP_031880076.2
OG0000012	XP_060424388.1	XP_031883699.1
OG0000014	XP_060433247.1	XP_031877046.1
OG0000014	XP_060429479.1	XP_031876680.1
OG0000014	XP_060431445.1	XP_031890603.1
OG0000014	XP_060426988.1	XP_031890843.2
OG0000014	XP_060426412.1	XP_066008557.1
OG0000014	XP_060422444.1	XP_066007834.1, XP_031878291.1
OG0000015	XP_060424864.1	XP_031893512.1
OG0000015	XP_060430301.1, XP_060421624.1, XP_060422502.1	XP_066007320.1
OG0000016	XP_060436401.1	XP_031880285.1
OG0000016	XP_060423652.1	XP_031876331.1
OG0000016	XP_060433359.1	XP_031877054.1
OG0000016	XP_060433378.1	XP_031879498.1
OG0000016	XP_060427843.1	XP_031891541.1
OG0000017	XP_060428176.1	XP_031885060.2
OG0000017	XP_060430370.1	XP_066009939.1
OG0000017	XP_060435846.1	XP_031887534.1
OG0000017	XP_060435607.1, XP_060427398.1	XP_031882331.1
OG0000017	XP_060431154.1	XP_031881014.1, XP_031876845.1, XP_031877837.2
OG0000018	XP_060427203.1, XP_060428697.1	XP_031881758.1
OG0000018	XP_060430376.1	XP_031878868.1, XP_031884569.1, XP_031891833.1, XP_066007794.1
OG0000018	XP_060427534.1, XP_060433811.1	XP_031878172.1
OG0000019	XP_060435896.1	XP_066007478.1
OG0000019	XP_060430815.1	XP_066009012.1, XP_031892157.1, XP_031881790.1
OG0000019	XP_060430406.1	XP_031878451.1
OG0000021	XP_060421692.1, XP_060421691.1	XP_031878896.1, XP_066007121.1, XP_066007387.1, XP_066006783.1, XP_066009279.1, XP_066007123.1, XP_066008886.1, XP_066006846.1
OG0000021	XP_060431281.1, XP_060430879.1, XP_060430880.1	XP_031889741.1
OG0000021	XP_060423578.1, XP_060430212.1	XP_066008820.1
OG0000023	XP_060429564.1	XP_031878091.1
OG0000023	XP_060428030.1	XP_031892238.1
OG0000023	XP_060425815.1	XP_031890882.1
OG0000023	XP_060433414.1	XP_031879411.1
OG0000023	XP_060436329.1	XP_031892487.1
OG0000023	XP_060424910.1	XP_031885872.1, XP_031885599.1
OG0000024	XP_060436445.1	XP_031889216.1
OG0000024	XP_060425577.1	XP_031880891.1
OG0000024	XP_060427612.1	XP_031878865.1
OG0000024	XP_060430976.1, XP_060429383.1	XP_031877260.1
OG0000026	XP_060429386.1	XP_066007451.1
OG0000026	XP_060428763.1	XP_031885312.1
OG0000026	XP_060429661.1	XP_066009777.1
OG0000028	XP_060428084.1	XP_031879121.1
OG0000028	XP_060424829.1	XP_031877448.1
OG0000028	XP_060436891.1	XP_031892844.1
OG0000028	XP_060428081.1	XP_031878662.2
OG0000028	XP_060422176.1	XP_031883762.1
OG0000031	XP_060429462.1	XP_031877294.1
OG0000031	XP_060425378.1	XP_066007137.1
OG0000031	XP_060423022.1	XP_031880080.2
OG0000031	XP_060425379.1	XP_031876132.1
OG0000031	XP_060425569.1	XP_031889964.1
OG0000032	XP_060423400.1, XP_060423399.1	XP_066008146.1
OG0000032	XP_060423317.1, XP_060422826.1, XP_060436851.1	XP_066006938.1, XP_031876210.2, XP_066007267.1, XP_066008145.1
OG0000032	XP_060422825.1, XP_060423318.1	XP_031892476.1
OG0000033	XP_060425685.1	XP_066006930.1
OG0000033	XP_060428895.1	XP_031893615.1, XP_066009686.1
OG0000034	XP_060425434.1	XP_031882598.1
OG0000034	XP_060425010.1	XP_031888869.1, XP_066009786.1
OG0000034	XP_060426368.1	XP_031881193.1
OG0000034	XP_060427517.1	XP_031881139.1
OG0000035	XP_060437284.1	XP_031891597.1
OG0000035	XP_060427104.1	XP_031877314.1
OG0000035	XP_060426759.1	XP_031887969.1
OG0000037	XP_060429509.1	XP_031876440.1
OG0000037	XP_060434737.1	XP_031881416.2
OG0000037	XP_060422163.1	XP_031878699.1
OG0000038	XP_060436774.1	XP_031878512.1
OG0000038	XP_060426876.1	XP_031884139.2
OG0000039	XP_060422300.1	XP_066009404.1
OG0000039	XP_060422156.1, XP_060430347.1	XP_031883634.1
OG0000039	XP_060436406.1	XP_031889719.2
OG0000039	XP_060424742.1	XP_031889720.2
