Orthogroup	Colletotrichum_gloeosporioides	Colletotrichum_truncatum
OG0000001	XP_045266806.1	XP_070060346.1
OG0000001	XP_045266881.1	XP_036586796.1
OG0000001	XP_045260583.1	XP_036580152.1
OG0000001	XP_045265232.1	XP_036579542.1
OG0000001	XP_045265792.1	XP_036585171.1
OG0000001	XP_045267961.1	XP_036589697.1
OG0000001	XP_045258161.1, XP_045264793.1	XP_036574900.1
OG0000001	XP_045269538.1, XP_045269537.1	XP_036587766.1
OG0000001	XP_045269550.1	XP_036578974.1
OG0000002	XP_045261593.1	XP_070062049.1
OG0000002	XP_045266625.1	XP_036574664.1
OG0000002	XP_045263097.1	XP_070062632.1
OG0000002	XP_045257976.1	XP_036581241.1
OG0000002	XP_045259138.1	XP_036582377.1
OG0000002	XP_045269804.1	XP_036574167.1
OG0000002	XP_045268680.1	XP_070060513.1
OG0000002	XP_045267720.1	XP_036574742.1, XP_070062304.1
OG0000002	XP_045262999.1	XP_036576472.1
OG0000002	XP_045257237.1	XP_036581786.1
OG0000002	XP_045257918.1	XP_036583733.1
OG0000002	XP_045265005.1	XP_036584023.2
OG0000002	XP_045257973.1	XP_036581238.1
OG0000003	XP_045265768.1	XP_070061728.1
OG0000003	XP_045258026.1	XP_036581223.1
OG0000003	XP_045266664.1	XP_070060981.1
OG0000003	XP_045266150.1	XP_036577268.1
OG0000003	XP_045262954.1	XP_036583826.1
OG0000003	XP_045266940.1	XP_036586830.1
OG0000005	XP_045258623.1, XP_045256723.1	XP_070062012.1, XP_070060081.1
OG0000005	XP_045261007.1	XP_070060547.1
OG0000005	XP_045261341.1	XP_070061481.1
OG0000005	XP_045271000.1	XP_036588222.2
OG0000005	XP_045263060.1, XP_045263638.1	XP_070060019.1
OG0000005	XP_045271041.1, XP_045262492.1, XP_045256205.1, XP_045265992.1, XP_045264820.1, XP_045269071.1, XP_045261382.1, XP_045258050.1, XP_045256406.1, XP_045263328.1, XP_045261517.1, XP_045261183.1, XP_045265401.1, XP_045267867.1, XP_045261440.1, XP_045259543.1, XP_045263922.1, XP_045265766.1	XP_070061729.1
OG0000005	XP_045257604.1	XP_070062638.1
OG0000005	XP_045263814.1, XP_045257257.1, XP_045263231.1	XP_036586561.1
OG0000005	XP_045259151.1, XP_045264508.1	XP_036574652.1
OG0000005	XP_045265263.1	XP_036579587.1
OG0000007	XP_045260514.1	XP_036580140.1
OG0000007	XP_045261201.1	XP_036574479.1
OG0000007	XP_045257729.1	XP_036575499.1
OG0000007	XP_045257532.1	XP_036575385.1
OG0000007	XP_045268873.1	XP_036578124.2
OG0000007	XP_045269482.1	XP_036574613.1
OG0000007	XP_045266165.1	XP_070060710.1
OG0000007	XP_045264675.1	XP_070061891.1
OG0000007	XP_045268895.1	XP_036578145.1
OG0000009	XP_045266170.1	XP_036577266.1
OG0000009	XP_045266649.1	XP_036587406.1
OG0000009	XP_045270044.1	XP_036589787.1
OG0000009	XP_045270865.1	XP_036588082.2
OG0000009	XP_045266537.1	XP_036578878.1
OG0000009	XP_045257284.1	XP_036576912.1
OG0000009	XP_045271349.1	XP_036575001.1
OG0000009	XP_045267669.1	XP_036577228.2
OG0000012	XP_045268575.1	XP_070060447.1
OG0000012	XP_045258025.1	XP_070060757.1, XP_036577726.1
OG0000012	XP_045259368.1	XP_036576927.1
