Orthogroup	Colletotrichum_acutatum	Colletotrichum_fructicola
OG0000001	XP_060369736.1	XP_031885183.1
OG0000001	XP_060369837.1	XP_031885099.1
OG0000001	XP_060357666.1	XP_031892038.1
OG0000001	XP_060361400.1	XP_031889152.1
OG0000001	XP_060368338.1	XP_031879932.1
OG0000001	XP_060366673.1	XP_066008709.1
OG0000001	XP_060358795.1	XP_066008663.1
OG0000001	XP_060362522.1	XP_031890095.1
OG0000001	XP_060362045.1	XP_031890068.1
OG0000001	XP_060361839.1	XP_031889631.1
OG0000002	XP_060370560.1	XP_031879492.1
OG0000002	XP_060364930.1	XP_031881669.1
OG0000002	XP_060362536.1	XP_031885247.1
OG0000002	XP_060358755.1	XP_066007347.1
OG0000002	XP_060362682.1	XP_031889624.1, XP_066009251.1
OG0000002	XP_060363097.1	XP_031878257.1, XP_066007534.1
OG0000002	XP_060358945.1	XP_031879045.1
OG0000003	XP_060369339.1	XP_031877859.1
OG0000003	XP_060372014.1	XP_031886825.1
OG0000003	XP_060357316.1	XP_031880905.1
OG0000003	XP_060358372.1	XP_031882855.1
OG0000003	XP_060360249.1	XP_031883473.1
OG0000003	XP_060357911.1	XP_066007760.1
OG0000003	XP_060370171.1	XP_031892929.1
OG0000003	XP_060358076.1	XP_031884263.1
OG0000003	XP_060361096.1	XP_031885127.1
OG0000005	XP_060357738.1	XP_031888063.1, XP_066007372.1, XP_031882619.1, XP_066009441.1, XP_066009402.1, XP_066009057.1, XP_066009056.1, XP_031892266.1
OG0000007	XP_060363105.1	XP_031891853.1
OG0000007	XP_060358704.1	XP_031888035.1
OG0000007	XP_060357532.1	XP_031879776.1
OG0000007	XP_060365201.1	XP_031892924.1
OG0000007	XP_060362933.1	XP_031886196.1
OG0000007	XP_060362502.1	XP_031884466.1
OG0000007	XP_060362818.1	XP_031879231.1
OG0000007	XP_060362950.1	XP_031885954.1
OG0000007	XP_060364959.1	XP_031892101.1
OG0000008	XP_060366838.1	XP_066008629.1, XP_031886231.1, XP_066009467.1
OG0000008	XP_060371333.1	XP_066008419.1
OG0000008	XP_060371332.1	XP_031886248.2
OG0000008	XP_060371334.1	XP_066009991.1
OG0000008	XP_060358444.1	XP_066008382.1
OG0000008	XP_060357962.1, XP_060360622.1, XP_060361583.1	XP_066008038.1
OG0000008	XP_060368819.1	XP_031882243.1
OG0000008	XP_060368784.1	XP_031879048.2
OG0000008	XP_060369829.1	XP_066009880.1
OG0000008	XP_060362270.1	XP_066008851.1, XP_066008989.1
OG0000008	XP_060363147.1	XP_066008765.1, XP_066009368.1, XP_031882332.2
OG0000008	XP_060365993.1	XP_066008596.1, XP_066008595.1, XP_066007654.1
OG0000009	XP_060362817.1	XP_031879160.1
OG0000009	XP_060372034.1	XP_031886674.1
OG0000009	XP_060357116.1, XP_060363670.1	XP_031877969.1
OG0000009	XP_060359947.1	XP_031891005.1
OG0000009	XP_060367982.1	XP_031876103.1
OG0000009	XP_060365596.1	XP_031875698.1
OG0000009	XP_060365779.1	XP_031884954.1
OG0000009	XP_060359213.1	XP_031878188.1
OG0000012	XP_060361151.1	XP_031882357.1
OG0000012	XP_060367702.1	XP_031881977.2
OG0000012	XP_060362674.1	XP_031893580.1
OG0000012	XP_060365541.1	XP_031889787.2
OG0000012	XP_060358257.1	XP_031876679.1
OG0000012	XP_060358924.1	XP_031879010.1
OG0000012	XP_060360164.1	XP_031880076.2
OG0000012	XP_060360787.1	XP_031883699.1
OG0000014	XP_060360753.1	XP_031877046.1
OG0000014	XP_060364441.1	XP_031876680.1
OG0000014	XP_060369282.1	XP_031890603.1
OG0000014	XP_060368461.1	XP_031890843.2
OG0000014	XP_060363263.1	XP_066008557.1
OG0000014	XP_060360057.1	XP_066007834.1, XP_031878291.1
OG0000015	XP_060359195.1	XP_066008914.1
OG0000015	XP_060365374.1	XP_066008106.1
OG0000016	XP_060361705.1	XP_031880285.1
OG0000016	XP_060359899.1	XP_031876331.1
OG0000016	XP_060368408.1	XP_031877054.1
OG0000016	XP_060370564.1	XP_031879498.1
OG0000016	XP_060357468.1	XP_031891541.1
OG0000017	XP_060362467.1	XP_066009939.1
OG0000017	XP_060362115.1	XP_031887534.1
OG0000017	XP_060369615.1, XP_060366707.1	XP_031882331.1
OG0000017	XP_060357608.1	XP_031881014.1, XP_031876845.1, XP_031877837.2
OG0000018	XP_060369068.1	XP_031881758.1
OG0000018	XP_060358662.1	XP_031878868.1, XP_031884569.1, XP_031891833.1, XP_066007794.1
OG0000018	XP_060357754.1, XP_060363688.1, XP_060360494.1, XP_060365204.1	XP_031878172.1
OG0000019	XP_060363470.1	XP_066007478.1
OG0000019	XP_060369834.1	XP_066009012.1, XP_031892157.1, XP_031881790.1, XP_031885121.1, XP_031885119.1, XP_031885122.1
OG0000021	XP_060357570.1	XP_031881524.2
OG0000021	XP_060364842.1	XP_031878896.1, XP_066007121.1, XP_066007387.1, XP_066006783.1, XP_066009279.1, XP_066007123.1, XP_066008886.1, XP_066006846.1, XP_031889741.1, XP_066008820.1
OG0000023	XP_060365025.1	XP_031878091.1
OG0000023	XP_060363120.1	XP_031892238.1
OG0000023	XP_060358681.1	XP_031890882.1
OG0000023	XP_060370568.1	XP_031879411.1
OG0000023	XP_060365425.1	XP_031892487.1
OG0000023	XP_060368532.1	XP_031885872.1, XP_031885599.1
OG0000024	XP_060362290.1	XP_031889216.1
OG0000024	XP_060361172.1	XP_031880891.1
OG0000024	XP_060358801.1	XP_031878865.1
OG0000024	XP_060364880.1, XP_060358991.1	XP_031877260.1
OG0000026	XP_060358993.1	XP_066007451.1
OG0000026	XP_060368993.1, XP_060368992.1	XP_031885312.1
OG0000026	XP_060371329.1	XP_066009777.1
OG0000028	XP_060357803.1	XP_031879121.1
OG0000028	XP_060357627.1	XP_031877448.1
OG0000028	XP_060357808.1	XP_031878662.2
OG0000028	XP_060359227.1	XP_031883762.1
OG0000031	XP_060364458.1	XP_031877294.1
OG0000031	XP_060369360.1	XP_066007137.1
OG0000031	XP_060362254.1	XP_031880080.2
OG0000031	XP_060363004.1	XP_031876132.1
OG0000031	XP_060361185.1	XP_031889964.1
OG0000032	XP_060359844.1	XP_066008146.1
OG0000032	XP_060359846.1, XP_060359704.1	XP_066006938.1, XP_031876210.2, XP_066007267.1, XP_066008145.1
OG0000032	XP_060359845.1	XP_031892476.1
OG0000033	XP_060359875.1	XP_066006930.1
OG0000034	XP_060365976.1	XP_031882598.1
OG0000034	XP_060359479.1	XP_031888869.1, XP_066009786.1
OG0000034	XP_060358573.1	XP_031881193.1
OG0000034	XP_060363708.1	XP_031881139.1
OG0000035	XP_060366162.1	XP_031891597.1
OG0000035	XP_060365611.1	XP_031877314.1
OG0000037	XP_060364411.1	XP_031876440.1
OG0000037	XP_060363205.1	XP_031881416.2
OG0000037	XP_060359498.1	XP_031878699.1
OG0000038	XP_060367929.1	XP_031878512.1
OG0000038	XP_060363923.1	XP_031884139.2
OG0000039	XP_060360015.1	XP_066009404.1
OG0000039	XP_060362489.1	XP_031883634.1
OG0000039	XP_060361710.1	XP_031889719.2
OG0000039	XP_060368365.1	XP_031889720.2
OG0000040	XP_060362111.1, XP_060370548.1	XP_031876848.1
OG0000040	XP_060357327.1	XP_031878971.1
OG0000041	XP_060369032.1	XP_066008809.1, XP_031878989.2
OG0000043	XP_060359591.1	XP_031875476.2, XP_066007011.1
OG0000043	XP_060367831.1	XP_031886183.2
OG0000044	XP_060360761.1	XP_031883461.1
OG0000044	XP_060361230.1	XP_031883135.1, XP_066007975.1, XP_031883763.1
OG0000046	XP_060362833.1	XP_031879259.1
OG0000046	XP_060360243.1	XP_031884116.1
OG0000046	XP_060361446.1	XP_031889476.1
OG0000047	XP_060357890.1	XP_031878178.1, XP_031892080.1
OG0000049	XP_060365049.1	XP_031875597.1
OG0000049	XP_060363156.1	XP_031878198.1
OG0000049	XP_060358145.1	XP_031878866.1
OG0000050	XP_060367791.1	XP_031885916.1
OG0000050	XP_060361232.1	XP_031880097.1, XP_031883855.2
OG0000050	XP_060371737.1	XP_031889948.1
OG0000051	XP_060366641.1	XP_031882199.1
OG0000051	XP_060365214.1	XP_031893375.1
OG0000051	XP_060367490.1	XP_031876728.1
