Orthogroup	Colletotrichum_siamense	Colletotrichum_abscissum
OG0000001	XP_036496581.1	XP_060390852.1
OG0000001	XP_036496526.1	XP_060406495.1
OG0000001	XP_036495399.1	XP_060392196.1
OG0000001	XP_036489610.1	XP_060396987.1
OG0000001	XP_036502151.1	XP_060394606.1
OG0000001	XP_036491417.1, XP_036491418.1	XP_060402253.1
OG0000001	XP_036491555.1	XP_060397793.1
OG0000001	XP_036491388.1	XP_060393097.1
OG0000001	XP_036492025.1	XP_060391941.1
OG0000002	XP_036500201.1	XP_060398589.1
OG0000002	XP_036490503.1	XP_060397467.1
OG0000002	XP_036496555.1	XP_060392094.1
OG0000002	XP_036494076.1	XP_060401161.1
OG0000002	XP_036500934.1	XP_060393291.1, XP_060395824.1
OG0000002	XP_036491792.1, XP_036493966.1	XP_060401349.1
OG0000002	XP_036502410.1, XP_036494525.1	XP_060399255.1
OG0000002	XP_036500478.1, XP_036488845.1	XP_060397337.1
OG0000002	XP_036494317.1	XP_060402695.1
OG0000003	XP_036501204.1	XP_060390395.1
OG0000003	XP_036492461.1	XP_060394431.1
OG0000003	XP_036488495.1	XP_060403315.1
OG0000003	XP_036494312.1	XP_060395684.1, XP_060391391.1
OG0000003	XP_036500242.1	XP_060396077.1
OG0000003	XP_036495065.1	XP_060399182.1
OG0000003	XP_036502893.1	XP_060395986.1
OG0000003	XP_036495366.1	XP_060395142.1
OG0000004	XP_036492242.1, XP_036490750.1, XP_036490361.1, XP_036489634.1, XP_036501323.1, XP_036489077.1, XP_036489453.1, XP_036489212.1, XP_036498341.1, XP_036492308.1, XP_036488984.1, XP_036489119.1, XP_036490877.1, XP_036490932.1, XP_036488766.1, XP_036490297.1, XP_036487865.1, XP_036497594.1, XP_036487755.1, XP_036498931.1, XP_036492135.1, XP_036487889.1, XP_036489172.1, XP_036501030.1, XP_036495208.1, XP_036490325.1, XP_036501337.1, XP_036490942.1, XP_036493903.1, XP_036502756.1, XP_036499906.1, XP_036489552.1, XP_036497341.1, XP_036498530.1, XP_036502562.1, XP_036494451.1, XP_036496412.1, XP_036498381.1, XP_036501942.1, XP_036491295.1, XP_036493862.1, XP_036497261.1, XP_036501572.1, XP_036496061.1, XP_036492998.1, XP_036499873.1, XP_036493709.1, XP_036497129.1, XP_036494859.1, XP_036492521.1, XP_036501811.1, XP_036498567.1, XP_036491571.1, XP_036493023.1, XP_036493095.1, XP_036493053.1, XP_036499281.1, XP_036488582.1, XP_036502840.1, XP_036493098.1, XP_036491348.1, XP_036493321.1, XP_036498169.1, XP_036494364.1	XP_060404534.1
OG0000007	XP_036496109.1	XP_060397331.1
OG0000007	XP_036491239.1	XP_060399009.1
OG0000007	XP_036493442.1	XP_060403052.1
OG0000007	XP_036494883.1	XP_060401254.1
OG0000007	XP_036500517.1	XP_060405354.1
OG0000007	XP_036495313.1	XP_060394556.1
OG0000007	XP_036491644.1	XP_060402270.1
OG0000007	XP_036488714.1	XP_060403306.1
OG0000007	XP_036500589.1	XP_060405375.1
OG0000007	XP_036495376.1	XP_060394953.1
OG0000009	XP_036488279.1	XP_060403308.1
OG0000009	XP_036491834.1	XP_060393780.1
OG0000009	XP_036499963.1	XP_060391561.1
OG0000009	XP_036488623.1	XP_060398896.1
OG0000009	XP_036490974.1	XP_060397061.1
OG0000009	XP_036499364.1	XP_060405039.1
OG0000009	XP_036492836.1	XP_060395651.1
OG0000009	XP_036501215.1	XP_060400702.1
OG0000010	XP_036487784.1, XP_036490053.1, XP_036488754.1, XP_036487850.1, XP_036487828.1, XP_036487877.1, XP_036500250.1, XP_036497732.1, XP_036492251.1, XP_036490885.1, XP_036493536.1, XP_036487824.1, XP_036487911.1, XP_036487815.1, XP_036487861.1, XP_036488248.1, XP_036497564.1, XP_036502201.1, XP_036499679.1, XP_036494087.1, XP_036492134.1, XP_036487869.1, XP_036487817.1, XP_036487878.1, XP_036489889.1, XP_036487821.1, XP_036490947.1, XP_036489888.1, XP_036487805.1, XP_036487819.1, XP_036487823.1	XP_060403628.1
OG0000012	XP_036490033.1	XP_060403373.1
OG0000012	XP_036496930.1	XP_060400763.1
OG0000012	XP_036494573.1	XP_060401340.1
OG0000012	XP_036491536.1	XP_060395547.1
OG0000012	XP_036488022.1	XP_060404556.1
OG0000012	XP_036494044.1	XP_060399397.1
OG0000012	XP_036500192.1	XP_060391505.1
OG0000014	XP_036501333.1	XP_060396017.1
OG0000014	XP_036488372.1	XP_060403552.1
OG0000014	XP_036501856.1	XP_060390329.1
OG0000014	XP_036488993.1	XP_060396195.1
OG0000014	XP_036499532.1	XP_060398696.1
OG0000014	XP_036492143.1, XP_036491525.1, XP_036500328.1	XP_060392120.1
