Orthogroup	Colletotrichum_karsti	Colletotrichum_siamense
OG0000001	XP_038742102.1	XP_036496581.1
OG0000001	XP_038742455.1	XP_036496526.1
OG0000001	XP_038749624.1	XP_036497488.1
OG0000001	XP_038742262.1	XP_036492781.1
OG0000001	XP_038742324.1	XP_036495399.1
OG0000001	XP_038750227.1	XP_036489610.1
OG0000001	XP_038740053.1	XP_036502151.1
OG0000001	XP_038739396.1	XP_036491417.1, XP_036491418.1, XP_036491555.1
OG0000001	XP_038745379.1	XP_036491388.1
OG0000001	XP_038746377.1	XP_036492025.1
OG0000002	XP_038747034.1	XP_036500201.1
OG0000002	XP_038744613.1	XP_036490503.1
OG0000002	XP_038740422.1	XP_036500252.1
OG0000002	XP_038744608.1	XP_036499179.1
OG0000002	XP_038742597.1	XP_036493992.1
OG0000002	XP_038739885.1	XP_036491792.1, XP_036493966.1
OG0000002	XP_038750075.1	XP_036502410.1
OG0000002	XP_038741791.1	XP_036494525.1
OG0000002	XP_038748084.1	XP_036500478.1, XP_036488845.1
OG0000002	XP_038742596.1	XP_036495012.1
OG0000003	XP_038748601.1	XP_036501204.1
OG0000003	XP_038741985.1	XP_036492277.1
OG0000003	XP_038742690.1	XP_036495057.1
OG0000003	XP_038741848.1	XP_036494043.1
OG0000003	XP_038745194.1	XP_036492461.1
OG0000003	XP_038749795.1	XP_036488495.1
OG0000003	XP_038746686.1	XP_036500242.1
OG0000003	XP_038742954.1	XP_036495065.1
OG0000003	XP_038743265.1	XP_036502893.1
OG0000003	XP_038739177.1	XP_036493661.1
OG0000003	XP_038742506.1	XP_036495366.1
OG0000007	XP_038742340.1	XP_036496109.1
OG0000007	XP_038741456.1	XP_036491239.1
OG0000007	XP_038740211.1	XP_036493442.1
OG0000007	XP_038741585.1	XP_036494883.1
OG0000007	XP_038743862.1	XP_036500517.1
OG0000007	XP_038740577.1	XP_036495313.1
OG0000007	XP_038741890.1	XP_036491644.1
OG0000007	XP_038749800.1	XP_036488714.1
OG0000007	XP_038743880.1	XP_036500589.1
OG0000007	XP_038743631.1	XP_036495376.1
OG0000009	XP_038749796.1	XP_036488279.1
OG0000009	XP_038745184.1	XP_036491834.1
OG0000009	XP_038748265.1	XP_036499963.1
OG0000009	XP_038747710.1	XP_036488623.1
OG0000009	XP_038744526.1	XP_036490974.1
OG0000009	XP_038746723.1	XP_036499364.1
OG0000009	XP_038745995.1	XP_036492836.1
OG0000009	XP_038746906.1	XP_036501215.1
OG0000012	XP_038741434.1	XP_036490033.1
OG0000012	XP_038738849.1	XP_036491536.1
OG0000012	XP_038746590.1	XP_036488022.1
OG0000012	XP_038741849.1	XP_036494044.1
OG0000012	XP_038748114.1	XP_036500192.1
OG0000014	XP_038743338.1	XP_036501333.1
OG0000014	XP_038742823.1	XP_036488372.1
OG0000014	XP_038748556.1	XP_036501856.1
OG0000014	XP_038745510.1	XP_036488993.1
OG0000014	XP_038748341.1	XP_036499532.1
OG0000014	XP_038746259.1	XP_036492143.1, XP_036491525.1
OG0000014	XP_038740332.1	XP_036500328.1
OG0000015	XP_038747728.1, XP_038741283.1, XP_038748640.1	XP_036500741.1
OG0000015	XP_038743321.1, XP_038744200.1	XP_036499956.1
OG0000015	XP_038745173.1, XP_038746282.1	XP_036497572.1, XP_036502390.1
OG0000016	XP_038750325.1	XP_036489583.1
OG0000016	XP_038740607.1	XP_036499009.1
OG0000016	XP_038743429.1	XP_036501233.1
OG0000016	XP_038747060.1	XP_036499112.1
OG0000016	XP_038742120.1	XP_036496985.1
OG0000016	XP_038751211.1	XP_036501416.1
OG0000017	XP_038738728.1	XP_036495546.1
OG0000017	XP_038739796.1	XP_036501719.1
OG0000017	XP_038751093.1	XP_036497675.1
OG0000017	XP_038746538.1	XP_036498309.1
OG0000017	XP_038749597.1	XP_036497906.1
OG0000017	XP_038740421.1	XP_036500254.1
OG0000017	XP_038748604.1	XP_036502161.1
OG0000018	XP_038744839.1	XP_036500175.1
OG0000018	XP_038740721.1	XP_036498532.1
OG0000018	XP_038743665.1, XP_038743680.1	XP_036491986.1, XP_036496484.1
OG0000018	XP_038740797.1, XP_038746235.1	XP_036493287.1
OG0000018	XP_038750098.1	XP_036488781.1, XP_036491241.1
OG0000018	XP_038751342.1	XP_036502903.1
OG0000019	XP_038742254.1	XP_036488105.1
OG0000019	XP_038746014.1	XP_036494036.1
OG0000019	XP_038742358.1	XP_036495462.1
OG0000019	XP_038747916.1	XP_036500388.1
OG0000019	XP_038742528.1	XP_036495983.1
OG0000019	XP_038742526.1	XP_036495979.1
OG0000019	XP_038742527.1	XP_036495981.1
OG0000021	XP_038747639.1	XP_036493440.1
OG0000021	XP_038742714.1	XP_036494659.1
OG0000023	XP_038742786.1	XP_036488348.1
OG0000023	XP_038747724.1	XP_036488063.1
OG0000023	XP_038747041.1	XP_036499297.1
OG0000023	XP_038751432.1	XP_036489741.1
OG0000023	XP_038744036.1	XP_036499311.1
OG0000023	XP_038747906.1	XP_036499951.1
OG0000024	XP_038750167.1	XP_036489226.1
OG0000024	XP_038746030.1	XP_036492988.1
OG0000024	XP_038749840.1	XP_036488107.1
OG0000024	XP_038750868.1	XP_036497550.1
OG0000024	XP_038749957.1	XP_036488952.1
OG0000026	XP_038749949.1	XP_036488905.1
OG0000026	XP_038739803.1	XP_036495148.1
OG0000026	XP_038743309.1	XP_036501569.1
OG0000026	XP_038745044.1	XP_036501435.1
OG0000028	XP_038741868.1	XP_036494856.1
OG0000028	XP_038746879.1	XP_036502180.1
OG0000028	XP_038749042.1	XP_036490429.1
OG0000028	XP_038741883.1	XP_036494902.1
OG0000031	XP_038749924.1	XP_036488790.1
OG0000031	XP_038747655.1	XP_036487965.1
OG0000031	XP_038739645.1	XP_036492221.1
OG0000031	XP_038739213.1	XP_036490014.1
OG0000032	XP_038749055.1	XP_036491022.1
OG0000033	XP_038743001.1	XP_036493005.1
OG0000033	XP_038745613.1	XP_036494215.1
OG0000034	XP_038741734.1	XP_036494491.1
OG0000034	XP_038746609.1	XP_036498572.1
OG0000034	XP_038748332.1	XP_036499396.1
OG0000034	XP_038749610.1	XP_036497376.1
OG0000035	XP_038741043.1	XP_036490914.1
OG0000035	XP_038739905.1	XP_036493895.1
OG0000035	XP_038738852.1	XP_036490320.1
OG0000035	XP_038747431.1	XP_036488737.1, XP_036496362.1
OG0000037	XP_038742844.1	XP_036487993.1
OG0000037	XP_038739204.1	XP_036493393.1
OG0000037	XP_038747472.1	XP_036501392.1
OG0000037	XP_038741825.1	XP_036494326.1
OG0000038	XP_038740761.1	XP_036492752.1
OG0000038	XP_038746120.1	XP_036492782.1
OG0000038	XP_038749765.1, XP_038742808.1	XP_036488911.1
OG0000039	XP_038742949.1	XP_036492553.1
OG0000041	XP_038750340.1	XP_036494328.1, XP_036502479.1, XP_036497924.1, XP_036489301.1, XP_036499966.1, XP_036500952.1, XP_036496630.1
OG0000043	XP_038742339.1	XP_036502684.1
OG0000043	XP_038744244.1	XP_036499408.1
OG0000043	XP_038742058.1	XP_036501635.1
OG0000043	XP_038748991.1	XP_036498172.1, XP_036494701.1, XP_036498173.1
OG0000043	XP_038744021.1	XP_036499171.1
OG0000044	XP_038748130.1	XP_036500277.1
OG0000044	XP_038741919.1	XP_036491424.1
OG0000044	XP_038743185.1	XP_036492780.1
OG0000044	XP_038746929.1	XP_036489400.1
OG0000046	XP_038749820.1	XP_036488170.1
OG0000046	XP_038750950.1	XP_036497078.1
OG0000046	XP_038743311.1	XP_036501566.1
OG0000046	XP_038750269.1	XP_036489187.1
OG0000047	XP_038739915.1	XP_036493902.1
OG0000047	XP_038743301.1	XP_036495958.1
OG0000047	XP_038746889.1	XP_036501166.1
OG0000047	XP_038746304.1	XP_036497547.1, XP_036492910.1
OG0000049	XP_038750320.1	XP_036502900.1
OG0000049	XP_038739678.1	XP_036491984.1
OG0000049	XP_038748549.1	XP_036501318.1
OG0000049	XP_038750912.1	XP_036498528.1
OG0000050	XP_038743985.1	XP_036499043.1
OG0000050	XP_038743187.1	XP_036492773.1
OG0000050	XP_038739079.1	XP_036492351.1
OG0000051	XP_038744342.1	XP_036497292.1
OG0000051	XP_038741321.1	XP_036494230.1
OG0000051	XP_038739555.1	XP_036495225.1
OG0000051	XP_038740059.1	XP_036502560.1
OG0000054	XP_038740594.1	XP_036499571.1
OG0000054	XP_038746041.1	XP_036487886.1
OG0000055	XP_038750112.1	XP_036493697.1, XP_036489604.1
OG0000055	XP_038739230.1	XP_036493877.1
OG0000055	XP_038744694.1, XP_038750913.1	XP_036493336.1
OG0000055	XP_038741589.1	XP_036499205.1
OG0000055	XP_038741699.1	XP_036494555.1
OG0000057	XP_038749116.1	XP_036494950.1
OG0000057	XP_038738880.1	XP_036490269.1
OG0000057	XP_038742534.1	XP_036495899.1
OG0000057	XP_038744145.1	XP_036495091.1
OG0000058	XP_038751481.1	XP_036490042.1
OG0000058	XP_038741838.1	XP_036495005.1
OG0000059	XP_038748983.1	XP_036490551.1
OG0000059	XP_038744290.1	XP_036497576.1
OG0000064	XP_038741951.1	XP_036492118.1
OG0000064	XP_038748953.1	XP_036490724.1
OG0000064	XP_038750307.1	XP_036489754.1
OG0000065	XP_038744511.1	XP_036500474.1
OG0000066	XP_038749507.1	XP_036495275.1, XP_036495196.1, XP_036492916.1
OG0000067	XP_038740481.1	XP_036492023.1, XP_036500613.1
OG0000067	XP_038751112.1	XP_036498807.1
OG0000069	XP_038740857.1	XP_036500379.1
OG0000069	XP_038740859.1	XP_036492667.1
OG0000069	XP_038740860.1	XP_036492666.1
OG0000070	XP_038740145.1	XP_036493667.1
OG0000070	XP_038745223.1	XP_036488955.1
OG0000070	XP_038747979.1	XP_036488253.1, XP_036489880.1
OG0000071	XP_038740653.1	XP_036499807.1
OG0000071	XP_038740201.1	XP_036493443.1
OG0000071	XP_038750986.1	XP_036497250.1
OG0000071	XP_038748109.1, XP_038739379.1	XP_036490878.1
OG0000072	XP_038743394.1	XP_036501078.1
OG0000072	XP_038743218.1	XP_036493060.1
OG0000073	XP_038743687.1	XP_036496453.1
OG0000073	XP_038743264.1	XP_036498101.1
OG0000073	XP_038742548.1	XP_036499325.1
OG0000074	XP_038739372.1	XP_036487894.1
OG0000075	XP_038751168.1	XP_036497708.1
OG0000076	XP_038741037.1	XP_036489344.1
OG0000076	XP_038739795.1	XP_036501634.1
OG0000076	XP_038741889.1, XP_038747779.1	XP_036494545.1
OG0000077	XP_038748011.1, XP_038746277.1	XP_036487856.1
OG0000077	XP_038746308.1	XP_036499245.1, XP_036497622.1
OG0000078	XP_038743161.1	XP_036493217.1
OG0000078	XP_038750812.1	XP_036496443.1
OG0000078	XP_038742590.1	XP_036493989.1
OG0000080	XP_038738858.1	XP_036490318.1
OG0000080	XP_038746709.1	XP_036497276.1
OG0000080	XP_038751018.1	XP_036497873.1
OG0000081	XP_038748232.1	XP_036500778.1
OG0000081	XP_038747984.1	XP_036499078.1
OG0000081	XP_038741010.1	XP_036490929.1
OG0000082	XP_038744232.1	XP_036495063.1
OG0000082	XP_038740928.1	XP_036493085.1
OG0000082	XP_038746901.1	XP_036501220.1
OG0000083	XP_038744246.1	XP_036487848.1, XP_036494216.1
OG0000083	XP_038740672.1	XP_036492997.1
OG0000085	XP_038740897.1	XP_036493283.1
OG0000085	XP_038747830.1	XP_036490490.1
OG0000085	XP_038744429.1	XP_036499355.1
OG0000085	XP_038744428.1	XP_036497729.1
OG0000088	XP_038741537.1	XP_036495297.1
OG0000089	XP_038739171.1	XP_036493414.1
OG0000090	XP_038751256.1	XP_036498841.1
OG0000090	XP_038751721.1	XP_036489356.1
OG0000090	XP_038749487.1	XP_036500971.1
OG0000091	XP_038748252.1	XP_036498979.1
OG0000091	XP_038745426.1	XP_036488098.1
OG0000091	XP_038747421.1	XP_036501593.1
OG0000092	XP_038740723.1	XP_036490819.1, XP_036488808.1, XP_036502902.1
OG0000093	XP_038745039.1	XP_036488519.1
OG0000093	XP_038748964.1	XP_036490768.1
OG0000094	XP_038745580.1	XP_036488018.1
OG0000094	XP_038747342.1	XP_036501845.1
OG0000094	XP_038750495.1	XP_036489522.1
OG0000094	XP_038742532.1	XP_036496392.1
OG0000095	XP_038750878.1, XP_038747813.1	XP_036488884.1
OG0000095	XP_038741429.1	XP_036490717.1
OG0000095	XP_038748346.1	XP_036499485.1
OG0000097	XP_038742869.1	XP_036488077.1
OG0000097	XP_038748302.1	XP_036499526.1
OG0000097	XP_038741979.1	XP_036492358.1
OG0000098	XP_038751718.1	XP_036490120.1
OG0000098	XP_038748852.1	XP_036495068.1, XP_036490854.1
OG0000100	XP_038750308.1	XP_036489759.1
OG0000100	XP_038739203.1	XP_036493390.1
OG0000100	XP_038748325.1	XP_036500493.1
OG0000101	XP_038742730.1	XP_036488765.1
OG0000101	XP_038744517.1	XP_036490572.1
OG0000101	XP_038747621.1	XP_036488805.1
OG0000102	XP_038747623.1	XP_036487964.1
OG0000102	XP_038741620.1	XP_036494287.1
OG0000102	XP_038740089.1	XP_036502396.1
OG0000103	XP_038750902.1	XP_036489749.1, XP_036497649.1
OG0000103	XP_038747604.1	XP_036492313.1
OG0000104	XP_038746213.1	XP_036491368.1
OG0000105	XP_038738705.1	XP_036492171.1
OG0000107	XP_038740631.1	XP_036487792.1
OG0000108	XP_038744051.1	XP_036493289.1
OG0000109	XP_038738946.1	XP_036493470.1
OG0000110	XP_038748627.1	XP_036502076.1
OG0000110	XP_038749526.1	XP_036497115.1
OG0000110	XP_038747759.1, XP_038741778.1	XP_036494343.1
OG0000111	XP_038748174.1	XP_036500872.1
OG0000111	XP_038750864.1	XP_036498364.1
OG0000112	XP_038740382.1	XP_036500484.1
OG0000112	XP_038740557.1	XP_036496762.1
OG0000112	XP_038749524.1	XP_036497121.1
OG0000113	XP_038739961.1	XP_036500447.1
OG0000113	XP_038746085.1	XP_036493855.1
OG0000113	XP_038741048.1	XP_036490835.1
OG0000114	XP_038744642.1	XP_036490658.1
OG0000114	XP_038748159.1	XP_036493437.1, XP_036499258.1
OG0000115	XP_038751602.1	XP_036489407.1
OG0000120	XP_038747307.1	XP_036501724.1
OG0000121	XP_038746143.1	XP_036493502.1
OG0000121	XP_038739237.1	XP_036493806.1
OG0000122	XP_038741719.1	XP_036502421.1
OG0000122	XP_038743612.1	XP_036496870.1
OG0000124	XP_038742694.1	XP_036496649.1, XP_036500237.1, XP_036496655.1, XP_036496656.1
OG0000125	XP_038750384.1	XP_036489956.1
OG0000125	XP_038741937.1	XP_036492067.1
OG0000125	XP_038741419.1	XP_036491257.1
OG0000126	XP_038746236.1	XP_036492537.1
OG0000126	XP_038749121.1, XP_038749122.1	XP_036502094.1, XP_036497509.1
OG0000127	XP_038748761.1	XP_036501582.1
OG0000127	XP_038747323.1	XP_036502706.1
OG0000127	XP_038745992.1	XP_036492993.1
OG0000128	XP_038742142.1	XP_036495857.1
OG0000128	XP_038747675.1	XP_036488188.1
OG0000129	XP_038749923.1	XP_036488783.1
OG0000129	XP_038746452.1	XP_036490008.1, XP_036497344.1
OG0000131	XP_038740696.1	XP_036493097.1
OG0000132	XP_038741408.1	XP_036495265.1, XP_036492220.1, XP_036490303.1, XP_036495022.1, XP_036489915.1, XP_036502714.1
OG0000133	XP_038742937.1	XP_036495807.1
OG0000133	XP_038741362.1	XP_036493065.1, XP_036493745.1
OG0000138	XP_038749040.1	XP_036490762.1
OG0000138	XP_038743077.1	XP_036493206.1
OG0000138	XP_038744074.1	XP_036495014.1
OG0000139	XP_038748311.1	XP_036500562.1
OG0000140	XP_038744937.1	XP_036501870.1
OG0000142	XP_038746290.1	XP_036491494.1
OG0000142	XP_038745994.1	XP_036492837.1
OG0000142	XP_038739464.1	XP_036492717.1
OG0000143	XP_038742306.1	XP_036492295.1
OG0000143	XP_038739238.1	XP_036493496.1
OG0000144	XP_038749918.1	XP_036488256.1
OG0000144	XP_038747213.1, XP_038740746.1	XP_036497676.1
OG0000145	XP_038749178.1	XP_036502223.1
OG0000145	XP_038749898.1	XP_036490778.1, XP_036502660.1
OG0000147	XP_038744544.1	XP_036490977.1
OG0000147	XP_038747791.1	XP_036488866.1
OG0000147	XP_038745855.1	XP_036499958.1
OG0000148	XP_038744702.1	XP_036495488.1
OG0000148	XP_038746479.1	XP_036498689.1
OG0000148	XP_038740736.1	XP_036494079.1
OG0000149	XP_038744469.1	XP_036490766.1
OG0000149	XP_038742068.1	XP_036494972.1
OG0000150	XP_038740497.1	XP_036487788.1, XP_036487760.1, XP_036487754.1, XP_036496497.1
OG0000151	XP_038746533.1	XP_036497381.1
OG0000151	XP_038739313.1	XP_036494774.1, XP_036498310.1
OG0000154	XP_038739316.1	XP_036494146.1
OG0000154	XP_038746585.1	XP_036498647.1
OG0000154	XP_038751114.1	XP_036498518.1
OG0000155	XP_038741478.1	XP_036490785.1
OG0000155	XP_038748080.1	XP_036490678.1, XP_036493250.1
OG0000156	XP_038748618.1	XP_036501147.1
OG0000156	XP_038746874.1	XP_036502175.1
OG0000156	XP_038740509.1	XP_036495587.1
OG0000158	XP_038742332.1	XP_036496419.1
OG0000158	XP_038741442.1	XP_036490956.1
OG0000159	XP_038750911.1	XP_036497407.1
OG0000159	XP_038747659.1	XP_036488538.1
OG0000160	XP_038739928.1	XP_036493326.1
OG0000160	XP_038750954.1	XP_036492488.1, XP_036497074.1
OG0000161	XP_038745894.1	XP_036493811.1
OG0000161	XP_038750617.1	XP_036497140.1
OG0000162	XP_038746043.1	XP_036497552.1
OG0000162	XP_038746951.1	XP_036501451.1
OG0000163	XP_038742288.1	XP_036496169.1, XP_036496168.1
OG0000163	XP_038751612.1, XP_038745607.1	XP_036495352.1
OG0000164	XP_038751150.1	XP_036498727.1
OG0000164	XP_038748207.1	XP_036499054.1
OG0000166	XP_038749582.1, XP_038749581.1	XP_036498147.1
OG0000166	XP_038749579.1	XP_036498148.1, XP_036498143.1, XP_036498146.1
OG0000170	XP_038740584.1	XP_036491774.1, XP_036501767.1, XP_036491773.1
OG0000171	XP_038745850.1	XP_036493192.1
OG0000172	XP_038751888.1	XP_036489091.1
OG0000172	XP_038748619.1	XP_036501146.1
OG0000174	XP_038740605.1	XP_036499011.1
OG0000174	XP_038749826.1	XP_036488124.1
OG0000175	XP_038748259.1	XP_036498973.1
OG0000176	XP_038739056.1	XP_036494598.1
OG0000177	XP_038739673.1	XP_036491963.1
OG0000178	XP_038740415.1	XP_036499187.1
OG0000178	XP_038748052.1	XP_036491788.1
OG0000179	XP_038740070.1	XP_036488941.1
OG0000179	XP_038750081.1	XP_036493929.1
OG0000179	XP_038743226.1	XP_036493552.1
OG0000180	XP_038740525.1	XP_036495643.1
OG0000180	XP_038741945.1	XP_036492059.1
OG0000180	XP_038748217.1	XP_036499645.1
OG0000181	XP_038744182.1	XP_036494003.1
OG0000181	XP_038743700.1	XP_036495687.1
OG0000182	XP_038738759.1	XP_036496154.1
OG0000182	XP_038744740.1	XP_036496015.1
OG0000185	XP_038750433.1	XP_036498635.1
OG0000186	XP_038745854.1	XP_036499959.1
OG0000186	XP_038744178.1	XP_036494006.1
OG0000187	XP_038747911.1	XP_036499979.1
OG0000187	XP_038743693.1	XP_036500768.1, XP_036488204.1
OG0000187	XP_038746896.1	XP_036493178.1
OG0000188	XP_038739581.1	XP_036500792.1
OG0000188	XP_038740418.1	XP_036499188.1
