Orthogroup	Colletotrichum_godetiae	Colletotrichum_karsti
OG0000001	XP_060430719.1	XP_038742102.1
OG0000001	XP_060430831.1	XP_038742455.1
OG0000001	XP_060433490.1	XP_038749624.1, XP_038742262.1
OG0000001	XP_060427985.1	XP_038742324.1
OG0000001	XP_060436502.1	XP_038750227.1
OG0000001	XP_060431810.1	XP_038750579.1
OG0000001	XP_060424765.1	XP_038740053.1
OG0000001	XP_060430320.1, XP_060430204.1	XP_038739396.1
OG0000001	XP_060436634.1	XP_038745379.1
OG0000001	XP_060430440.1	XP_038744591.1
OG0000001	XP_060430506.1	XP_038746377.1
OG0000002	XP_060433373.1	XP_038747034.1
OG0000002	XP_060431021.1	XP_038744613.1
OG0000002	XP_060428147.1	XP_038742597.1
OG0000002	XP_060428901.1	XP_038739885.1
OG0000002	XP_060425395.1	XP_038750075.1, XP_038741791.1
OG0000002	XP_060421889.1	XP_038748084.1
OG0000002	XP_060428142.1	XP_038742596.1
OG0000003	XP_060431388.1	XP_038748601.1
OG0000003	XP_060433884.1	XP_038745194.1
OG0000003	XP_060425653.1	XP_038749795.1
OG0000003	XP_060433305.1	XP_038746686.1
OG0000003	XP_060426621.1	XP_038742954.1
OG0000003	XP_060433222.1	XP_038743265.1
OG0000003	XP_060430890.1	XP_038742506.1
OG0000007	XP_060428043.1	XP_038742340.1
OG0000007	XP_060426126.1	XP_038740211.1
OG0000007	XP_060428999.1	XP_038741585.1
OG0000007	XP_060422886.1	XP_038743862.1
OG0000007	XP_060429807.1	XP_038740577.1
OG0000007	XP_060430335.1	XP_038741890.1
OG0000007	XP_060425659.1	XP_038749800.1
OG0000007	XP_060422903.1	XP_038743880.1
OG0000007	XP_060431051.1	XP_038743631.1
OG0000009	XP_060425658.1	XP_038749796.1
OG0000009	XP_060433863.1	XP_038745184.1
OG0000009	XP_060429588.1	XP_038748265.1
OG0000009	XP_060425888.1	XP_038747710.1
OG0000009	XP_060436719.1	XP_038744526.1
OG0000009	XP_060427117.1	XP_038746723.1
OG0000009	XP_060425216.1	XP_038745995.1
OG0000009	XP_060424844.1	XP_038746906.1
OG0000012	XP_060425599.1	XP_038741434.1
OG0000012	XP_060430634.1	XP_038738849.1
OG0000012	XP_060429755.1, XP_060425735.1	XP_038741592.1
OG0000012	XP_060427607.1	XP_038746590.1
OG0000012	XP_060428118.1	XP_038741849.1
OG0000012	XP_060424388.1	XP_038748114.1
OG0000014	XP_060433247.1	XP_038743338.1
OG0000014	XP_060429479.1	XP_038742823.1
OG0000014	XP_060431445.1	XP_038748556.1
OG0000014	XP_060426988.1	XP_038745510.1
OG0000014	XP_060426412.1	XP_038748341.1
OG0000014	XP_060422444.1	XP_038746259.1, XP_038740332.1
OG0000015	XP_060424864.1	XP_038741283.1
OG0000016	XP_060436401.1	XP_038750325.1
OG0000016	XP_060423652.1	XP_038740607.1
OG0000016	XP_060433359.1	XP_038743429.1
OG0000016	XP_060433378.1	XP_038741691.1, XP_038743399.1, XP_038747060.1
OG0000016	XP_060427843.1	XP_038751211.1
OG0000017	XP_060428176.1	XP_038738728.1
OG0000017	XP_060430370.1	XP_038739796.1
OG0000017	XP_060435846.1	XP_038751093.1
OG0000017	XP_060435607.1, XP_060427398.1	XP_038746538.1
OG0000017	XP_060431154.1	XP_038749597.1, XP_038740421.1, XP_038748604.1
OG0000018	XP_060427203.1, XP_060428697.1	XP_038743594.1
OG0000018	XP_060430376.1	XP_038740721.1, XP_038743665.1, XP_038743680.1, XP_038740797.1, XP_038746235.1
OG0000018	XP_060427534.1, XP_060433811.1	XP_038750098.1, XP_038751342.1
OG0000019	XP_060435896.1	XP_038742254.1
OG0000019	XP_060430815.1	XP_038746014.1, XP_038742358.1, XP_038747916.1
OG0000019	XP_060430814.1	XP_038746348.1
OG0000021	XP_060421692.1, XP_060421691.1	XP_038748220.1, XP_038743443.1
OG0000023	XP_060429564.1	XP_038742786.1
OG0000023	XP_060425815.1	XP_038747724.1
OG0000023	XP_060433414.1	XP_038747041.1
OG0000023	XP_060436329.1	XP_038751432.1
OG0000023	XP_060424910.1	XP_038744036.1, XP_038747906.1
OG0000024	XP_060436445.1	XP_038750167.1
OG0000024	XP_060425577.1	XP_038749840.1
OG0000024	XP_060427612.1	XP_038750868.1
OG0000024	XP_060430976.1, XP_060429383.1	XP_038749957.1
OG0000026	XP_060429386.1	XP_038749949.1
OG0000026	XP_060428763.1	XP_038739803.1
OG0000026	XP_060429661.1	XP_038745044.1
OG0000028	XP_060428084.1	XP_038741868.1
OG0000028	XP_060424829.1	XP_038746879.1
OG0000028	XP_060436891.1	XP_038749042.1
OG0000028	XP_060428081.1	XP_038741883.1
OG0000031	XP_060429462.1	XP_038749924.1
OG0000031	XP_060423022.1	XP_038747655.1
OG0000031	XP_060425569.1	XP_038739645.1
OG0000032	XP_060423317.1, XP_060422826.1, XP_060436851.1	XP_038749055.1
OG0000033	XP_060425685.1	XP_038743001.1
OG0000033	XP_060432069.1	XP_038748989.1
OG0000033	XP_060428895.1	XP_038745613.1, XP_038750920.1
OG0000034	XP_060425434.1	XP_038741734.1
OG0000034	XP_060425010.1	XP_038746609.1
OG0000034	XP_060426368.1	XP_038751740.1, XP_038748332.1
OG0000034	XP_060427517.1	XP_038749610.1
OG0000035	XP_060437284.1	XP_038741043.1
OG0000035	XP_060427104.1	XP_038739905.1
OG0000035	XP_060426759.1	XP_038738852.1
OG0000035	XP_060429699.1	XP_038747431.1
OG0000037	XP_060429509.1	XP_038742844.1
OG0000037	XP_060434737.1	XP_038739204.1
OG0000037	XP_060422163.1	XP_038741825.1
OG0000038	XP_060436774.1	XP_038740761.1
OG0000039	XP_060424742.1	XP_038742949.1
OG0000043	XP_060423691.1	XP_038744021.1
OG0000044	XP_060424363.1	XP_038748130.1
OG0000044	XP_060425820.1	XP_038747739.1
OG0000044	XP_060430013.1	XP_038741919.1, XP_038743185.1
OG0000044	XP_060430675.1	XP_038746929.1
OG0000046	XP_060423965.1	XP_038749820.1
OG0000046	XP_060422315.1	XP_038750950.1
OG0000046	XP_060432596.1	XP_038743311.1
OG0000046	XP_060436550.1	XP_038750269.1
OG0000047	XP_060435585.1	XP_038743558.1
OG0000047	XP_060428658.1	XP_038746889.1
OG0000049	XP_060429839.1	XP_038750320.1
OG0000049	XP_060427999.1	XP_038748549.1
OG0000049	XP_060427652.1	XP_038750912.1
OG0000050	XP_060426010.1	XP_038743985.1
OG0000050	XP_060430015.1	XP_038743187.1
OG0000050	XP_060434196.1	XP_038739079.1
OG0000051	XP_060427463.1	XP_038744342.1
OG0000051	XP_060429014.1	XP_038741321.1
OG0000051	XP_060427740.1	XP_038739555.1
OG0000051	XP_060424773.1	XP_038740059.1
OG0000054	XP_060425671.1	XP_038740594.1
OG0000054	XP_060421316.1, XP_060421708.1, XP_060423325.1, XP_060421372.1, XP_060422834.1	XP_038746041.1
OG0000054	XP_060422655.1	XP_038740243.1
OG0000055	XP_060430387.1	XP_038750112.1
OG0000057	XP_060425430.1	XP_038749116.1
OG0000057	XP_060425812.1	XP_038742534.1
OG0000058	XP_060436116.1	XP_038751481.1
OG0000059	XP_060423506.1, XP_060436928.1	XP_038748983.1
OG0000059	XP_060431609.1	XP_038744290.1
OG0000064	XP_060425145.1	XP_038741951.1
OG0000064	XP_060422483.1	XP_038748953.1
OG0000064	XP_060429117.1, XP_060427609.1, XP_060422807.1	XP_038750307.1
OG0000065	XP_060436978.1	XP_038744511.1
OG0000067	XP_060427460.1	XP_038740481.1
OG0000068	XP_060424612.1	XP_038742454.1
OG0000068	XP_060430830.1	XP_038742456.1
OG0000069	XP_060433151.1	XP_038740857.1, XP_038740859.1, XP_038740860.1
OG0000070	XP_060426203.1	XP_038740145.1
OG0000070	XP_060436394.1	XP_038747979.1
OG0000071	XP_060424427.1	XP_038740653.1
OG0000071	XP_060427335.1	XP_038740201.1
OG0000071	XP_060422211.1	XP_038748109.1, XP_038739379.1
