Orthogroup	Colletotrichum_truncatum	Colletotrichum_fructicola
OG0000000	XP_070061527.1, XP_070060843.1	XP_031878483.1, XP_066009607.1
OG0000000	XP_070060000.1, XP_070062450.1, XP_070061158.1, XP_070060945.1	XP_066009636.1, XP_031882429.2
OG0000001	XP_070060346.1	XP_031885183.1
OG0000001	XP_036586796.1	XP_031885099.1
OG0000001	XP_036580152.1	XP_031892038.1
OG0000001	XP_036589697.1	XP_031889152.1
OG0000001	XP_036574900.1	XP_031879932.1, XP_066008709.1, XP_066008663.1
OG0000001	XP_036587766.1	XP_031890095.1
OG0000002	XP_070062049.1	XP_031879492.1
OG0000002	XP_036574664.1	XP_031881669.1
OG0000002	XP_070062632.1	XP_066007347.1
OG0000002	XP_036581241.1	XP_031879097.1
OG0000002	XP_036582377.1	XP_031884130.1
OG0000002	XP_036574167.1	XP_031889624.1
OG0000002	XP_070060513.1	XP_066009251.1
OG0000002	XP_036574742.1, XP_070062304.1	XP_031879385.1
OG0000002	XP_036576472.1	XP_066007328.1
OG0000002	XP_036581786.1	XP_031878257.1
OG0000002	XP_036583733.1	XP_066009179.1
OG0000002	XP_036581238.1	XP_031879045.1
OG0000003	XP_070061728.1	XP_031877859.1
OG0000003	XP_036581223.1	XP_031879030.1
OG0000003	XP_070060981.1	XP_031886825.1
OG0000003	XP_036577268.1	XP_031880905.1
OG0000003	XP_036578917.1	XP_066007760.1
OG0000003	XP_036583826.1	XP_031884263.1
OG0000003	XP_036586830.1	XP_031885127.1
OG0000005	XP_070062012.1, XP_070060081.1	XP_031885484.1, XP_066007217.1
OG0000005	XP_070060547.1	XP_031878093.1, XP_031893401.2
OG0000005	XP_070061481.1	XP_031888063.1
OG0000005	XP_036588222.2	XP_066007372.1
OG0000005	XP_070060019.1	XP_031882619.1, XP_066009441.1
OG0000005	XP_070062638.1	XP_066009402.1
OG0000005	XP_036586561.1	XP_031891255.1, XP_031878347.2, XP_031886563.1
OG0000005	XP_036574652.1	XP_031884256.1, XP_031881538.2
OG0000005	XP_036579587.1	XP_031882119.1
OG0000007	XP_036580140.1	XP_031891853.1
OG0000007	XP_036574479.1	XP_031888035.1
OG0000007	XP_036575499.1	XP_031879776.1
OG0000007	XP_036575385.1	XP_031892924.1
OG0000007	XP_036576846.1	XP_031886196.1
OG0000007	XP_036578124.2	XP_066008736.1
OG0000007	XP_036574613.1	XP_031884466.1
OG0000007	XP_070060710.1	XP_031879231.1
OG0000007	XP_070061891.1	XP_031885954.1
OG0000007	XP_036578145.1	XP_031892101.1
OG0000008	XP_036574350.1	XP_066008629.1, XP_031886231.1, XP_066009467.1
OG0000008	XP_036577468.1	XP_066009991.1
OG0000008	XP_070061808.1	XP_066008765.1
OG0000008	XP_070062441.1	XP_066009368.1, XP_031882332.2
OG0000008	XP_036582296.1	XP_066008596.1, XP_066008595.1, XP_066007654.1
OG0000009	XP_036577266.1	XP_031879160.1
OG0000009	XP_036587406.1	XP_031886674.1
OG0000009	XP_036589787.1	XP_031877969.1
OG0000009	XP_036588082.2	XP_031891005.1
OG0000009	XP_036578878.1	XP_031876103.1
