Orthogroup	Colletotrichum_abscissum	Colletotrichum_acutatum	Colletotrichum_fructicola	Colletotrichum_gloeosporioides	Colletotrichum_godetiae	Colletotrichum_karsti	Colletotrichum_siamense	Colletotrichum_truncatum
OG0017145	XP_060389370.1							
OG0017146	XP_060389378.1							
OG0017147	XP_060389379.1							
OG0017148	XP_060389382.1							
OG0017149	XP_060389388.1							
OG0017150	XP_060389421.1							
OG0017151	XP_060389427.1							
OG0017152	XP_060389431.1							
OG0017153	XP_060389439.1							
OG0017154	XP_060389442.1							
OG0017155	XP_060389451.1							
OG0017156	XP_060389452.1							
OG0017157	XP_060389456.1							
OG0017158	XP_060389463.1							
OG0017159	XP_060389479.1							
OG0017160	XP_060389486.1							
OG0017161	XP_060389500.1							
OG0017162	XP_060389516.1							
OG0017163	XP_060389553.1							
OG0017164	XP_060389567.1							
OG0017165	XP_060389571.1							
OG0017166	XP_060389572.1							
OG0017167	XP_060389573.1							
OG0017168	XP_060389574.1							
OG0017169	XP_060389577.1							
OG0017170	XP_060389579.1							
OG0017171	XP_060389591.1							
OG0017172	XP_060389594.1							
OG0017173	XP_060389602.1							
OG0017174	XP_060389605.1							
OG0017175	XP_060389609.1							
OG0017176	XP_060389610.1							
OG0017177	XP_060389639.1							
OG0017178	XP_060389642.1							
OG0017179	XP_060389651.1							
OG0017180	XP_060389652.1							
OG0017181	XP_060389653.1							
OG0017182	XP_060389654.1							
OG0017183	XP_060389672.1							
OG0017184	XP_060389673.1							
OG0017185	XP_060389682.1							
OG0017186	XP_060389684.1							
OG0017187	XP_060389686.1							
OG0017188	XP_060389687.1							
OG0017189	XP_060389692.1							
OG0017190	XP_060389712.1							
OG0017191	XP_060389715.1							
OG0017192	XP_060389719.1							
OG0017193	XP_060389720.1							
OG0017194	XP_060389723.1							
OG0017195	XP_060389731.1							
OG0017196	XP_060389742.1							
OG0017197	XP_060389759.1							
OG0017198	XP_060389772.1							
OG0017199	XP_060389784.1							
OG0017200	XP_060389787.1							
OG0017201	XP_060389790.1							
OG0017202	XP_060389792.1							
OG0017203	XP_060389819.1							
OG0017204	XP_060389842.1							
OG0017205	XP_060389863.1							
OG0017206	XP_060389891.1							
OG0017207	XP_060389893.1							
OG0017208	XP_060389894.1							
OG0017209	XP_060389896.1							
OG0017210	XP_060389901.1							
OG0017211	XP_060389909.1							
OG0017212	XP_060389915.1							
OG0017213	XP_060389916.1							
OG0017214	XP_060389934.1							
OG0017215	XP_060389997.1							
OG0017216	XP_060390013.1							
OG0017217	XP_060390014.1							
OG0017218	XP_060390021.1							
OG0017219	XP_060390029.1							
OG0017220	XP_060390030.1							
OG0017221	XP_060390031.1							
OG0017222	XP_060390060.1							
OG0017223	XP_060390061.1							
OG0017224	XP_060390063.1							
OG0017225	XP_060390071.1							
OG0017226	XP_060390088.1							
OG0017227	XP_060390119.1							
OG0017228	XP_060390122.1							
OG0017229	XP_060390130.1							
OG0017230	XP_060390132.1							
OG0017231	XP_060390135.1							
OG0017232	XP_060390136.1							
OG0017233	XP_060390153.1							
OG0017234	XP_060390167.1							
OG0017235	XP_060390168.1							
OG0017236	XP_060390170.1							
OG0017237	XP_060390193.1							
OG0017238	XP_060390196.1							
OG0017239	XP_060390212.1							
OG0017240	XP_060390248.1							
OG0017241	XP_060390251.1							
OG0017242	XP_060390252.1							
OG0017243	XP_060390254.1							
OG0017244	XP_060390267.1							
OG0017245	XP_060390268.1							
OG0017246	XP_060390270.1							
OG0017247	XP_060390278.1							
OG0017248	XP_060390279.1							
OG0017249	XP_060390280.1							
OG0017250	XP_060390282.1							
OG0017251	XP_060390291.1							
OG0017252	XP_060390294.1							
OG0017253	XP_060390295.1							
OG0017254	XP_060390325.1							
OG0017255	XP_060390326.1							
OG0017256	XP_060390346.1							
OG0017257	XP_060390356.1							
OG0017258	XP_060390357.1							
OG0017259	XP_060390360.1							
OG0017260	XP_060390364.1							
OG0017261	XP_060390368.1							
OG0017262	XP_060390369.1							
OG0017263	XP_060390384.1							
OG0017264	XP_060390386.1							
OG0017265	XP_060390387.1							
