Orthogroup	Colletotrichum_truncatum	Colletotrichum_karsti
OG0000001	XP_070060346.1	XP_038742102.1
OG0000001	XP_036586796.1	XP_038742455.1
OG0000001	XP_036580152.1	XP_038742324.1
OG0000001	XP_036579542.1	XP_038742974.1
OG0000001	XP_036589697.1	XP_038750227.1
OG0000001	XP_036574900.1	XP_038740053.1
OG0000001	XP_036587766.1, XP_036576586.2	XP_038739396.1
OG0000001	XP_036578974.1	XP_038744591.1
OG0000002	XP_070062049.1	XP_038747034.1
OG0000002	XP_036574664.1	XP_038744613.1
OG0000002	XP_036581241.1	XP_038742597.1
OG0000002	XP_036574167.1, XP_070060513.1	XP_038739885.1
OG0000002	XP_036574742.1, XP_070062304.1	XP_038750075.1
OG0000002	XP_036576472.1	XP_038741791.1
OG0000002	XP_036581786.1	XP_038748084.1
OG0000002	XP_036581238.1	XP_038742596.1
OG0000002	XP_036586272.1, XP_036581025.2	XP_038742362.1
OG0000003	XP_070061728.1	XP_038748601.1
OG0000003	XP_036581223.1	XP_038741848.1
OG0000003	XP_070060981.1	XP_038745194.1
OG0000003	XP_036577268.1	XP_038749795.1
OG0000003	XP_036583826.1	XP_038743265.1
OG0000003	XP_036586830.1	XP_038742506.1
OG0000007	XP_036580140.1	XP_038742340.1
OG0000007	XP_036574479.1	XP_038741456.1
OG0000007	XP_036575499.1	XP_038740211.1
OG0000007	XP_036575385.1	XP_038741585.1
OG0000007	XP_036576846.1	XP_038743862.1
OG0000007	XP_036578124.2	XP_038740577.1
OG0000007	XP_036574613.1	XP_038741890.1
OG0000007	XP_070060710.1	XP_038749800.1
OG0000007	XP_070061891.1	XP_038743880.1
OG0000007	XP_036578145.1	XP_038743631.1
OG0000009	XP_036577266.1	XP_038749796.1
OG0000009	XP_036587406.1	XP_038745184.1
OG0000009	XP_036589787.1	XP_038748265.1
OG0000009	XP_036588082.2	XP_038747710.1
OG0000009	XP_036578878.1	XP_038744526.1
OG0000009	XP_036576912.1	XP_038746723.1
OG0000009	XP_036575001.1	XP_038745995.1
OG0000009	XP_036577228.2	XP_038746906.1
OG0000012	XP_070060447.1	XP_038741434.1
OG0000012	XP_036578387.1, XP_036581583.2	XP_038738849.1
OG0000012	XP_070060757.1, XP_036577726.1	XP_038741849.1
OG0000012	XP_036576927.1	XP_038748114.1
OG0000014	XP_036583875.1	XP_038743338.1
OG0000014	XP_036586349.1	XP_038742823.1
OG0000014	XP_070061736.1	XP_038748556.1
OG0000014	XP_070059808.1, XP_036587851.1	XP_038745510.1
OG0000014	XP_036576421.1	XP_038748341.1
OG0000014	XP_036574781.1	XP_038746259.1
OG0000014	XP_036587323.2	XP_038740332.1
OG0000015	XP_070062364.1	XP_038747728.1
OG0000015	XP_036575290.1	XP_038741283.1
OG0000015	XP_070060524.1	XP_038748640.1
OG0000015	XP_070060909.1, XP_070059922.1	XP_038742957.1
OG0000016	XP_036589588.1	XP_038750325.1
OG0000016	XP_036581107.1	XP_038740607.1
OG0000016	XP_036583987.1	XP_038743429.1
OG0000016	XP_036586092.1	XP_038741691.1, XP_038743399.1, XP_038747060.1
OG0000016	XP_036586731.2	XP_038742120.1
OG0000017	XP_036581693.1	XP_038738728.1
OG0000017	XP_036588586.1	XP_038751093.1
OG0000017	XP_070062442.1	XP_038746538.1
OG0000017	XP_036585183.1	XP_038748604.1
OG0000019	XP_036580709.1	XP_038742254.1
OG0000019	XP_036589060.2	XP_038746014.1, XP_038742358.1, XP_038747916.1
OG0000019	XP_070062107.1	XP_038748189.1
OG0000021	XP_036579505.1	XP_038747639.1
OG0000021	XP_036579366.2, XP_036574644.1, XP_036577797.1	XP_038748220.1
OG0000021	XP_036577755.1	XP_038742714.1
OG0000023	XP_036586304.1	XP_038742786.1
OG0000023	XP_036587982.1	XP_038747724.1
OG0000023	XP_070062046.1	XP_038747041.1
OG0000023	XP_036589513.1	XP_038751432.1
OG0000024	XP_036589767.1	XP_038750167.1
OG0000024	XP_036579870.1	XP_038746030.1
OG0000024	XP_036577317.1	XP_038749840.1
OG0000024	XP_070062657.1	XP_038750868.1
OG0000024	XP_036586456.1	XP_038749957.1
OG0000025	XP_070060718.1, XP_070061788.1	XP_038740535.1, XP_038742617.1
OG0000025	XP_036576372.1	XP_038741355.1, XP_038742633.1, XP_038741752.1, XP_038750425.1, XP_038739776.1, XP_038739501.1, XP_038746242.1, XP_038744306.1, XP_038743629.1, XP_038747603.1, XP_038748666.1, XP_038741665.1, XP_038744168.1, XP_038740616.1, XP_038745566.1, XP_038747218.1, XP_038746890.1, XP_038748603.1, XP_038744466.1, XP_038740161.1, XP_038742215.1, XP_038742214.1, XP_038749942.1, XP_038740976.1, XP_038748151.1, XP_038747315.1, XP_038750688.1, XP_038749654.1, XP_038749655.1
OG0000026	XP_036586453.1	XP_038749949.1
OG0000026	XP_036583201.2	XP_038739803.1
OG0000026	XP_036577471.2, XP_036580498.1	XP_038745044.1
OG0000028	XP_036581182.1	XP_038741868.1
OG0000028	XP_070060257.1	XP_038746879.1, XP_038749042.1, XP_038741883.1
OG0000031	XP_036586424.1	XP_038749924.1
OG0000031	XP_036588147.1	XP_038747655.1
OG0000032	XP_036578818.1, XP_036584347.2	XP_038749055.1
OG0000033	XP_036581751.1, XP_036576910.1, XP_070062092.1, XP_036574875.1, XP_036577699.1	XP_038743001.1
OG0000033	XP_070061928.1	XP_038748989.1
OG0000033	XP_036578581.1	XP_038745613.1
OG0000033	XP_070062358.1	XP_038750920.1
OG0000034	XP_070060023.1	XP_038741734.1
OG0000034	XP_036589643.1	XP_038746609.1
OG0000034	XP_070062330.1	XP_038751740.1
OG0000034	XP_036576453.1	XP_038748332.1
OG0000034	XP_036579478.1	XP_038749610.1
OG0000035	XP_036588818.1	XP_038741043.1
OG0000035	XP_070061252.1	XP_038739905.1
OG0000035	XP_070061519.1	XP_038738852.1
OG0000035	XP_070060833.1, XP_070060609.1, XP_036589606.1	XP_038747431.1
OG0000037	XP_036586380.1	XP_038742844.1
