Orthogroup	Colletotrichum_karsti	Colletotrichum_abscissum
OG0000001	XP_038742102.1	XP_060390852.1
OG0000001	XP_038742455.1	XP_060406495.1
OG0000001	XP_038742766.1	XP_060402285.1
OG0000001	XP_038742324.1	XP_060392196.1
OG0000001	XP_038742974.1	XP_060403955.1
OG0000001	XP_038750227.1	XP_060396987.1
OG0000001	XP_038750579.1	XP_060400900.1
OG0000001	XP_038740053.1	XP_060394606.1
OG0000001	XP_038739396.1	XP_060402253.1, XP_060397793.1
OG0000001	XP_038745379.1	XP_060393097.1
OG0000001	XP_038746377.1	XP_060391941.1
OG0000002	XP_038747034.1	XP_060398589.1
OG0000002	XP_038744613.1	XP_060397467.1
OG0000002	XP_038739885.1	XP_060401349.1
OG0000002	XP_038750075.1, XP_038741791.1	XP_060399255.1
OG0000002	XP_038748084.1	XP_060397337.1
OG0000002	XP_038751217.1	XP_060397342.1
OG0000003	XP_038748601.1	XP_060390395.1
OG0000003	XP_038745194.1	XP_060394431.1
OG0000003	XP_038749795.1	XP_060403315.1
OG0000003	XP_038742843.1	XP_060397349.1
OG0000003	XP_038746686.1	XP_060396077.1
OG0000003	XP_038742954.1	XP_060399182.1
OG0000003	XP_038743265.1	XP_060395986.1
OG0000003	XP_038742506.1	XP_060395142.1
OG0000007	XP_038742340.1	XP_060397331.1
OG0000007	XP_038741456.1	XP_060399009.1
OG0000007	XP_038740211.1	XP_060403052.1
OG0000007	XP_038741585.1	XP_060401254.1
OG0000007	XP_038743862.1	XP_060405354.1
OG0000007	XP_038740577.1	XP_060394556.1
OG0000007	XP_038741890.1	XP_060402270.1
OG0000007	XP_038749800.1	XP_060403306.1
OG0000007	XP_038743880.1	XP_060405375.1
OG0000007	XP_038743631.1	XP_060394953.1
OG0000009	XP_038749796.1	XP_060403308.1
OG0000009	XP_038745184.1	XP_060393780.1
OG0000009	XP_038748265.1	XP_060391561.1
OG0000009	XP_038747710.1	XP_060398896.1
OG0000009	XP_038744526.1	XP_060397061.1
OG0000009	XP_038746723.1	XP_060405039.1
OG0000009	XP_038745995.1	XP_060395651.1
OG0000009	XP_038746906.1	XP_060400702.1
OG0000012	XP_038741434.1	XP_060403373.1
OG0000012	XP_038738849.1	XP_060395547.1
OG0000012	XP_038741592.1	XP_060391397.1
OG0000012	XP_038746590.1	XP_060404556.1
OG0000012	XP_038741849.1	XP_060399397.1
OG0000012	XP_038748114.1	XP_060391505.1
OG0000014	XP_038743338.1	XP_060396017.1
OG0000014	XP_038742823.1	XP_060403552.1
OG0000014	XP_038748556.1	XP_060390329.1
OG0000014	XP_038745510.1	XP_060396195.1
OG0000014	XP_038748341.1	XP_060398696.1
OG0000014	XP_038746259.1, XP_038740332.1	XP_060392120.1
OG0000015	XP_038741283.1	XP_060400724.1
OG0000016	XP_038750325.1	XP_060404839.1
OG0000016	XP_038740607.1	XP_060391300.1
OG0000016	XP_038743429.1	XP_060396140.1
OG0000016	XP_038741691.1, XP_038743399.1, XP_038747060.1	XP_060398585.1
OG0000016	XP_038751211.1	XP_060401860.1
OG0000017	XP_038738728.1	XP_060399441.1
OG0000017	XP_038739796.1	XP_060402306.1
OG0000017	XP_038751093.1	XP_060389867.1
OG0000017	XP_038746538.1	XP_060389623.1, XP_060397678.1
OG0000017	XP_038749597.1, XP_038740421.1, XP_038748604.1	XP_060395056.1
OG0000018	XP_038740721.1, XP_038743665.1, XP_038743680.1, XP_038740797.1, XP_038746235.1	XP_060402315.1
OG0000018	XP_038750098.1, XP_038751342.1	XP_060402913.1, XP_060391830.1, XP_060393721.1
OG0000019	XP_038742254.1	XP_060389929.1
OG0000019	XP_038746014.1, XP_038742358.1, XP_038747916.1	XP_060406513.1
OG0000019	XP_038742528.1, XP_038742526.1, XP_038742527.1, XP_038748189.1	XP_060392153.1
OG0000019	XP_038746348.1	XP_060406514.1
