Orthogroup	Colletotrichum_siamense	Colletotrichum_gloeosporioides
OG0000001	XP_036496581.1	XP_045266806.1
OG0000001	XP_036496526.1	XP_045266881.1
OG0000001	XP_036497488.1, XP_036492781.1	XP_045260205.1
OG0000001	XP_036495399.1	XP_045260583.1
OG0000001	XP_036501140.1	XP_045265792.1
OG0000001	XP_036489610.1	XP_045267961.1
OG0000001	XP_036502151.1	XP_045258161.1
OG0000001	XP_036491417.1	XP_045269538.1
OG0000001	XP_036491418.1	XP_045269537.1
OG0000001	XP_036491388.1	XP_045261998.1
OG0000001	XP_036492025.1	XP_045269696.1
OG0000002	XP_036500201.1	XP_045261593.1
OG0000002	XP_036492540.1	XP_045265914.1
OG0000002	XP_036490503.1	XP_045266625.1
OG0000002	XP_036496555.1	XP_045266916.1
OG0000002	XP_036494076.1	XP_045263097.1
OG0000002	XP_036499179.1	XP_045260282.1
OG0000002	XP_036493992.1	XP_045257976.1
OG0000002	XP_036501975.1	XP_045259138.1
OG0000002	XP_036500934.1	XP_045263743.1
OG0000002	XP_036491792.1	XP_045269804.1
OG0000002	XP_036493966.1	XP_045268680.1
OG0000002	XP_036502410.1	XP_045267720.1
OG0000002	XP_036494525.1	XP_045262999.1
OG0000002	XP_036500478.1	XP_045257237.1
OG0000002	XP_036488845.1	XP_045261135.1
OG0000002	XP_036494317.1	XP_045257918.1
OG0000002	XP_036495012.1	XP_045257973.1
OG0000003	XP_036501204.1	XP_045265768.1
OG0000003	XP_036492277.1	XP_045258913.1
OG0000003	XP_036495057.1	XP_045257401.1
OG0000003	XP_036494043.1	XP_045258026.1
OG0000003	XP_036492461.1	XP_045266664.1
OG0000003	XP_036488495.1	XP_045266150.1
OG0000003	XP_036494312.1	XP_045257917.1
OG0000003	XP_036500242.1	XP_045269962.1
OG0000003	XP_036495065.1	XP_045268602.1
OG0000003	XP_036502893.1	XP_045262954.1
OG0000003	XP_036493661.1	XP_045259006.1
OG0000003	XP_036495366.1	XP_045266940.1
OG0000005	XP_036500004.1	XP_045258623.1
OG0000005	XP_036494945.1	XP_045256723.1
OG0000005	XP_036488430.1, XP_036495080.1	XP_045261007.1
OG0000005	XP_036499221.1	XP_045259354.1
OG0000005	XP_036490222.1	XP_045261341.1
OG0000005	XP_036488861.1	XP_045271000.1
OG0000005	XP_036494792.1	XP_045263060.1
OG0000005	XP_036497094.1	XP_045263638.1
OG0000005	XP_036497196.1	XP_045257604.1
OG0000005	XP_036501598.1	XP_045263814.1
OG0000005	XP_036500396.1	XP_045257257.1
OG0000005	XP_036495414.1	XP_045263231.1
OG0000005	XP_036502086.1	XP_045259151.1
OG0000005	XP_036490827.1	XP_045264508.1
OG0000005	XP_036496619.1	XP_045265263.1
OG0000007	XP_036496109.1	XP_045260514.1
OG0000007	XP_036491239.1	XP_045261201.1
OG0000007	XP_036493442.1	XP_045257729.1
OG0000007	XP_036494883.1	XP_045257532.1
OG0000007	XP_036495313.1	XP_045268873.1
OG0000007	XP_036491644.1	XP_045269482.1
OG0000007	XP_036488714.1	XP_045266165.1
OG0000007	XP_036500589.1	XP_045264675.1
OG0000007	XP_036495376.1	XP_045268895.1
OG0000009	XP_036488279.1	XP_045266170.1
OG0000009	XP_036491834.1	XP_045266649.1
OG0000009	XP_036499963.1	XP_045270044.1
OG0000009	XP_036488623.1	XP_045270865.1
OG0000009	XP_036490974.1	XP_045266537.1
OG0000009	XP_036499364.1	XP_045257284.1
OG0000009	XP_036492836.1	XP_045271349.1
OG0000009	XP_036501215.1	XP_045267669.1
OG0000012	XP_036490033.1	XP_045268575.1
OG0000012	XP_036496930.1	XP_045265200.1
OG0000012	XP_036494573.1	XP_045268671.1
OG0000012	XP_036488022.1	XP_045261078.1
OG0000012	XP_036494044.1	XP_045258025.1
OG0000012	XP_036500192.1	XP_045259368.1
OG0000014	XP_036501333.1	XP_045270236.1
OG0000014	XP_036488372.1	XP_045261063.1
OG0000014	XP_036497809.1	XP_045266342.1
OG0000014	XP_036501856.1	XP_045263961.1
OG0000014	XP_036488993.1	XP_045260775.1
OG0000014	XP_036499532.1	XP_045261682.1
OG0000014	XP_036492143.1, XP_036491525.1	XP_045265112.1
OG0000014	XP_036500328.1	XP_045257268.1
OG0000015	XP_036500741.1	XP_045268750.1
OG0000015	XP_036500333.1	XP_045257154.1
OG0000015	XP_036488062.1	XP_045269300.1, XP_045257913.1
OG0000015	XP_036491514.1	XP_045268064.1
OG0000015	XP_036492495.1	XP_045266642.1
OG0000015	XP_036497572.1, XP_036502390.1	XP_045261345.1
OG0000016	XP_036489583.1	XP_045268108.1
OG0000016	XP_036499009.1	XP_045271029.1
OG0000016	XP_036488671.1	XP_045260904.1
OG0000016	XP_036501233.1	XP_045270259.1
OG0000016	XP_036499112.1	XP_045261571.1
OG0000016	XP_036488839.1	XP_045265956.1
OG0000016	XP_036496985.1	XP_045266826.1
OG0000016	XP_036501416.1	XP_045263857.1
OG0000017	XP_036495546.1	XP_045266928.1
OG0000017	XP_036501719.1	XP_045267817.1
OG0000017	XP_036497675.1	XP_045262462.1
OG0000017	XP_036498309.1	XP_045263525.1
OG0000017	XP_036497906.1	XP_045269008.1
OG0000017	XP_036500254.1	XP_045257135.1
OG0000017	XP_036502161.1	XP_045265779.1
OG0000018	XP_036495845.1	XP_045267420.1
OG0000018	XP_036500175.1	XP_045259861.1
OG0000018	XP_036498532.1	XP_045261750.1
OG0000018	XP_036491986.1	XP_045269504.1
OG0000018	XP_036496484.1	XP_045268940.1
OG0000018	XP_036493287.1	XP_045258981.1
OG0000018	XP_036488781.1	XP_045260978.1
OG0000018	XP_036491241.1	XP_045261206.1
OG0000018	XP_036502903.1	XP_045263914.1
OG0000019	XP_036488105.1	XP_045266134.1
OG0000019	XP_036494036.1	XP_045268713.1
OG0000019	XP_036495462.1	XP_045260527.1
OG0000019	XP_036500388.1	XP_045259856.1
OG0000019	XP_036495983.1, XP_036495979.1, XP_036495981.1	XP_045266922.1
OG0000019	XP_036493165.1	XP_045257775.1
OG0000021	XP_036493440.1	XP_045264872.1
OG0000021	XP_036500955.1	XP_045259100.1
OG0000021	XP_036496508.1	XP_045265250.1
OG0000021	XP_036494659.1	XP_045267277.1
OG0000023	XP_036488348.1	XP_045261010.1
OG0000023	XP_036495698.1	XP_045260488.1
OG0000023	XP_036488063.1	XP_045260626.1
OG0000023	XP_036499297.1	XP_045261585.1
OG0000023	XP_036489741.1	XP_045268220.1
OG0000023	XP_036499311.1	XP_045260319.1
OG0000024	XP_036489226.1	XP_045267895.1
OG0000024	XP_036492988.1	XP_045271336.1
OG0000024	XP_036499948.1	XP_045269445.1
OG0000024	XP_036497550.1	XP_045261730.1
OG0000024	XP_036488952.1	XP_045266000.1
OG0000026	XP_036488905.1	XP_045265987.1
OG0000026	XP_036490179.1	XP_045266356.1
OG0000026	XP_036495148.1	XP_045265695.1
OG0000026	XP_036492306.1	XP_045269525.1
OG0000026	XP_036494910.1	XP_045263044.1
OG0000026	XP_036501569.1	XP_045270172.1
OG0000026	XP_036501435.1	XP_045265549.1
OG0000028	XP_036494856.1	XP_045257477.1
OG0000028	XP_036502180.1	XP_045267627.1
OG0000028	XP_036490429.1	XP_045266376.1
OG0000028	XP_036494902.1	XP_045257481.1
OG0000028	XP_036493585.1	XP_045256637.1
OG0000031	XP_036488790.1	XP_045261170.1
OG0000031	XP_036487965.1	XP_045270959.1
OG0000031	XP_036499944.1	XP_045269450.1
OG0000031	XP_036495246.1	XP_045263142.1
OG0000031	XP_036492221.1	XP_045269569.1
OG0000032	XP_036490828.1	XP_045266811.1
OG0000032	XP_036491022.1	XP_045266470.1
OG0000033	XP_036493005.1	XP_045264174.1
OG0000033	XP_036494215.1	XP_045259978.1
OG0000033	XP_036499378.1	XP_045257179.1
OG0000034	XP_036494491.1	XP_045263085.1
OG0000034	XP_036502403.1	XP_045267725.1
OG0000034	XP_036499396.1	XP_045270159.1
OG0000034	XP_036497376.1	XP_045269028.1
OG0000035	XP_036490914.1	XP_045256568.1
OG0000035	XP_036493895.1	XP_045259085.1
OG0000035	XP_036490320.1	XP_045256775.1
OG0000035	XP_036488737.1	XP_045270861.1
OG0000035	XP_036496362.1	XP_045268765.1, XP_045260563.1
OG0000037	XP_036487993.1	XP_045261096.1
OG0000037	XP_036493393.1	XP_045264881.1
OG0000037	XP_036501392.1	XP_045267710.1
OG0000037	XP_036494326.1	XP_045257505.1
OG0000038	XP_036492752.1	XP_045258960.1
OG0000038	XP_036492782.1	XP_045260204.1
OG0000038	XP_036488911.1	XP_045261040.1
OG0000039	XP_036497200.1	XP_045257600.1
OG0000039	XP_036494942.1	XP_045259398.1
OG0000039	XP_036492170.1	XP_045265097.1
OG0000039	XP_036498767.1	XP_045263475.1
OG0000039	XP_036492553.1	XP_045267267.1
OG0000040	XP_036499274.1	XP_045257150.1
OG0000041	XP_036496965.1	XP_045267024.1
OG0000041	XP_036497924.1	XP_045264990.1
OG0000041	XP_036489301.1	XP_045268471.1
OG0000041	XP_036500952.1	XP_045259104.1
OG0000043	XP_036502684.1	XP_045259173.1
OG0000043	XP_036501635.1	XP_045259172.1
OG0000043	XP_036498173.1	XP_045262503.1
OG0000043	XP_036499171.1	XP_045260283.1
OG0000044	XP_036500277.1	XP_045259382.1
OG0000044	XP_036495490.1	XP_045259917.1
OG0000044	XP_036491424.1	XP_045256116.1
OG0000044	XP_036492780.1	XP_045264199.1
OG0000046	XP_036488170.1	XP_045266187.1
OG0000046	XP_036497078.1	XP_045256698.1
OG0000046	XP_036501566.1	XP_045270169.1
