Orthogroup	Colletotrichum_siamense	Colletotrichum_fructicola
OG0000001	XP_036496581.1	XP_031885183.1
OG0000001	XP_036496526.1	XP_031885099.1
OG0000001	XP_036495399.1	XP_031892038.1
OG0000001	XP_036489610.1	XP_031889152.1
OG0000001	XP_036502151.1	XP_031879932.1
OG0000001	XP_036491418.1	XP_031890095.1
OG0000001	XP_036491388.1	XP_031890068.1
OG0000001	XP_036492025.1	XP_031889631.1
OG0000002	XP_036500201.1	XP_031879492.1
OG0000002	XP_036492540.1	XP_031890697.1
OG0000002	XP_036490503.1	XP_031881669.1
OG0000002	XP_036496555.1	XP_031885247.1
OG0000002	XP_036500252.1	XP_031876819.2
OG0000002	XP_036494076.1	XP_066007347.1
OG0000002	XP_036499179.1	XP_031885929.1
OG0000002	XP_036493992.1	XP_031879097.1
OG0000002	XP_036501975.1	XP_031884130.1
OG0000002	XP_036491792.1	XP_031889624.1
OG0000002	XP_036493966.1	XP_066009251.1
OG0000002	XP_036502410.1	XP_031879385.1
OG0000002	XP_036494525.1	XP_066007328.1
OG0000002	XP_036500478.1	XP_031878257.1
OG0000002	XP_036488845.1	XP_066007534.1
OG0000002	XP_036494317.1	XP_066009179.1
OG0000002	XP_036495012.1	XP_031879045.1
OG0000003	XP_036501204.1	XP_031877859.1
OG0000003	XP_036492277.1	XP_031884430.1
OG0000003	XP_036495057.1	XP_031890123.1
OG0000003	XP_036494043.1	XP_031879030.1
OG0000003	XP_036492461.1	XP_031886825.1
OG0000003	XP_036488495.1	XP_031880905.1
OG0000003	XP_036494312.1	XP_066009178.1
OG0000003	XP_036500242.1	XP_031883473.1
OG0000003	XP_036493278.1	XP_066007760.1
OG0000003	XP_036495065.1	XP_031892929.1
OG0000003	XP_036502893.1	XP_031884263.1
OG0000003	XP_036493661.1	XP_031876867.1
OG0000003	XP_036495366.1	XP_031885127.1
OG0000005	XP_036500004.1	XP_031885484.1
OG0000005	XP_036494945.1	XP_066007217.1
OG0000005	XP_036488430.1	XP_031878093.1
OG0000005	XP_036495080.1	XP_031893401.2
OG0000005	XP_036499221.1	XP_031883663.1
OG0000005	XP_036490222.1	XP_031888063.1
OG0000005	XP_036488861.1	XP_066007372.1
OG0000005	XP_036494792.1	XP_031882619.1
OG0000005	XP_036497094.1	XP_066009441.1
OG0000005	XP_036497196.1	XP_066009402.1
OG0000005	XP_036494853.1	XP_066009057.1, XP_066009056.1
OG0000005	XP_036496876.1	XP_031892266.1
OG0000005	XP_036501598.1	XP_031891255.1
OG0000005	XP_036500396.1	XP_031878347.2
OG0000005	XP_036495414.1	XP_031886563.1
OG0000005	XP_036502086.1	XP_031884256.1
OG0000005	XP_036490827.1	XP_031881538.2
OG0000005	XP_036496619.1	XP_031882119.1
OG0000007	XP_036496109.1	XP_031891853.1
OG0000007	XP_036491239.1	XP_031888035.1
OG0000007	XP_036493442.1	XP_031879776.1
OG0000007	XP_036494883.1	XP_031892924.1
OG0000007	XP_036500517.1	XP_031886196.1
OG0000007	XP_036495313.1	XP_066008736.1
OG0000007	XP_036491644.1	XP_031884466.1
OG0000007	XP_036488714.1	XP_031879231.1
OG0000007	XP_036500589.1	XP_031885954.1
OG0000007	XP_036495376.1	XP_031892101.1
OG0000008	XP_036495409.1	XP_066008629.1
OG0000008	XP_036502454.1	XP_031886231.1
OG0000008	XP_036498352.1	XP_066009467.1
OG0000008	XP_036499970.1	XP_066008419.1
OG0000008	XP_036499969.1	XP_031886248.2
OG0000008	XP_036502455.1	XP_066009991.1
OG0000008	XP_036491866.1	XP_066008038.1
OG0000008	XP_036498743.1	XP_031882243.1
OG0000008	XP_036495099.1	XP_031879048.2
OG0000008	XP_036499185.1	XP_066009880.1
OG0000008	XP_036496070.1	XP_066008684.1
OG0000008	XP_036495410.1	XP_066008851.1
OG0000008	XP_036489804.1	XP_066008989.1
OG0000008	XP_036496470.1	XP_066008765.1
OG0000008	XP_036497996.1	XP_066009368.1
OG0000008	XP_036497383.1	XP_031882332.2
OG0000008	XP_036496629.1	XP_066008596.1
OG0000008	XP_036495985.1	XP_066008595.1
OG0000008	XP_036492788.1	XP_066007654.1
OG0000009	XP_036488279.1	XP_031879160.1
OG0000009	XP_036491834.1	XP_031886674.1
OG0000009	XP_036499963.1	XP_031877969.1
OG0000009	XP_036488623.1	XP_031891005.1
OG0000009	XP_036490974.1	XP_031876103.1
OG0000009	XP_036499364.1	XP_031875698.1
OG0000009	XP_036492836.1	XP_031884954.1
OG0000009	XP_036501215.1	XP_031878188.1
OG0000010	XP_036487784.1	XP_066006720.1, XP_066007482.1, XP_066007036.1, XP_066007637.1
OG0000010	XP_036490053.1, XP_036488754.1, XP_036487850.1, XP_036487828.1, XP_036487877.1, XP_036500250.1, XP_036497732.1, XP_036492251.1, XP_036490885.1, XP_036493536.1, XP_036487824.1, XP_036487911.1, XP_036487815.1, XP_036487861.1, XP_036488248.1, XP_036497564.1, XP_036502201.1, XP_036499679.1, XP_036494087.1, XP_036492134.1, XP_036487869.1, XP_036487817.1, XP_036487878.1, XP_036489889.1, XP_036487821.1, XP_036490947.1	XP_066009431.1, XP_066007743.1, XP_066007816.1, XP_066008437.1, XP_066008148.1, XP_066006840.1, XP_066008151.1, XP_066007733.1, XP_066006874.1
OG0000010	XP_036489888.1, XP_036487805.1, XP_036487819.1, XP_036487823.1	XP_066006804.1, XP_066009361.1, XP_066007907.1
OG0000012	XP_036490033.1	XP_031882357.1
OG0000012	XP_036496930.1	XP_031881977.2
OG0000012	XP_036494573.1	XP_031893580.1
OG0000012	XP_036491536.1	XP_031889787.2
OG0000012	XP_036488022.1	XP_031876679.1
OG0000012	XP_036494044.1	XP_031879010.1
OG0000012	XP_036500192.1	XP_031883699.1
OG0000014	XP_036501333.1	XP_031877046.1
OG0000014	XP_036488372.1	XP_031876680.1
OG0000014	XP_036497809.1	XP_031887509.1
OG0000014	XP_036501856.1	XP_031890603.1
OG0000014	XP_036488993.1	XP_031890843.2
OG0000014	XP_036499532.1	XP_066008557.1
OG0000014	XP_036492143.1, XP_036491525.1	XP_066007834.1
OG0000014	XP_036500328.1	XP_031878291.1
OG0000015	XP_036500741.1	XP_031893512.1, XP_066009789.1
OG0000015	XP_036500333.1	XP_031876459.2
OG0000015	XP_036488062.1	XP_066007320.1
OG0000015	XP_036491514.1	XP_066008914.1
OG0000015	XP_036499956.1	XP_031885778.1
OG0000015	XP_036492495.1	XP_031886805.1
OG0000016	XP_036489583.1	XP_031880285.1
OG0000016	XP_036499009.1	XP_031876331.1
OG0000016	XP_036488671.1	XP_031883261.1
OG0000016	XP_036501233.1	XP_031877054.1
OG0000016	XP_036499112.1	XP_031879498.1
OG0000016	XP_036488839.1	XP_031877246.1
OG0000016	XP_036496985.1	XP_031885199.1
OG0000016	XP_036501416.1	XP_031891541.1
OG0000017	XP_036495546.1	XP_031885060.2
OG0000017	XP_036501719.1	XP_066009939.1
OG0000017	XP_036497675.1	XP_031887534.1
OG0000017	XP_036498309.1	XP_031882331.1
OG0000017	XP_036497906.1	XP_031881014.1
OG0000017	XP_036500254.1	XP_031876845.1
OG0000017	XP_036502161.1	XP_031877837.2
OG0000018	XP_036495845.1	XP_031883195.1
OG0000018	XP_036500175.1	XP_031881787.1
OG0000018	XP_036498532.1	XP_031878868.1
OG0000018	XP_036496484.1	XP_031884569.1, XP_031891833.1
OG0000018	XP_036493287.1	XP_066007794.1
OG0000018	XP_036488781.1	XP_031878172.1
OG0000019	XP_036488105.1	XP_066007478.1
OG0000019	XP_036494036.1	XP_066009012.1
OG0000019	XP_036495462.1	XP_031892157.1
OG0000019	XP_036500388.1	XP_031881790.1
OG0000019	XP_036495983.1	XP_031885121.1
OG0000019	XP_036495979.1	XP_031885119.1
OG0000019	XP_036495981.1	XP_031885122.1
OG0000019	XP_036493165.1	XP_031878451.1
OG0000021	XP_036493440.1	XP_031881524.2
OG0000021	XP_036500955.1	XP_031884356.1
