Orthogroup	Colletotrichum_siamense	Colletotrichum_acutatum
OG0000001	XP_036496581.1	XP_060369736.1
OG0000001	XP_036496526.1	XP_060369837.1
OG0000001	XP_036497488.1, XP_036492781.1	XP_060370677.1
OG0000001	XP_036495399.1	XP_060357666.1
OG0000001	XP_036501140.1	XP_060369357.1
OG0000001	XP_036489610.1	XP_060361400.1
OG0000001	XP_036502151.1	XP_060368338.1
OG0000001	XP_036491417.1, XP_036491418.1	XP_060362522.1
OG0000001	XP_036491555.1	XP_060367183.1
OG0000001	XP_036491388.1	XP_060362045.1
OG0000001	XP_036492025.1	XP_060361839.1
OG0000002	XP_036500201.1	XP_060370560.1
OG0000002	XP_036490503.1	XP_060364930.1
OG0000002	XP_036496555.1	XP_060362536.1
OG0000002	XP_036494076.1	XP_060358755.1
OG0000002	XP_036500934.1	XP_060360643.1
OG0000002	XP_036491792.1, XP_036493966.1	XP_060362682.1
OG0000002	XP_036500478.1, XP_036488845.1	XP_060363097.1
OG0000002	XP_036495012.1	XP_060358945.1
OG0000003	XP_036501204.1	XP_060369339.1
OG0000003	XP_036492461.1	XP_060372014.1
OG0000003	XP_036488495.1	XP_060357316.1
OG0000003	XP_036500242.1	XP_060360249.1
OG0000003	XP_036493278.1	XP_060357911.1
OG0000003	XP_036495065.1	XP_060370171.1
OG0000003	XP_036502893.1	XP_060358076.1
OG0000003	XP_036495366.1	XP_060361096.1
OG0000005	XP_036490222.1, XP_036488861.1, XP_036494792.1, XP_036497094.1, XP_036497196.1, XP_036494853.1, XP_036496876.1	XP_060357738.1
OG0000007	XP_036496109.1	XP_060363105.1
OG0000007	XP_036491239.1	XP_060358704.1
OG0000007	XP_036493442.1	XP_060357532.1
OG0000007	XP_036494883.1	XP_060365201.1
OG0000007	XP_036500517.1	XP_060362933.1
OG0000007	XP_036491644.1	XP_060362502.1
OG0000007	XP_036488714.1	XP_060362818.1
OG0000007	XP_036500589.1	XP_060362950.1
OG0000007	XP_036495376.1	XP_060364959.1
OG0000008	XP_036495409.1, XP_036502454.1, XP_036498352.1	XP_060366838.1
OG0000008	XP_036499970.1	XP_060371333.1
OG0000008	XP_036499969.1	XP_060371332.1
OG0000008	XP_036502455.1	XP_060371334.1
OG0000008	XP_036491866.1	XP_060357962.1, XP_060360622.1, XP_060361583.1
OG0000008	XP_036498743.1	XP_060368819.1
OG0000008	XP_036495099.1	XP_060368784.1
OG0000008	XP_036499185.1	XP_060369829.1
OG0000008	XP_036495410.1, XP_036489804.1	XP_060362270.1
OG0000008	XP_036496470.1, XP_036497996.1, XP_036497383.1	XP_060363147.1
OG0000008	XP_036496629.1, XP_036495985.1, XP_036492788.1	XP_060365993.1
OG0000009	XP_036488279.1	XP_060362817.1
OG0000009	XP_036491834.1	XP_060372034.1
OG0000009	XP_036499963.1	XP_060357116.1, XP_060363670.1
OG0000009	XP_036488623.1	XP_060359947.1
OG0000009	XP_036490974.1	XP_060367982.1
OG0000009	XP_036499364.1	XP_060365596.1
OG0000009	XP_036492836.1	XP_060365779.1
OG0000009	XP_036501215.1	XP_060359213.1
OG0000012	XP_036490033.1	XP_060361151.1
OG0000012	XP_036496930.1	XP_060367702.1
OG0000012	XP_036494573.1	XP_060362674.1
OG0000012	XP_036491536.1	XP_060365541.1
OG0000012	XP_036488022.1	XP_060358257.1
OG0000012	XP_036494044.1	XP_060358924.1
OG0000012	XP_036500192.1	XP_060360787.1
OG0000014	XP_036501333.1	XP_060360753.1
OG0000014	XP_036488372.1	XP_060364441.1
OG0000014	XP_036501856.1	XP_060369282.1
OG0000014	XP_036488993.1	XP_060368461.1
OG0000014	XP_036499532.1	XP_060363263.1
OG0000014	XP_036492143.1, XP_036491525.1, XP_036500328.1	XP_060360057.1
OG0000015	XP_036491514.1	XP_060359195.1
OG0000016	XP_036489583.1	XP_060361705.1
OG0000016	XP_036499009.1	XP_060359899.1
OG0000016	XP_036501233.1	XP_060368408.1
OG0000016	XP_036499112.1	XP_060370564.1
OG0000016	XP_036501416.1	XP_060357468.1
OG0000017	XP_036501719.1	XP_060362467.1
OG0000017	XP_036497675.1	XP_060362115.1
OG0000017	XP_036498309.1	XP_060369615.1, XP_060366707.1
OG0000017	XP_036497906.1, XP_036500254.1, XP_036502161.1	XP_060357608.1
OG0000018	XP_036498532.1, XP_036491986.1, XP_036496484.1, XP_036493287.1	XP_060358662.1
OG0000018	XP_036488781.1, XP_036491241.1, XP_036502903.1	XP_060357754.1, XP_060363688.1, XP_060360494.1, XP_060365204.1
OG0000019	XP_036488105.1	XP_060363470.1
OG0000019	XP_036494036.1, XP_036495462.1, XP_036500388.1, XP_036495983.1, XP_036495979.1, XP_036495981.1	XP_060369834.1
OG0000021	XP_036493440.1	XP_060357570.1
OG0000021	XP_036496508.1	XP_060364842.1
OG0000023	XP_036488348.1	XP_060365025.1
OG0000023	XP_036495698.1	XP_060363120.1
OG0000023	XP_036488063.1	XP_060358681.1
OG0000023	XP_036499297.1	XP_060370568.1
OG0000023	XP_036489741.1	XP_060365425.1
OG0000023	XP_036499311.1, XP_036499951.1	XP_060368532.1
