Orthogroup	Colletotrichum_godetiae	Colletotrichum_acutatum
OG0000001	XP_060430719.1	XP_060369736.1
OG0000001	XP_060430831.1	XP_060369837.1
OG0000001	XP_060431242.1	XP_060359269.1
OG0000001	XP_060433490.1	XP_060370677.1
OG0000001	XP_060427985.1	XP_060357666.1
OG0000001	XP_060436529.1	XP_060361425.1
OG0000001	XP_060428091.1, XP_060425082.1	XP_060366561.1
OG0000001	XP_060431366.1	XP_060369357.1
OG0000001	XP_060436502.1	XP_060361400.1
OG0000001	XP_060431810.1	XP_060370302.1
OG0000001	XP_060424765.1	XP_060368338.1
OG0000001	XP_060424800.1	XP_060358976.1
OG0000001	XP_060427432.1	XP_060366673.1
OG0000001	XP_060430320.1	XP_060362522.1
OG0000001	XP_060430204.1	XP_060367183.1
OG0000001	XP_060434819.1	XP_060362019.1
OG0000001	XP_060436781.1	XP_060367916.1
OG0000001	XP_060436634.1	XP_060362045.1
OG0000001	XP_060430440.1	XP_060368647.1
OG0000001	XP_060430506.1	XP_060361839.1
OG0000002	XP_060433373.1	XP_060370560.1
OG0000002	XP_060431021.1	XP_060364930.1
OG0000002	XP_060429098.1	XP_060358755.1
OG0000002	XP_060428901.1	XP_060362682.1
OG0000002	XP_060421889.1	XP_060363097.1
OG0000002	XP_060428142.1	XP_060358945.1
OG0000003	XP_060431388.1	XP_060369339.1
OG0000003	XP_060428117.1	XP_060358923.1
OG0000003	XP_060433884.1	XP_060372014.1
OG0000003	XP_060425653.1	XP_060357316.1
OG0000003	XP_060424675.1	XP_060359762.1
OG0000003	XP_060433305.1	XP_060360249.1
OG0000003	XP_060425251.1	XP_060357911.1
OG0000003	XP_060426621.1	XP_060370171.1
OG0000003	XP_060433222.1	XP_060358076.1
OG0000003	XP_060430890.1	XP_060361096.1
OG0000005	XP_060431584.1, XP_060422213.1, XP_060423560.1	XP_060357738.1
OG0000007	XP_060428043.1	XP_060363105.1
OG0000007	XP_060426126.1	XP_060357532.1
OG0000007	XP_060428999.1	XP_060365201.1
OG0000007	XP_060422886.1	XP_060362933.1
OG0000007	XP_060430335.1	XP_060362502.1
OG0000007	XP_060425659.1	XP_060362818.1
OG0000007	XP_060422903.1	XP_060362950.1
OG0000007	XP_060431051.1	XP_060364959.1
OG0000008	XP_060426331.1	XP_060366838.1
OG0000008	XP_060429665.1	XP_060371333.1
OG0000008	XP_060429664.1	XP_060371332.1
OG0000008	XP_060429666.1	XP_060371334.1
OG0000008	XP_060421546.1	XP_060358444.1
OG0000008	XP_060428947.1	XP_060357962.1
OG0000008	XP_060432670.1	XP_060360622.1
OG0000008	XP_060431119.1	XP_060361583.1
OG0000008	XP_060432489.1	XP_060368819.1
